word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
28763,Exo,1,1,וְ,וְ,and,y
28764,Exo,1,1,אֵ֗לֶּה,אֵלֶּה,these,estas
28765,Exo,1,1,שְׁמֹות֙,שֵׁם,name,nombre
28766,Exo,1,1,בְּנֵ֣י,בֵּן,son,hijo
28767,Exo,1,1,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,Israel,Israel
28768,Exo,1,1,הַ,הַ,the,el
28769,Exo,1,1,בָּאִ֖ים,בוא,come,ven
28770,Exo,1,1,מִצְרָ֑יְמָה,מִצְרַיִם,Egypt,Egipto
28771,Exo,1,1,אֵ֣ת,אֵת,together with,Juntos con
28772,Exo,1,1,יַעֲקֹ֔ב,יַעֲקֹב,Jacob,Jacob
28773,Exo,1,1,אִ֥ישׁ,אִישׁ,man,hombre
28774,Exo,1,1,וּ,וְ,and,y
28775,Exo,1,1,בֵיתֹ֖ו,בַּיִת,house,casa
28776,Exo,1,1,בָּֽאוּ׃,בוא,come,ven
28777,Exo,1,2,רְאוּבֵ֣ן,רְאוּבֵן,Reuben,Reuben
28778,Exo,1,2,שִׁמְעֹ֔ון,שִׁמְעֹון,Simeon,Simeón
28779,Exo,1,2,לֵוִ֖י,לֵוִי,Levi,Levi
28780,Exo,1,2,וִ,וְ,and,y
28781,Exo,1,2,יהוּדָֽה׃,יְהוּדָה,Judah,Judá
28782,Exo,1,3,יִשָּׂשכָ֥ר,יִשָּׂשׂכָר,Issachar,Isacar
28783,Exo,1,3,זְבוּלֻ֖ן,זְבוּלֻן,Zebulun,Zabulón
28784,Exo,1,3,וּ,וְ,and,y
28785,Exo,1,3,בְנְיָמִֽן׃,בִּנְיָמִן,Benjamin,Benjamín
28786,Exo,1,4,דָּ֥ן,דָּן,Dan,Dan
28787,Exo,1,4,וְ,וְ,and,y
28788,Exo,1,4,נַפְתָּלִ֖י,נַפְתָּלִי,Naphtali,Neftalí
28789,Exo,1,4,גָּ֥ד,גָּד,Gad,Gad
28790,Exo,1,4,וְ,וְ,and,y
28791,Exo,1,4,אָשֵֽׁר׃,אָשֵׁר,Asher,Asher
28792,Exo,1,5,וַֽ,וְ,and,y
28793,Exo,1,5,יְהִ֗י,היה,be,ser
28794,Exo,1,5,כָּל־,כֹּל,whole,todo
28795,Exo,1,5,נֶ֛פֶשׁ,נֶפֶשׁ,soul,alma
28796,Exo,1,5,יֹצְאֵ֥י,יצא,go out,fuera
28797,Exo,1,5,יֶֽרֶךְ־,יָרֵךְ,upper thigh,parte superior del muslo
28798,Exo,1,5,יַעֲקֹ֖ב,יַעֲקֹב,Jacob,Jacob
28799,Exo,1,5,שִׁבְעִ֣ים,שֶׁבַע,seven,siete
28800,Exo,1,5,נָ֑פֶשׁ,נֶפֶשׁ,soul,alma
28801,Exo,1,5,וְ,וְ,and,y
28802,Exo,1,5,יֹוסֵ֖ף,יֹוסֵף,Joseph,Joseph
28803,Exo,1,5,הָיָ֥ה,היה,be,ser
28804,Exo,1,5,בְ,בְּ,in,en
28805,Exo,1,5,מִצְרָֽיִם׃,מִצְרַיִם,Egypt,Egipto
28806,Exo,1,6,וַ,וְ,and,y
28807,Exo,1,6,יָּ֤מָת,מות,die,morir
28808,Exo,1,6,יֹוסֵף֙,יֹוסֵף,Joseph,Joseph
28809,Exo,1,6,וְ,וְ,and,y
28810,Exo,1,6,כָל־,כֹּל,whole,todo
28811,Exo,1,6,אֶחָ֔יו,אָח,brother,hermano
28812,Exo,1,6,וְ,וְ,and,y
28813,Exo,1,6,כֹ֖ל,כֹּל,whole,todo
28814,Exo,1,6,הַ,הַ,the,el
28815,Exo,1,6,דֹּ֥ור,דֹּור,generation,Generacion
28816,Exo,1,6,הַ,הַ,the,el
28817,Exo,1,6,הֽוּא׃,הוּא,he,él
28818,Exo,1,7,וּ,וְ,and,y
28819,Exo,1,7,בְנֵ֣י,בֵּן,son,hijo
28820,Exo,1,7,יִשְׂרָאֵ֗ל,יִשְׂרָאֵל,Israel,Israel
28821,Exo,1,7,פָּר֧וּ,פרה,be fertile,ser fértil
28822,Exo,1,7,וַֽ,וְ,and,y
28823,Exo,1,7,יִּשְׁרְצ֛וּ,שׁרץ,swarm,enjambre
28824,Exo,1,7,וַ,וְ,and,y
28825,Exo,1,7,יִּרְבּ֥וּ,רבה,be many,ser muchos
28826,Exo,1,7,וַ,וְ,and,y
28827,Exo,1,7,יַּֽעַצְמ֖וּ,עצם,be mighty,se fortalecerá
28828,Exo,1,7,בִּ,בְּ,in,en
28829,Exo,1,7,מְאֹ֣ד,מְאֹד,might,podría
28830,Exo,1,7,מְאֹ֑ד,מְאֹד,might,podría
28831,Exo,1,7,וַ,וְ,and,y
28832,Exo,1,7,תִּמָּלֵ֥א,מלא,be full,estar lleno
28833,Exo,1,7,הָ,הַ,the,el
28834,Exo,1,7,אָ֖רֶץ,אֶרֶץ,earth,tierra
28835,Exo,1,7,אֹתָֽם׃ פ,אֵת,[object marker],[Marcador de objeto]
28836,Exo,1,8,וַ,וְ,and,y
28837,Exo,1,8,יָּ֥קָם,קום,arise,surgir
28838,Exo,1,8,מֶֽלֶךְ־,מֶלֶךְ,king,Rey
28839,Exo,1,8,חָדָ֖שׁ,חָדָשׁ,new,nuevo
28840,Exo,1,8,עַל־,עַל,upon,sobre
28841,Exo,1,8,מִצְרָ֑יִם,מִצְרַיִם,Egypt,Egipto
28842,Exo,1,8,אֲשֶׁ֥ר,אֲשֶׁר,[relative],[relativo]
28843,Exo,1,8,לֹֽא־,לֹא,not,no
28844,Exo,1,8,יָדַ֖ע,ידע,know,saber
28845,Exo,1,8,אֶת־,אֵת,[object marker],[Marcador de objeto]
28846,Exo,1,8,יֹוסֵֽף׃,יֹוסֵף,Joseph,Joseph
28847,Exo,1,9,וַ,וְ,and,y
28848,Exo,1,9,יֹּ֖אמֶר,אמר,say,decir
28849,Exo,1,9,אֶל־,אֶל,to,a
28850,Exo,1,9,עַמֹּ֑ו,עַם,people,gente
28851,Exo,1,9,הִנֵּ֗ה,הִנֵּה,behold,Mirad
28852,Exo,1,9,עַ֚ם,עַם,people,gente
28853,Exo,1,9,בְּנֵ֣י,בֵּן,son,hijo
28854,Exo,1,9,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,Israel,Israel
28855,Exo,1,9,רַ֥ב,רַב,much,mucho
28856,Exo,1,9,וְ,וְ,and,y
28857,Exo,1,9,עָצ֖וּם,עָצוּם,mighty,poderoso
28858,Exo,1,9,מִמֶּֽנּוּ׃,מִן,from,de
28859,Exo,1,10,הָ֥בָה,יהב,give,dar
28860,Exo,1,10,נִֽתְחַכְּמָ֖ה,חכם,be wise,se Sabio
28861,Exo,1,10,לֹ֑ו,לְ,to,a
28862,Exo,1,10,פֶּן־,פֶּן,lest,para que no
28863,Exo,1,10,יִרְבֶּ֗ה,רבה,be many,ser muchos
28864,Exo,1,10,וְ,וְ,and,y
28865,Exo,1,10,הָיָ֞ה,היה,be,ser
28866,Exo,1,10,כִּֽי־,כִּי,that,ese
28867,Exo,1,10,תִקְרֶ֤אנָה,קרא,encounter,encuentro
28868,Exo,1,10,מִלְחָמָה֙,מִלְחָמָה,war,guerra
28869,Exo,1,10,וְ,וְ,and,y
28870,Exo,1,10,נֹוסַ֤ף,יסף,add,añadir
28871,Exo,1,10,גַּם־,גַּם,even,incluso
28872,Exo,1,10,הוּא֙,הוּא,he,él
28873,Exo,1,10,עַל־,עַל,upon,sobre
28874,Exo,1,10,שֹׂ֣נְאֵ֔ינוּ,שׂנא,hate,odio
28875,Exo,1,10,וְ,וְ,and,y
28876,Exo,1,10,נִלְחַם־,לחם,fight,lucha
28877,Exo,1,10,בָּ֖נוּ,בְּ,in,en
28878,Exo,1,10,וְ,וְ,and,y
28879,Exo,1,10,עָלָ֥ה,עלה,ascend,ascender
28880,Exo,1,10,מִן־,מִן,from,de
28881,Exo,1,10,הָ,הַ,the,el
28882,Exo,1,10,אָֽרֶץ׃,אֶרֶץ,earth,tierra
28883,Exo,1,11,וַ,וְ,and,y
28884,Exo,1,11,יָּשִׂ֤ימוּ,שׂים,put,poner
28885,Exo,1,11,עָלָיו֙,עַל,upon,sobre
28886,Exo,1,11,שָׂרֵ֣י,שַׂר,chief,jefe
28887,Exo,1,11,מִסִּ֔ים,מַס,forced labour,trabajo forzado
28888,Exo,1,11,לְמַ֥עַן,לְמַעַן,because of,porque
28889,Exo,1,11,עַנֹּתֹ֖ו,ענה,be lowly,ser humilde
28890,Exo,1,11,בְּ,בְּ,in,en
28891,Exo,1,11,סִבְלֹתָ֑ם,סִבְלֹות,loads,cargas
28892,Exo,1,11,וַ,וְ,and,y
28893,Exo,1,11,יִּ֜בֶן,בנה,build,construir
28894,Exo,1,11,עָרֵ֤י,עִיר,town,pueblo
28895,Exo,1,11,מִסְכְּנֹות֙,מִסְכְּנֹות,storages,almacenamientos
28896,Exo,1,11,לְ,לְ,to,a
28897,Exo,1,11,פַרְעֹ֔ה,פַּרְעֹה,pharaoh,faraón
28898,Exo,1,11,אֶת־,אֵת,[object marker],[Marcador de objeto]
28899,Exo,1,11,פִּתֹ֖ם,פִּתֹם,Pithom,Pitón
28900,Exo,1,11,וְ,וְ,and,y
28901,Exo,1,11,אֶת־,אֵת,[object marker],[Marcador de objeto]
