word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
52511,Lev,1,1,וַ,וְ,and,y
52512,Lev,1,1,יִּקְרָ֖א,קרא,call,llamada
52513,Lev,1,1,אֶל־,אֶל,to,a
52514,Lev,1,1,מֹשֶׁ֑ה,מֹשֶׁה,Moses,Moisés
52515,Lev,1,1,וַ,וְ,and,y
52516,Lev,1,1,יְדַבֵּ֤ר,דבר,speak,hablar
52517,Lev,1,1,יְהוָה֙,יְהוָה,YHWH,YHWH
52518,Lev,1,1,אֵלָ֔יו,אֶל,to,a
52519,Lev,1,1,מֵ,מִן,from,de
52520,Lev,1,1,אֹ֥הֶל,אֹהֶל,tent,tienda
52521,Lev,1,1,מֹועֵ֖ד,מֹועֵד,appointment,cita
52522,Lev,1,1,לֵ,לְ,to,a
52523,Lev,1,1,אמֹֽר׃,אמר,say,decir
52524,Lev,1,2,דַּבֵּ֞ר,דבר,speak,hablar
52525,Lev,1,2,אֶל־,אֶל,to,a
52526,Lev,1,2,בְּנֵ֤י,בֵּן,son,hijo
52527,Lev,1,2,יִשְׂרָאֵל֙,יִשְׂרָאֵל,Israel,Israel
52528,Lev,1,2,וְ,וְ,and,y
52529,Lev,1,2,אָמַרְתָּ֣,אמר,say,decir
52530,Lev,1,2,אֲלֵהֶ֔ם,אֶל,to,a
52531,Lev,1,2,אָדָ֗ם,אָדָם,human,humano
52532,Lev,1,2,כִּֽי־,כִּי,that,ese
52533,Lev,1,2,יַקְרִ֥יב,קרב,approach,enfoque
52534,Lev,1,2,מִכֶּ֛ם,מִן,from,de
52535,Lev,1,2,קָרְבָּ֖ן,קָרְבָּן,offering,ofrecimiento
52536,Lev,1,2,לַֽ,לְ,to,a
52537,Lev,1,2,יהוָ֑ה,יְהוָה,YHWH,YHWH
52538,Lev,1,2,מִן־,מִן,from,de
52539,Lev,1,2,הַ,הַ,the,el
52540,Lev,1,2,בְּהֵמָ֗ה,בְּהֵמָה,cattle,ganado
52541,Lev,1,2,מִן־,מִן,from,de
52542,Lev,1,2,הַ,הַ,the,el
52543,Lev,1,2,בָּקָר֙,בָּקָר,cattle,ganado
52544,Lev,1,2,וּ,וְ,and,y
52545,Lev,1,2,מִן־,מִן,from,de
52546,Lev,1,2,הַ,הַ,the,el
52547,Lev,1,2,צֹּ֔אן,צֹאן,cattle,ganado
52548,Lev,1,2,תַּקְרִ֖יבוּ,קרב,approach,enfoque
52549,Lev,1,2,אֶת־,אֵת,[object marker],[Marcador de objeto]
52550,Lev,1,2,קָרְבַּנְכֶֽם׃,קָרְבָּן,offering,ofrecimiento
52551,Lev,1,3,אִם־,אִם,if,Si
52552,Lev,1,3,עֹלָ֤ה,עֹלָה,burnt-offering,offerta acabada
52553,Lev,1,3,קָרְבָּנֹו֙,קָרְבָּן,offering,ofrecimiento
52554,Lev,1,3,מִן־,מִן,from,de
52555,Lev,1,3,הַ,הַ,the,el
52556,Lev,1,3,בָּקָ֔ר,בָּקָר,cattle,ganado
52557,Lev,1,3,זָכָ֥ר,זָכָר,male,masculino
52558,Lev,1,3,תָּמִ֖ים,תָּמִים,complete,completar
52559,Lev,1,3,יַקְרִיבֶ֑נּוּ,קרב,approach,enfoque
52560,Lev,1,3,אֶל־,אֶל,to,a
52561,Lev,1,3,פֶּ֝תַח,פֶּתַח,opening,apertura
52562,Lev,1,3,אֹ֤הֶל,אֹהֶל,tent,tienda
52563,Lev,1,3,מֹועֵד֙,מֹועֵד,appointment,cita
52564,Lev,1,3,יַקְרִ֣יב,קרב,approach,enfoque
52565,Lev,1,3,אֹתֹ֔ו,אֵת,[object marker],[Marcador de objeto]
52566,Lev,1,3,לִ,לְ,to,a
52567,Lev,1,3,רְצֹנֹ֖ו,רָצֹון,pleasure,Placer
52568,Lev,1,3,לִ,לְ,to,a
52569,Lev,1,3,פְנֵ֥י,פָּנֶה,face,cara
52570,Lev,1,3,יְהוָֽה׃,יְהוָה,YHWH,YHWH
52571,Lev,1,4,וְ,וְ,and,y
52572,Lev,1,4,סָמַ֣ךְ,סמך,support,apoyo
52573,Lev,1,4,יָדֹ֔ו,יָד,hand,mano
52574,Lev,1,4,עַ֖ל,עַל,upon,sobre
52575,Lev,1,4,רֹ֣אשׁ,רֹאשׁ,head,cabeza
52576,Lev,1,4,הָ,הַ,the,el
52577,Lev,1,4,עֹלָ֑ה,עֹלָה,burnt-offering,offerta acabada
52578,Lev,1,4,וְ,וְ,and,y
52579,Lev,1,4,נִרְצָ֥ה,רצה,like,me gusta
52580,Lev,1,4,לֹ֖ו,לְ,to,a
52581,Lev,1,4,לְ,לְ,to,a
52582,Lev,1,4,כַפֵּ֥ר,כפר,cover,cubrir
52583,Lev,1,4,עָלָֽיו׃,עַל,upon,sobre
52584,Lev,1,5,וְ,וְ,and,y
52585,Lev,1,5,שָׁחַ֛ט,שׁחט,slaughter,sacrificio
52586,Lev,1,5,אֶת־,אֵת,[object marker],[Marcador de objeto]
52587,Lev,1,5,בֶּ֥ן,בֵּן,son,hijo
52588,Lev,1,5,הַ,הַ,the,el
52589,Lev,1,5,בָּקָ֖ר,בָּקָר,cattle,ganado
52590,Lev,1,5,לִ,לְ,to,a
52591,Lev,1,5,פְנֵ֣י,פָּנֶה,face,cara
52592,Lev,1,5,יְהוָ֑ה,יְהוָה,YHWH,YHWH
52593,Lev,1,5,וְ֠,וְ,and,y
52594,Lev,1,5,הִקְרִיבוּ,קרב,approach,enfoque
52595,Lev,1,5,בְּנֵ֨י,בֵּן,son,hijo
52596,Lev,1,5,אַהֲרֹ֤ן,אַהֲרֹן,Aaron,Aaron
52597,Lev,1,5,הַֽ,הַ,the,el
52598,Lev,1,5,כֹּֽהֲנִים֙,כֹּהֵן,priest,sacerdote
52599,Lev,1,5,אֶת־,אֵת,[object marker],[Marcador de objeto]
52600,Lev,1,5,הַ,הַ,the,el
52601,Lev,1,5,דָּ֔ם,דָּם,blood,sangre
