word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
69610,Num,1,1,וַ,וְ,and,y
69611,Num,1,1,יְדַבֵּ֨ר,דבר,speak,hablar
69612,Num,1,1,יְהוָ֧ה,יְהוָה,YHWH,YHWH
69613,Num,1,1,אֶל־,אֶל,to,a
69614,Num,1,1,מֹשֶׁ֛ה,מֹשֶׁה,Moses,Moisés
69615,Num,1,1,בְּ,בְּ,in,en
69616,Num,1,1,מִדְבַּ֥ר,מִדְבָּר,desert,Desierto
69617,Num,1,1,סִינַ֖י,סִינַי,Sinai,Sinaí
69618,Num,1,1,בְּ,בְּ,in,en
69619,Num,1,1,אֹ֣הֶל,אֹהֶל,tent,tienda
69620,Num,1,1,מֹועֵ֑ד,מֹועֵד,appointment,cita
69621,Num,1,1,בְּ,בְּ,in,en
69622,Num,1,1,אֶחָד֩,אֶחָד,one,uno
69623,Num,1,1,לַ,לְ,to,a
69624,Num,1,1,,הַ,the,el
69625,Num,1,1,חֹ֨דֶשׁ,חֹדֶשׁ,month,mes
69626,Num,1,1,הַ,הַ,the,el
69627,Num,1,1,שֵּׁנִ֜י,שֵׁנִי,second,segundo
69628,Num,1,1,בַּ,בְּ,in,en
69629,Num,1,1,,הַ,the,el
69630,Num,1,1,שָּׁנָ֣ה,שָׁנָה,year,año
69631,Num,1,1,הַ,הַ,the,el
69632,Num,1,1,שֵּׁנִ֗ית,שֵׁנִי,second,segundo
69633,Num,1,1,לְ,לְ,to,a
69634,Num,1,1,צֵאתָ֛ם,יצא,go out,fuera
69635,Num,1,1,מֵ,מִן,from,de
69636,Num,1,1,אֶ֥רֶץ,אֶרֶץ,earth,tierra
69637,Num,1,1,מִצְרַ֖יִם,מִצְרַיִם,Egypt,Egipto
69638,Num,1,1,לֵ,לְ,to,a
69639,Num,1,1,אמֹֽר׃,אמר,say,decir
69640,Num,1,2,שְׂא֗וּ,נשׂא,lift,ascensor
69641,Num,1,2,אֶת־,אֵת,[object marker],[Marcador de objeto]
69642,Num,1,2,רֹאשׁ֙,רֹאשׁ,head,cabeza
69643,Num,1,2,כָּל־,כֹּל,whole,todo
69644,Num,1,2,עֲדַ֣ת,עֵדָה,gathering,reunión
69645,Num,1,2,בְּנֵֽי־,בֵּן,son,hijo
69646,Num,1,2,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,Israel,Israel
69647,Num,1,2,לְ,לְ,to,a
69648,Num,1,2,מִשְׁפְּחֹתָ֖ם,מִשְׁפָּחָה,clan,clan
69649,Num,1,2,לְ,לְ,to,a
69650,Num,1,2,בֵ֣ית,בַּיִת,house,casa
69651,Num,1,2,אֲבֹתָ֑ם,אָב,father,padre
69652,Num,1,2,בְּ,בְּ,in,en
69653,Num,1,2,מִסְפַּ֣ר,מִסְפָּר,number,número
69654,Num,1,2,שֵׁמֹ֔ות,שֵׁם,name,nombre
69655,Num,1,2,כָּל־,כֹּל,whole,todo
69656,Num,1,2,זָכָ֖ר,זָכָר,male,masculino
69657,Num,1,2,לְ,לְ,to,a
69658,Num,1,2,גֻלְגְּלֹתָֽם׃,גֻּלְגֹּלֶת,skull,cráneo
69659,Num,1,3,מִ,מִן,from,de
69660,Num,1,3,בֶּ֨ן,בֵּן,son,hijo
69661,Num,1,3,עֶשְׂרִ֤ים,עֶשְׂרִים,twenty,veinte
69662,Num,1,3,שָׁנָה֙,שָׁנָה,year,año
69663,Num,1,3,וָ,וְ,and,y
69664,Num,1,3,מַ֔עְלָה,מַעַל,top,parte superior
69665,Num,1,3,כָּל־,כֹּל,whole,todo
69666,Num,1,3,יֹצֵ֥א,יצא,go out,fuera
69667,Num,1,3,צָבָ֖א,צָבָא,service,Servicio
69668,Num,1,3,בְּ,בְּ,in,en
69669,Num,1,3,יִשְׂרָאֵ֑ל,יִשְׂרָאֵל,Israel,Israel
69670,Num,1,3,תִּפְקְד֥וּ,פקד,miss,perder
69671,Num,1,3,אֹתָ֛ם,אֵת,[object marker],[Marcador de objeto]
69672,Num,1,3,לְ,לְ,to,a
69673,Num,1,3,צִבְאֹתָ֖ם,צָבָא,service,Servicio
69674,Num,1,3,אַתָּ֥ה,אַתָּה,you,tú
69675,Num,1,3,וְ,וְ,and,y
69676,Num,1,3,אַהֲרֹֽן׃,אַהֲרֹן,Aaron,Aaron
69677,Num,1,4,וְ,וְ,and,y
69678,Num,1,4,אִתְּכֶ֣ם,אֵת,together with,Juntos con
69679,Num,1,4,יִהְי֔וּ,היה,be,ser
69680,Num,1,4,אִ֥ישׁ,אִישׁ,man,hombre
69681,Num,1,4,אִ֖ישׁ,אִישׁ,man,hombre
69682,Num,1,4,לַ,לְ,to,a
69683,Num,1,4,,הַ,the,el
69684,Num,1,4,מַּטֶּ֑ה,מַטֶּה,staff,personal
69685,Num,1,4,אִ֛ישׁ,אִישׁ,man,hombre
69686,Num,1,4,רֹ֥אשׁ,רֹאשׁ,head,cabeza
69687,Num,1,4,לְ,לְ,to,a
69688,Num,1,4,בֵית־,בַּיִת,house,casa
69689,Num,1,4,אֲבֹתָ֖יו,אָב,father,padre
69690,Num,1,4,הֽוּא׃,הוּא,he,él
69691,Num,1,5,וְ,וְ,and,y
69692,Num,1,5,אֵ֨לֶּה֙,אֵלֶּה,these,estas
69693,Num,1,5,שְׁמֹ֣ות,שֵׁם,name,nombre
69694,Num,1,5,הָֽ,הַ,the,el
69695,Num,1,5,אֲנָשִׁ֔ים,אִישׁ,man,hombre
69696,Num,1,5,אֲשֶׁ֥ר,אֲשֶׁר,[relative],[relativo]
69697,Num,1,5,יַֽעַמְד֖וּ,עמד,stand,estar
69698,Num,1,5,אִתְּכֶ֑ם,אֵת,together with,Juntos con
69699,Num,1,5,לִ,לְ,to,a
69700,Num,1,5,רְאוּבֵ֕ן,רְאוּבֵן,Reuben,Reuben
69701,Num,1,5,אֱלִיצ֖וּר,אֱלִיצוּר,Elizur,Elisur
69702,Num,1,5,בֶּן־,בֵּן,son,hijo
69703,Num,1,5,שְׁדֵיאֽוּר׃,שְׁדֵיאוּר,Shedeur,Sedeur
69704,Num,1,6,לְ,לְ,to,a
69705,Num,1,6,שִׁמְעֹ֕ון,שִׁמְעֹון,Simeon,Simeón
69706,Num,1,6,שְׁלֻמִיאֵ֖ל,שְׁלֻמִיאֵל,Shelumiel,Selumiel
69707,Num,1,6,בֶּן־,בֵּן,son,hijo
69708,Num,1,6,צוּרִֽישַׁדָּֽי׃,צוּרִישַׁדַּי,Zurishaddai,Zurisadai
69709,Num,1,7,לִֽ,לְ,to,a
69710,Num,1,7,יהוּדָ֕ה,יְהוּדָה,Judah,Judá
69711,Num,1,7,נַחְשֹׁ֖ון,נַחְשֹׁון,Nahshon,Najsón
69712,Num,1,7,בֶּן־,בֵּן,son,hijo
69713,Num,1,7,עַמִּינָדָֽב׃,עַמִּינָדָב,Amminadab,Aminadab
69714,Num,1,8,לְ,לְ,to,a
69715,Num,1,8,יִ֨שָּׂשכָ֔ר,יִשָּׂשׂכָר,Issachar,Isacar
69716,Num,1,8,נְתַנְאֵ֖ל,נְתַנְאֵל,Nethanel,Natanael
69717,Num,1,8,בֶּן־,בֵּן,son,hijo
69718,Num,1,8,צוּעָֽר׃,צוּעָר,Zuar,zuar
69719,Num,1,9,לִ,לְ,to,a
69720,Num,1,9,זְבוּלֻ֕ן,זְבוּלֻן,Zebulun,Zabulón
69721,Num,1,9,אֱלִיאָ֖ב,אֱלִיאָב,Eliab,Eliab
69722,Num,1,9,בֶּן־,בֵּן,son,hijo
69723,Num,1,9,חֵלֹֽן׃,חֵלֹן,Helon,Jelón
69724,Num,1,10,לִ,לְ,to,a
69725,Num,1,10,בְנֵ֣י,בֵּן,son,hijo
69726,Num,1,10,יֹוסֵ֔ף,יֹוסֵף,Joseph,Joseph
69727,Num,1,10,לְ,לְ,to,a
69728,Num,1,10,אֶפְרַ֕יִם,אֶפְרַיִם,Ephraim,Ephraim
69729,Num,1,10,אֱלִישָׁמָ֖ע,אֱלִישָׁמָע,Elishama,Elisama
69730,Num,1,10,בֶּן־,בֵּן,son,hijo
69731,Num,1,10,עַמִּיה֑וּד,עַמִּיהוּד,Ammihud,Amihud
69732,Num,1,10,לִ,לְ,to,a
69733,Num,1,10,מְנַשֶּׁ֕ה,מְנַשֶּׁה,Manasseh,Manasés
69734,Num,1,10,גַּמְלִיאֵ֖ל,גַּמְלִיאֵל,Gamaliel,Gamaliel
