word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
355791,Rut,1,1,וַ,וְ,and,y
355792,Rut,1,1,יְהִ֗י,היה,be,ser
355793,Rut,1,1,בִּ,בְּ,in,en
355794,Rut,1,1,ימֵי֙,יֹום,day,día
355795,Rut,1,1,שְׁפֹ֣ט,שׁפט,judge,juez
355796,Rut,1,1,הַ,הַ,the,el
355797,Rut,1,1,שֹּׁפְטִ֔ים,שׁפט,judge,juez
355798,Rut,1,1,וַ,וְ,and,y
355799,Rut,1,1,יְהִ֥י,היה,be,ser
355800,Rut,1,1,רָעָ֖ב,רָעָב,hunger,hambre
355801,Rut,1,1,בָּ,בְּ,in,en
355802,Rut,1,1,,הַ,the,el
355803,Rut,1,1,אָ֑רֶץ,אֶרֶץ,earth,tierra
355804,Rut,1,1,וַ,וְ,and,y
355805,Rut,1,1,יֵּ֨לֶךְ,הלך,walk,caminar
355806,Rut,1,1,אִ֜ישׁ,אִישׁ,man,hombre
355807,Rut,1,1,מִ,מִן,from,de
355808,Rut,1,1,בֵּ֧ית לֶ֣חֶם,בֵּית לֶחֶם,Bethlehem,Belén
355809,Rut,1,1,יְהוּדָ֗ה,יְהוּדָה,Judah,Judá
355810,Rut,1,1,לָ,לְ,to,a
355811,Rut,1,1,גוּר֙,גור,dwell,habitar
355812,Rut,1,1,בִּ,בְּ,in,en
355813,Rut,1,1,שְׂדֵ֣י,שָׂדֶה,open field,campo abierto
355814,Rut,1,1,מֹואָ֔ב,מֹואָב,Moab,Moab
355815,Rut,1,1,ה֥וּא,הוּא,he,él
355816,Rut,1,1,וְ,וְ,and,y
355817,Rut,1,1,אִשְׁתֹּ֖ו,אִשָּׁה,woman,mujer
355818,Rut,1,1,וּ,וְ,and,y
355819,Rut,1,1,שְׁנֵ֥י,שְׁנַיִם,two,dos
355820,Rut,1,1,בָנָֽיו׃,בֵּן,son,hijo
355821,Rut,1,2,וְ,וְ,and,y
355822,Rut,1,2,שֵׁ֣ם,שֵׁם,name,nombre
355823,Rut,1,2,הָ,הַ,the,el
355824,Rut,1,2,אִ֣ישׁ,אִישׁ,man,hombre
355825,Rut,1,2,אֱֽלִימֶ֡לֶךְ,אֱלִימֶלֶךְ,Elimelech,Elimelec
355826,Rut,1,2,וְ,וְ,and,y
355827,Rut,1,2,שֵׁם֩,שֵׁם,name,nombre
355828,Rut,1,2,אִשְׁתֹּ֨ו,אִשָּׁה,woman,mujer
355829,Rut,1,2,נָעֳמִ֜י,נָעֳמִי,Naomi,naomi
355830,Rut,1,2,וְ,וְ,and,y
355831,Rut,1,2,שֵׁ֥ם,שֵׁם,name,nombre
355832,Rut,1,2,שְׁנֵֽי־,שְׁנַיִם,two,dos
355833,Rut,1,2,בָנָ֣יו׀,בֵּן,son,hijo
355834,Rut,1,2,מַחְלֹ֤ון,מַחְלֹון,Mahlon,Mahlon
355835,Rut,1,2,וְ,וְ,and,y
355836,Rut,1,2,כִלְיֹון֙,כִּלְיֹון,Kilion,Quilión
355837,Rut,1,2,אֶפְרָתִ֔ים,אֶפְרָתִי,Ephrathite,Ephrateo
355838,Rut,1,2,מִ,מִן,from,de
355839,Rut,1,2,בֵּ֥ית לֶ֖חֶם,בֵּית לֶחֶם,Bethlehem,Belén
355840,Rut,1,2,יְהוּדָ֑ה,יְהוּדָה,Judah,Judá
355841,Rut,1,2,וַ,וְ,and,y
355842,Rut,1,2,יָּבֹ֥אוּ,בוא,come,ven
355843,Rut,1,2,שְׂדֵי־,שָׂדֶה,open field,campo abierto
