word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
176077,1Re,1,1,וְ,וְ,and,y
176078,1Re,1,1,הַ,הַ,the,el
176079,1Re,1,1,מֶּ֤לֶךְ,מֶלֶךְ,king,Rey
176080,1Re,1,1,דָּוִד֙,דָּוִד,David,David
176081,1Re,1,1,זָקֵ֔ן,זקן,be old,ser viejo
176082,1Re,1,1,בָּ֖א,בוא,come,ven
176083,1Re,1,1,בַּ,בְּ,in,en
176084,1Re,1,1,,הַ,the,el
176085,1Re,1,1,יָּמִ֑ים,יֹום,day,día
176086,1Re,1,1,וַ,וְ,and,y
176087,1Re,1,1,יְכַסֻּ֨הוּ֙,כסה,cover,cubrir
176088,1Re,1,1,בַּ,בְּ,in,en
176089,1Re,1,1,,הַ,the,el
176090,1Re,1,1,בְּגָדִ֔ים,בֶּגֶד,garment,prenda
176091,1Re,1,1,וְ,וְ,and,y
176092,1Re,1,1,לֹ֥א,לֹא,not,no
176093,1Re,1,1,יִחַ֖ם,חמם,be hot,tener calor
176094,1Re,1,1,לֹֽו׃,לְ,to,a
176095,1Re,1,2,וַ,וְ,and,y
176096,1Re,1,2,יֹּ֧אמְרוּ,אמר,say,decir
176097,1Re,1,2,לֹ֣ו,לְ,to,a
176098,1Re,1,2,עֲבָדָ֗יו,עֶבֶד,servant,servidor
176099,1Re,1,2,יְבַקְשׁ֞וּ,בקשׁ,seek,buscar
176100,1Re,1,2,לַ,לְ,to,a
176101,1Re,1,2,אדֹנִ֤י,אָדֹון,lord,señor
176102,1Re,1,2,הַ,הַ,the,el
176103,1Re,1,2,מֶּ֨לֶךְ֙,מֶלֶךְ,king,Rey
176104,1Re,1,2,נַעֲרָ֣ה,נַעֲרָה,girl,niña
176105,1Re,1,2,בְתוּלָ֔ה,בְּתוּלָה,virgin,Virgen
176106,1Re,1,2,וְ,וְ,and,y
176107,1Re,1,2,עָֽמְדָה֙,עמד,stand,estar
176108,1Re,1,2,לִ,לְ,to,a
176109,1Re,1,2,פְנֵ֣י,פָּנֶה,face,cara
176110,1Re,1,2,הַ,הַ,the,el
176111,1Re,1,2,מֶּ֔לֶךְ,מֶלֶךְ,king,Rey
176112,1Re,1,2,וּ,וְ,and,y
176113,1Re,1,2,תְהִי־,היה,be,ser
176114,1Re,1,2,לֹ֖ו,לְ,to,a
176115,1Re,1,2,סֹכֶ֑נֶת,סכן,serve,servir
176116,1Re,1,2,וְ,וְ,and,y
176117,1Re,1,2,שָׁכְבָ֣ה,שׁכב,lie down,acostarse
176118,1Re,1,2,בְ,בְּ,in,en
176119,1Re,1,2,חֵיקֶ֔ךָ,חֵיק,lap,regazo
176120,1Re,1,2,וְ,וְ,and,y
176121,1Re,1,2,חַ֖ם,חמם,be hot,tener calor
176122,1Re,1,2,לַ,לְ,to,a
176123,1Re,1,2,אדֹנִ֥י,אָדֹון,lord,señor
176124,1Re,1,2,הַ,הַ,the,el
176125,1Re,1,2,מֶּֽלֶךְ׃,מֶלֶךְ,king,Rey
176126,1Re,1,3,וַ,וְ,and,y
176127,1Re,1,3,יְבַקְשׁוּ֙,בקשׁ,seek,buscar
176128,1Re,1,3,נַעֲרָ֣ה,נַעֲרָה,girl,niña
176129,1Re,1,3,יָפָ֔ה,יָפֶה,beautiful,hermosa
176130,1Re,1,3,בְּ,בְּ,in,en
176131,1Re,1,3,כֹ֖ל,כֹּל,whole,todo
176132,1Re,1,3,גְּב֣וּל,גְּבוּל,boundary,límite
176133,1Re,1,3,יִשְׂרָאֵ֑ל,יִשְׂרָאֵל,Israel,Israel
176134,1Re,1,3,וַֽ,וְ,and,y
176135,1Re,1,3,יִּמְצְא֗וּ,מצא,find,encontrar
176136,1Re,1,3,אֶת־,אֵת,[object marker],[Marcador de objeto]
176137,1Re,1,3,אֲבִישַׁג֙,אֲבִישַׁג,Abishag,Abishag
176138,1Re,1,3,הַ,הַ,the,el
176139,1Re,1,3,שּׁ֣וּנַמִּ֔ית,שׁוּנַמִּי,Shunammite,sunamita
176140,1Re,1,3,וַ,וְ,and,y
176141,1Re,1,3,יָּבִ֥אוּ,בוא,come,ven
176142,1Re,1,3,אֹתָ֖הּ,אֵת,[object marker],[Marcador de objeto]
176143,1Re,1,3,לַ,לְ,to,a
176144,1Re,1,3,,הַ,the,el
176145,1Re,1,3,מֶּֽלֶךְ׃,מֶלֶךְ,king,Rey
176146,1Re,1,4,וְ,וְ,and,y
176147,1Re,1,4,הַֽ,הַ,the,el
176148,1Re,1,4,נַּעֲרָ֖ה,נַעֲרָה,girl,niña
176149,1Re,1,4,יָפָ֣ה,יָפֶה,beautiful,hermosa
176150,1Re,1,4,עַד־,עַד,unto,hasta
176151,1Re,1,4,מְאֹ֑ד,מְאֹד,might,podría
176152,1Re,1,4,וַ,וְ,and,y
176153,1Re,1,4,תְּהִ֨י,היה,be,ser
176154,1Re,1,4,לַ,לְ,to,a
176155,1Re,1,4,,הַ,the,el
176156,1Re,1,4,מֶּ֤לֶךְ,מֶלֶךְ,king,Rey
176157,1Re,1,4,סֹכֶ֨נֶת֙,סכן,serve,servir
176158,1Re,1,4,וַ,וְ,and,y
176159,1Re,1,4,תְּשָׁ֣רְתֵ֔הוּ,שׁרת,serve,servir
176160,1Re,1,4,וְ,וְ,and,y
176161,1Re,1,4,הַ,הַ,the,el
176162,1Re,1,4,מֶּ֖לֶךְ,מֶלֶךְ,king,Rey
176163,1Re,1,4,לֹ֥א,לֹא,not,no
176164,1Re,1,4,יְדָעָֽהּ׃,ידע,know,saber
176165,1Re,1,5,וַ,וְ,and,y
176166,1Re,1,5,אֲדֹנִיָּ֧ה,אֲדֹנִיָּה,Adonijah,Adonías
176167,1Re,1,5,בֶן־,בֵּן,son,hijo
176168,1Re,1,5,חַגִּ֛ית,חַגִּית,Haggith,Jaguit
176169,1Re,1,5,מִתְנַשֵּׂ֥א,נשׂא,lift,ascensor
176170,1Re,1,5,לֵ,לְ,to,a
176171,1Re,1,5,אמֹ֖ר,אמר,say,decir
176172,1Re,1,5,אֲנִ֣י,אֲנִי,i,yo
176173,1Re,1,5,אֶמְלֹ֑ךְ,מלך,be king,se Rey
176174,1Re,1,5,וַ,וְ,and,y
176175,1Re,1,5,יַּ֣עַשׂ,עשׂה,make,hacer
176176,1Re,1,5,לֹ֗ו,לְ,to,a
176177,1Re,1,5,רֶ֚כֶב,רֶכֶב,chariot,carruaje
176178,1Re,1,5,וּ,וְ,and,y
176179,1Re,1,5,פָ֣רָשִׁ֔ים,פָּרָשׁ,horseman,jinete
176180,1Re,1,5,וַ,וְ,and,y
176181,1Re,1,5,חֲמִשִּׁ֥ים,חָמֵשׁ,five,cinco
176182,1Re,1,5,אִ֖ישׁ,אִישׁ,man,hombre
176183,1Re,1,5,רָצִ֥ים,רוץ,run,correr
176184,1Re,1,5,לְ,לְ,to,a
176185,1Re,1,5,פָנָֽיו׃,פָּנֶה,face,cara
176186,1Re,1,6,וְ,וְ,and,y
176187,1Re,1,6,לֹֽא־,לֹא,not,no
176188,1Re,1,6,עֲצָבֹ֨ו,עצב,hurt,herir
176189,1Re,1,6,אָבִ֤יו,אָב,father,padre
176190,1Re,1,6,מִ,מִן,from,de
176191,1Re,1,6,יָּמָיו֙,יֹום,day,día
176192,1Re,1,6,לֵ,לְ,to,a
176193,1Re,1,6,אמֹ֔ר,אמר,say,decir
176194,1Re,1,6,מַדּ֖וּעַ,מַדּוּעַ,why,por qué
176195,1Re,1,6,כָּ֣כָה,כָּכָה,thus,así
176196,1Re,1,6,עָשִׂ֑יתָ,עשׂה,make,hacer
176197,1Re,1,6,וְ,וְ,and,y
176198,1Re,1,6,גַם־,גַּם,even,incluso
176199,1Re,1,6,ה֤וּא,הוּא,he,él
176200,1Re,1,6,טֹֽוב־,טֹוב,good,bueno
176201,1Re,1,6,תֹּ֨אַר֙,תֹּאַר,form,formar
176202,1Re,1,6,מְאֹ֔ד,מְאֹד,might,podría
176203,1Re,1,6,וְ,וְ,and,y
176204,1Re,1,6,אֹתֹ֥ו,אֵת,[object marker],[Marcador de objeto]
176205,1Re,1,6,יָלְדָ֖ה,ילד,bear,oso
176206,1Re,1,6,אַחֲרֵ֥י,אַחַר,after,después
176207,1Re,1,6,אַבְשָׁלֹֽום׃,אַבְשָׁלֹום,Absalom,Absalón
176208,1Re,1,7,וַ,וְ,and,y
176209,1Re,1,7,יִּהְי֣וּ,היה,be,ser
176210,1Re,1,7,דְבָרָ֔יו,דָּבָר,word,palabra
176211,1Re,1,7,עִ֚ם,עִם,with,con
176212,1Re,1,7,יֹואָ֣ב,יֹואָב,Joab,Joab
176213,1Re,1,7,בֶּן־,בֵּן,son,hijo
176214,1Re,1,7,צְרוּיָ֔ה,צְרוּיָה,Zeruiah,Sarvia
176215,1Re,1,7,וְ,וְ,and,y
176216,1Re,1,7,עִ֖ם,עִם,with,con
176217,1Re,1,7,אֶבְיָתָ֣ר,אֶבְיָתָר,Abiathar,Abiatar
176218,1Re,1,7,הַ,הַ,the,el
176219,1Re,1,7,כֹּהֵ֑ן,כֹּהֵן,priest,sacerdote
176220,1Re,1,7,וַֽ,וְ,and,y
176221,1Re,1,7,יַּעְזְר֔וּ,עזר,help,ayuda
176222,1Re,1,7,אַחֲרֵ֖י,אַחַר,after,después
176223,1Re,1,7,אֲדֹנִיָּֽה׃,אֲדֹנִיָּה,Adonijah,Adonías
176224,1Re,1,8,וְ,וְ,and,y
176225,1Re,1,8,צָדֹ֣וק,צָדֹוק,Zadok,Sadoc
176226,1Re,1,8,הַ֠,הַ,the,el
176227,1Re,1,8,כֹּהֵן,כֹּהֵן,priest,sacerdote
176228,1Re,1,8,וּ,וְ,and,y
176229,1Re,1,8,בְנָיָ֨הוּ,בְּנָיָהוּ,Benaiah,Benaía
176230,1Re,1,8,בֶן־,בֵּן,son,hijo
176231,1Re,1,8,יְהֹויָדָ֜ע,יְהֹויָדָע,Jehoiada,Joiada
176232,1Re,1,8,וְ,וְ,and,y
176233,1Re,1,8,נָתָ֤ן,נָתָן,Nathan,Nathan
176234,1Re,1,8,הַ,הַ,the,el
176235,1Re,1,8,נָּבִיא֙,נָבִיא,prophet,profeta
