word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
391256,1Cr,1,1,אָדָ֥ם,אָדָם,Adam,Adán
391257,1Cr,1,1,שֵׁ֖ת,שֵׁת,Seth,Seth
391258,1Cr,1,1,אֱנֹֽושׁ׃,אֱנֹושׁ,Enosh,enosh
391259,1Cr,1,2,קֵינָ֥ן,קֵינָן,Kenan,Kenan
391260,1Cr,1,2,מַהֲלַלְאֵ֖ל,מַהֲלַלְאֵל,Mahalalel,Mahalalel
391261,1Cr,1,2,יָֽרֶד׃,יֶרֶד,Jered,Jered
391262,1Cr,1,3,חֲנֹ֥וךְ,חֲנֹוךְ,Henoch,Henoch
391263,1Cr,1,3,מְתוּשֶׁ֖לַח,מְתוּשֶׁלַח,Methuselah,Matusalén
391264,1Cr,1,3,לָֽמֶךְ׃,לֶמֶךְ,Lamech,Lamec
391265,1Cr,1,4,נֹ֥חַ,נֹחַ,Noah,Noé
391266,1Cr,1,4,שֵׁ֖ם,שֵׁם,Shem,Sem
391267,1Cr,1,4,חָ֥ם,חָם,Ham,jamón
391268,1Cr,1,4,וָ,וְ,and,y
391269,1Cr,1,4,יָֽפֶת׃ ס,יֶפֶת,Japheth,Jafet
391270,1Cr,1,5,בְּנֵ֣י,בֵּן,son,hijo
391271,1Cr,1,5,יֶ֔פֶת,יֶפֶת,Japheth,Jafet
391272,1Cr,1,5,גֹּ֣מֶר,גֹּמֶר,Gomer,Gomer
391273,1Cr,1,5,וּ,וְ,and,y
391274,1Cr,1,5,מָגֹ֔וג,מָגֹוג,Magog,Magog
391275,1Cr,1,5,וּ,וְ,and,y
391276,1Cr,1,5,מָדַ֖י,מָדַי,Media,Medios de comunicación
391277,1Cr,1,5,וְ,וְ,and,y
391278,1Cr,1,5,יָוָ֣ן,יָוָן,jawan Greece],jawan Grecia]
391279,1Cr,1,5,וְ,וְ,and,y
391280,1Cr,1,5,תֻבָ֑ל,תֻּבַל,Tubal,Tubal
391281,1Cr,1,5,וּ,וְ,and,y
391282,1Cr,1,5,מֶ֖שֶׁךְ,מֶשֶׁךְ,Meshech,Meshech
391283,1Cr,1,5,וְ,וְ,and,y
391284,1Cr,1,5,תִירָֽס׃ ס,תִּירָס,Tiras,Tiras
391285,1Cr,1,6,וּ,וְ,and,y
391286,1Cr,1,6,בְנֵ֖י,בֵּן,son,hijo
391287,1Cr,1,6,גֹּ֑מֶר,גֹּמֶר,Gomer,Gomer
391288,1Cr,1,6,אַשְׁכֲּנַ֥ז,אַשְׁכֲּנַז,Ashkenaz,Asquenaz
391289,1Cr,1,6,וְ,וְ,and,y
391290,1Cr,1,6,דִיפַ֖ת,דִּיפַת,Riphath,Rifat
391291,1Cr,1,6,וְ,וְ,and,y
391292,1Cr,1,6,תֹוגַרְמָֽה׃,תֹּוגַרְמָה,Togarmah,Togarmá
391293,1Cr,1,7,וּ,וְ,and,y
391294,1Cr,1,7,בְנֵ֥י,בֵּן,son,hijo
391295,1Cr,1,7,יָוָ֖ן,יָוָן,[jawan Greece],[Jawan Grecia]
391296,1Cr,1,7,אֱלִישָׁ֣ה,אֱלִישָׁה,Elishah,Elisa
391297,1Cr,1,7,וְ,וְ,and,y
391298,1Cr,1,7,תַרְשִׁ֑ישָׁה,תַּרְשִׁישׁ,Tarshish,Tarsis
391299,1Cr,1,7,כִּתִּ֖ים,כִּתִּיִּים,Kittim,Kitim
391300,1Cr,1,7,וְ,וְ,and,y
391301,1Cr,1,7,רֹודָנִֽים׃ ס,רֹודָנִים,Rodanim,Rodanim
391302,1Cr,1,8,בְּנֵ֖י,בֵּן,son,hijo
391303,1Cr,1,8,חָ֑ם,חָם,Ham,jamón
391304,1Cr,1,8,כּ֥וּשׁ,כּוּשׁ,Cush,Cush
391305,1Cr,1,8,וּ,וְ,and,y
391306,1Cr,1,8,מִצְרַ֖יִם,מִצְרַיִם,Egypt,Egipto
391307,1Cr,1,8,פּ֥וּט,פּוּט,Put,Poner
391308,1Cr,1,8,וּ,וְ,and,y
391309,1Cr,1,8,כְנָֽעַן׃,כְּנַעַן,Canaan,Canaán
391310,1Cr,1,9,וּ,וְ,and,y
391311,1Cr,1,9,בְנֵ֣י,בֵּן,son,hijo
391312,1Cr,1,9,כ֔וּשׁ,כּוּשׁ,Cush,Cush
391313,1Cr,1,9,סְבָא֙,סְבָא,Seba,seba
391314,1Cr,1,9,וַ,וְ,and,y
391315,1Cr,1,9,חֲוִילָ֔ה,חֲוִילָה,Havilah,Havila
391316,1Cr,1,9,וְ,וְ,and,y
391317,1Cr,1,9,סַבְתָּ֥א,סַבְתָּא,Sabta,sabta
391318,1Cr,1,9,וְ,וְ,and,y
391319,1Cr,1,9,רַעְמָ֖א,רַעְמָה,Raamah,Raamá
