word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
406818,2Cr,1,1,וַ,וְ,and,y
406819,2Cr,1,1,יִּתְחַזֵּ֛ק,חזק,be strong,sé fuerte
406820,2Cr,1,1,שְׁלֹמֹ֥ה,שְׁלֹמֹה,Solomon,Salomón
406821,2Cr,1,1,בֶן־,בֵּן,son,hijo
406822,2Cr,1,1,דָּוִ֖יד,דָּוִד,David,David
406823,2Cr,1,1,עַל־,עַל,upon,sobre
406824,2Cr,1,1,מַלְכוּתֹ֑ו,מַלְכוּת,kingship,monarquía
406825,2Cr,1,1,וַ,וְ,and,y
406826,2Cr,1,1,יהוָ֤ה,יְהוָה,YHWH,YHWH
406827,2Cr,1,1,אֱלֹהָיו֙,אֱלֹהִים,god(s),gallinero)
406828,2Cr,1,1,עִמֹּ֔ו,עִם,with,con
406829,2Cr,1,1,וַֽ,וְ,and,y
406830,2Cr,1,1,יְגַדְּלֵ֖הוּ,גדל,be strong,sé fuerte
406831,2Cr,1,1,לְ,לְ,to,a
406832,2Cr,1,1,מָֽעְלָה׃,מַעַל,top,parte superior
406833,2Cr,1,2,וַ,וְ,and,y
406834,2Cr,1,2,יֹּ֣אמֶר,אמר,say,decir
406835,2Cr,1,2,שְׁלֹמֹ֣ה,שְׁלֹמֹה,Solomon,Salomón
406836,2Cr,1,2,לְ,לְ,to,a
406837,2Cr,1,2,כָל־,כֹּל,whole,todo
406838,2Cr,1,2,יִשְׂרָאֵ֡ל,יִשְׂרָאֵל,Israel,Israel
406839,2Cr,1,2,לְ,לְ,to,a
406840,2Cr,1,2,שָׂרֵי֩,שַׂר,chief,jefe
406841,2Cr,1,2,הָ,הַ,the,el
406842,2Cr,1,2,אֲלָפִ֨ים,אֶלֶף,thousand,mil
406843,2Cr,1,2,וְ,וְ,and,y
406844,2Cr,1,2,הַ,הַ,the,el
406845,2Cr,1,2,מֵּאֹ֜ות,מֵאָה,hundred,cien
406846,2Cr,1,2,וְ,וְ,and,y
406847,2Cr,1,2,לַ,לְ,to,a
406848,2Cr,1,2,,הַ,the,el
406849,2Cr,1,2,שֹּֽׁפְטִ֗ים,שׁפט,judge,juez
406850,2Cr,1,2,וּ,וְ,and,y
406851,2Cr,1,2,לְ,לְ,to,a
406852,2Cr,1,2,כֹ֛ל,כֹּל,whole,todo
406853,2Cr,1,2,נָשִׂ֥יא,נָשִׂיא,chief,jefe
406854,2Cr,1,2,לְ,לְ,to,a
406855,2Cr,1,2,כָל־,כֹּל,whole,todo
406856,2Cr,1,2,יִשְׂרָאֵ֖ל,יִשְׂרָאֵל,Israel,Israel
406857,2Cr,1,2,רָאשֵׁ֥י,רֹאשׁ,head,cabeza
406858,2Cr,1,2,הָ,הַ,the,el
406859,2Cr,1,2,אָבֹֽות׃,אָב,father,padre
406860,2Cr,1,3,וַ,וְ,and,y
406861,2Cr,1,3,יֵּלְכ֗וּ,הלך,walk,caminar
406862,2Cr,1,3,שְׁלֹמֹה֙,שְׁלֹמֹה,Solomon,Salomón
406863,2Cr,1,3,וְ,וְ,and,y
406864,2Cr,1,3,כָל־,כֹּל,whole,todo
406865,2Cr,1,3,הַ,הַ,the,el
406866,2Cr,1,3,קָּהָ֣ל,קָהָל,assembly,montaje
406867,2Cr,1,3,עִמֹּ֔ו,עִם,with,con
406868,2Cr,1,3,לַ,לְ,to,a
406869,2Cr,1,3,,הַ,the,el
406870,2Cr,1,3,בָּמָ֖ה,בָּמָה,high place,lugar alto
406871,2Cr,1,3,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
406872,2Cr,1,3,בְּ,בְּ,in,en
406873,2Cr,1,3,גִבְעֹ֑ון,גִּבְעֹון,Gibeon,Gabaón
406874,2Cr,1,3,כִּי־,כִּי,that,ese
406875,2Cr,1,3,שָׁ֣ם,שָׁם,there,ahí
406876,2Cr,1,3,הָיָ֗ה,היה,be,ser
406877,2Cr,1,3,אֹ֤הֶל,אֹהֶל,tent,tienda
406878,2Cr,1,3,מֹועֵד֙,מֹועֵד,appointment,cita
406879,2Cr,1,3,הָֽ,הַ,the,el
406880,2Cr,1,3,אֱלֹהִ֔ים,אֱלֹהִים,god(s),gallinero)
406881,2Cr,1,3,אֲשֶׁ֥ר,אֲשֶׁר,[relative],[relativo]
406882,2Cr,1,3,עָשָׂ֛ה,עשׂה,make,hacer
406883,2Cr,1,3,מֹשֶׁ֥ה,מֹשֶׁה,Moses,Moisés
406884,2Cr,1,3,עֶֽבֶד־,עֶבֶד,servant,servidor
406885,2Cr,1,3,יְהוָ֖ה,יְהוָה,YHWH,YHWH
406886,2Cr,1,3,בַּ,בְּ,in,en
406887,2Cr,1,3,,הַ,the,el
406888,2Cr,1,3,מִּדְבָּֽר׃,מִדְבָּר,desert,Desierto
406889,2Cr,1,4,אֲבָ֗ל,אֲבָל,verily,en verdad
406890,2Cr,1,4,אֲרֹ֤ון,אֲרֹון,ark,arca
406891,2Cr,1,4,הָ,הַ,the,el
406892,2Cr,1,4,אֱלֹהִים֙,אֱלֹהִים,god(s),gallinero)
406893,2Cr,1,4,הֶעֱלָ֤ה,עלה,ascend,ascender
406894,2Cr,1,4,דָוִיד֙,דָּוִד,David,David
406895,2Cr,1,4,מִ,מִן,from,de
406896,2Cr,1,4,קִּרְיַ֣ת יְעָרִ֔ים,קִרְיַת יְעָרִים,Kiriath Jearim,Quiriat-jearim
406897,2Cr,1,4,בַּֽ,בְּ,in,en
406898,2Cr,1,4,,הַ,the,el
406899,2Cr,1,4,הֵכִ֥ין,כון,be firm,Se firme
406900,2Cr,1,4,לֹ֖ו,לְ,to,a
406901,2Cr,1,4,דָּוִ֑יד,דָּוִד,David,David
406902,2Cr,1,4,כִּ֧י,כִּי,that,ese
406903,2Cr,1,4,נָֽטָה־,נטה,extend,ampliar
406904,2Cr,1,4,לֹ֛ו,לְ,to,a
406905,2Cr,1,4,אֹ֖הֶל,אֹהֶל,tent,tienda
406906,2Cr,1,4,בִּ,בְּ,in,en
406907,2Cr,1,4,ירוּשָׁלִָֽם׃,יְרוּשָׁלִַם,Jerusalem,Jerusalén
406908,2Cr,1,5,וּ,וְ,and,y
406909,2Cr,1,5,מִזְבַּ֣ח,מִזְבֵּחַ,altar,altar
406910,2Cr,1,5,הַ,הַ,the,el
406911,2Cr,1,5,נְּחֹ֗שֶׁת,נְחֹשֶׁת,bronze,bronce
406912,2Cr,1,5,אֲשֶׁ֤ר,אֲשֶׁר,[relative],[relativo]
406913,2Cr,1,5,עָשָׂה֙,עשׂה,make,hacer
406914,2Cr,1,5,בְּצַלְאֵל֙,בְּצַלְאֵל,Bezalel,bezalel
406915,2Cr,1,5,בֶּן־,בֵּן,son,hijo
406916,2Cr,1,5,אוּרִ֣י,אוּרִי,Uri,Uri
406917,2Cr,1,5,בֶן־,בֵּן,son,hijo
406918,2Cr,1,5,ח֔וּר,חוּר,Hur,Hur
406919,2Cr,1,5,שָׂ֕ם,שׂים,put,poner
406920,2Cr,1,5,לִ,לְ,to,a
406921,2Cr,1,5,פְנֵ֖י,פָּנֶה,face,cara
406922,2Cr,1,5,מִשְׁכַּ֣ן,מִשְׁכָּן,dwelling-place,lugar de la vivienda
406923,2Cr,1,5,יְהוָ֑ה,יְהוָה,YHWH,YHWH
406924,2Cr,1,5,וַ,וְ,and,y
406925,2Cr,1,5,יִּדְרְשֵׁ֥הוּ,דרשׁ,inquire,preguntar
406926,2Cr,1,5,שְׁלֹמֹ֖ה,שְׁלֹמֹה,Solomon,Salomón
406927,2Cr,1,5,וְ,וְ,and,y
406928,2Cr,1,5,הַ,הַ,the,el
406929,2Cr,1,5,קָּהָֽל׃,קָהָל,assembly,montaje
406930,2Cr,1,6,וַ,וְ,and,y
406931,2Cr,1,6,יַּעַל֩,עלה,ascend,ascender
406932,2Cr,1,6,שְׁלֹמֹ֨ה,שְׁלֹמֹה,Solomon,Salomón
406933,2Cr,1,6,שָׁ֜ם,שָׁם,there,ahí
406934,2Cr,1,6,עַל־,עַל,upon,sobre
406935,2Cr,1,6,מִזְבַּ֤ח,מִזְבֵּחַ,altar,altar
406936,2Cr,1,6,הַ,הַ,the,el
406937,2Cr,1,6,נְּחֹ֨שֶׁת֙,נְחֹשֶׁת,bronze,bronce
406938,2Cr,1,6,לִ,לְ,to,a
406939,2Cr,1,6,פְנֵ֣י,פָּנֶה,face,cara
406940,2Cr,1,6,יְהוָ֔ה,יְהוָה,YHWH,YHWH
406941,2Cr,1,6,אֲשֶׁ֖ר,אֲשֶׁר,[relative],[relativo]
406942,2Cr,1,6,לְ,לְ,to,a
406943,2Cr,1,6,אֹ֣הֶל,אֹהֶל,tent,tienda
406944,2Cr,1,6,מֹועֵ֑ד,מֹועֵד,appointment,cita
406945,2Cr,1,6,וַ,וְ,and,y
406946,2Cr,1,6,יַּ֧עַל,עלה,ascend,ascender
406947,2Cr,1,6,עָלָ֛יו,עַל,upon,sobre
406948,2Cr,1,6,עֹלֹ֖ות,עֹלָה,burnt-offering,offerta acabada
406949,2Cr,1,6,אָֽלֶף׃,אֶלֶף,thousand,mil
406950,2Cr,1,7,בַּ,בְּ,in,en
406951,2Cr,1,7,,הַ,the,el
406952,2Cr,1,7,לַּ֣יְלָה,לַיְלָה,night,noche
406953,2Cr,1,7,הַ,הַ,the,el
406954,2Cr,1,7,ה֔וּא,הוּא,he,él
406955,2Cr,1,7,נִרְאָ֥ה,ראה,see,ver
406956,2Cr,1,7,אֱלֹהִ֖ים,אֱלֹהִים,god(s),gallinero)
406957,2Cr,1,7,לִ,לְ,to,a
406958,2Cr,1,7,שְׁלֹמֹ֑ה,שְׁלֹמֹה,Solomon,Salomón
406959,2Cr,1,7,וַ,וְ,and,y
406960,2Cr,1,7,יֹּ֣אמֶר,אמר,say,decir
406961,2Cr,1,7,לֹ֔ו,לְ,to,a
406962,2Cr,1,7,שְׁאַ֖ל,שׁאל,ask,pedir
406963,2Cr,1,7,מָ֥ה,מָה,what,qué
406964,2Cr,1,7,אֶתֶּן־,נתן,give,dar
406965,2Cr,1,7,לָֽךְ׃,לְ,to,a
406966,2Cr,1,8,וַ,וְ,and,y
406967,2Cr,1,8,יֹּ֤אמֶר,אמר,say,decir
406968,2Cr,1,8,שְׁלֹמֹה֙,שְׁלֹמֹה,Solomon,Salomón
406969,2Cr,1,8,לֵֽ,לְ,to,a
406970,2Cr,1,8,אלֹהִ֔ים,אֱלֹהִים,god(s),gallinero)
406971,2Cr,1,8,אַתָּ֗ה,אַתָּה,you,tú
406972,2Cr,1,8,עָשִׂ֛יתָ,עשׂה,make,hacer
406973,2Cr,1,8,עִם־,עִם,with,con
406974,2Cr,1,8,דָּוִ֥יד,דָּוִד,David,David
406975,2Cr,1,8,אָבִ֖י,אָב,father,padre
406976,2Cr,1,8,חֶ֣סֶד,חֶסֶד,loyalty,lealtad
406977,2Cr,1,8,גָּדֹ֑ול,גָּדֹול,great,estupendo
406978,2Cr,1,8,וְ,וְ,and,y
406979,2Cr,1,8,הִמְלַכְתַּ֖נִי,מלך,be king,se Rey
406980,2Cr,1,8,תַּחְתָּֽיו׃,תַּחַת,under part,bajo la parte
406981,2Cr,1,9,עַתָּה֙,עַתָּה,now,ahora
406982,2Cr,1,9,יְהוָ֣ה,יְהוָה,YHWH,YHWH
406983,2Cr,1,9,אֱלֹהִ֔ים,אֱלֹהִים,god(s),gallinero)
406984,2Cr,1,9,יֵֽאָמֵן֙,אמן,be firm,Se firme
406985,2Cr,1,9,דְּבָ֣רְךָ֔,דָּבָר,word,palabra
406986,2Cr,1,9,עִ֖ם,עִם,with,con
406987,2Cr,1,9,דָּוִ֣יד,דָּוִד,David,David
406988,2Cr,1,9,אָבִ֑י,אָב,father,padre
406989,2Cr,1,9,כִּ֤י,כִּי,that,ese
406990,2Cr,1,9,אַתָּה֙,אַתָּה,you,tú
406991,2Cr,1,9,הִמְלַכְתַּ֔נִי,מלך,be king,se Rey
406992,2Cr,1,9,עַל־,עַל,upon,sobre
406993,2Cr,1,9,עַ֕ם,עַם,people,gente
406994,2Cr,1,9,רַ֖ב,רַב,much,mucho
406995,2Cr,1,9,כַּ,כְּ,as,como
406996,2Cr,1,9,עֲפַ֥ר,עָפָר,dust,polvo
406997,2Cr,1,9,הָ,הַ,the,el
406998,2Cr,1,9,אָֽרֶץ׃,אֶרֶץ,earth,tierra
406999,2Cr,1,10,עַתָּ֗ה,עַתָּה,now,ahora
407000,2Cr,1,10,חָכְמָ֤ה,חָכְמָה,wisdom,sabiduría
407001,2Cr,1,10,וּ,וְ,and,y
407002,2Cr,1,10,מַדָּע֙,מַדָּע,knowledge,conocimiento
407003,2Cr,1,10,תֶּן־,נתן,give,dar
407004,2Cr,1,10,לִ֔י,לְ,to,a
407005,2Cr,1,10,וְ,וְ,and,y
407006,2Cr,1,10,אֵֽצְאָ֛ה,יצא,go out,fuera
407007,2Cr,1,10,לִ,לְ,to,a
407008,2Cr,1,10,פְנֵ֥י,פָּנֶה,face,cara
407009,2Cr,1,10,הָֽ,הַ,the,el
407010,2Cr,1,10,עָם־,עַם,people,gente
407011,2Cr,1,10,הַ,הַ,the,el
407012,2Cr,1,10,זֶּ֖ה,זֶה,this,esta
407013,2Cr,1,10,וְ,וְ,and,y
407014,2Cr,1,10,אָבֹ֑ואָה,בוא,come,ven
407015,2Cr,1,10,כִּֽי־,כִּי,that,ese
