word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
383414,Neh,1,1,דִּבְרֵ֥י,דָּבָר,word,palabra
383415,Neh,1,1,נְחֶמְיָ֖ה,נְחֶמְיָה,Nehemiah,Nehemías
383416,Neh,1,1,בֶּן־,בֵּן,son,hijo
383417,Neh,1,1,חֲכַלְיָ֑ה,חֲכַלְיָה,Hacaliah,Hacalías
383418,Neh,1,1,וַ,וְ,and,y
383419,Neh,1,1,יְהִ֤י,היה,be,ser
383420,Neh,1,1,בְ,בְּ,in,en
383421,Neh,1,1,חֹֽדֶשׁ־,חֹדֶשׁ,month,mes
383422,Neh,1,1,כִּסְלֵיו֙,כִּסְלֵו,Kislev,Kislev
383423,Neh,1,1,שְׁנַ֣ת,שָׁנָה,year,año
383424,Neh,1,1,עֶשְׂרִ֔ים,עֶשְׂרִים,twenty,veinte
383425,Neh,1,1,וַ,וְ,and,y
383426,Neh,1,1,אֲנִ֥י,אֲנִי,i,yo
383427,Neh,1,1,הָיִ֖יתִי,היה,be,ser
383428,Neh,1,1,בְּ,בְּ,in,en
383429,Neh,1,1,שׁוּשַׁ֥ן,שׁוּשַׁן,Susa,Susa
383430,Neh,1,1,הַ,הַ,the,el
383431,Neh,1,1,בִּירָֽה׃,בִּירָה,citadel,ciudadela
383432,Neh,1,2,וַ,וְ,and,y
383433,Neh,1,2,יָּבֹ֨א,בוא,come,ven
383434,Neh,1,2,חֲנָ֜נִי,חֲנָנִי,Hanani,hanani
383435,Neh,1,2,אֶחָ֧ד,אֶחָד,one,uno
383436,Neh,1,2,מֵ,מִן,from,de
383437,Neh,1,2,אַחַ֛י,אָח,brother,hermano
383438,Neh,1,2,ה֥וּא,הוּא,he,él
383439,Neh,1,2,וַ,וְ,and,y
383440,Neh,1,2,אֲנָשִׁ֖ים,אִישׁ,man,hombre
383441,Neh,1,2,מִֽ,מִן,from,de
383442,Neh,1,2,יהוּדָ֑ה,יְהוּדָה,Judah,Judá
383443,Neh,1,2,וָ,וְ,and,y
383444,Neh,1,2,אֶשְׁאָלֵ֞ם,שׁאל,ask,pedir
383445,Neh,1,2,עַל־,עַל,upon,sobre
383446,Neh,1,2,הַ,הַ,the,el
383447,Neh,1,2,יְּהוּדִ֧ים,יְהוּדִי,Jewish,judío
383448,Neh,1,2,הַ,הַ,the,el
383449,Neh,1,2,פְּלֵיטָ֛ה,פְּלֵיטָה,escape,escapar
383450,Neh,1,2,אֲשֶֽׁר־,אֲשֶׁר,[relative],[relativo]
383451,Neh,1,2,נִשְׁאֲר֥וּ,שׁאר,remain,permanecer
383452,Neh,1,2,מִן־,מִן,from,de
383453,Neh,1,2,הַ,הַ,the,el
383454,Neh,1,2,שֶּׁ֖בִי,שְׁבִי,captive,cautivo
383455,Neh,1,2,וְ,וְ,and,y
383456,Neh,1,2,עַל־,עַל,upon,sobre
383457,Neh,1,2,יְרוּשָׁלִָֽם׃,יְרוּשָׁלִַם,Jerusalem,Jerusalén
383458,Neh,1,3,וַ,וְ,and,y
383459,Neh,1,3,יֹּאמְרוּ֮,אמר,say,decir
383460,Neh,1,3,לִי֒,לְ,to,a
383461,Neh,1,3,הַֽ,הַ,the,el
383462,Neh,1,3,נִּשְׁאָרִ֞ים,שׁאר,remain,permanecer
383463,Neh,1,3,אֲשֶֽׁר־,אֲשֶׁר,[relative],[relativo]
383464,Neh,1,3,נִשְׁאֲר֤וּ,שׁאר,remain,permanecer
383465,Neh,1,3,מִן־,מִן,from,de
383466,Neh,1,3,הַ,הַ,the,el
383467,Neh,1,3,שְּׁבִי֙,שְׁבִי,captive,cautivo
383468,Neh,1,3,שָׁ֣ם,שָׁם,there,ahí
383469,Neh,1,3,בַּ,בְּ,in,en
383470,Neh,1,3,,הַ,the,el
383471,Neh,1,3,מְּדִינָ֔ה,מְדִינָה,district,distrito
383472,Neh,1,3,בְּ,בְּ,in,en
383473,Neh,1,3,רָעָ֥ה,רָעָה,evil,mal
383474,Neh,1,3,גְדֹלָ֖ה,גָּדֹול,great,estupendo
383475,Neh,1,3,וּ,וְ,and,y
383476,Neh,1,3,בְ,בְּ,in,en
383477,Neh,1,3,חֶרְפָּ֑ה,חֶרְפָּה,reproach,reproche
383478,Neh,1,3,וְ,וְ,and,y
383479,Neh,1,3,חֹומַ֤ת,חֹומָה,wall,pared
383480,Neh,1,3,יְרוּשָׁלִַ֨ם֙,יְרוּשָׁלִַם,Jerusalem,Jerusalén
383481,Neh,1,3,מְפֹרָ֔צֶת,פרץ,break,descanso
383482,Neh,1,3,וּ,וְ,and,y
383483,Neh,1,3,שְׁעָרֶ֖יהָ,שַׁעַר,gate,portón
383484,Neh,1,3,נִצְּת֥וּ,יצת,kindle,encender
383485,Neh,1,3,בָ,בְּ,in,en
383486,Neh,1,3,,הַ,the,el
383487,Neh,1,3,אֵֽשׁ׃,אֵשׁ,fire,fuego
383488,Neh,1,4,וַ,וְ,and,y
383489,Neh,1,4,יְהִ֞י,היה,be,ser
383490,Neh,1,4,כְּ,כְּ,as,como
383491,Neh,1,4,שָׁמְעִ֣י׀,שׁמע,hear,oír
383492,Neh,1,4,אֶת־,אֵת,[object marker],[Marcador de objeto]
383493,Neh,1,4,הַ,הַ,the,el
383494,Neh,1,4,דְּבָרִ֣ים,דָּבָר,word,palabra
383495,Neh,1,4,הָ,הַ,the,el
383496,Neh,1,4,אֵ֗לֶּה,אֵלֶּה,these,estas
383497,Neh,1,4,יָשַׁ֨בְתִּי֙,ישׁב,sit,sentar
383498,Neh,1,4,וָֽ,וְ,and,y
383499,Neh,1,4,אֶבְכֶּ֔ה,בכה,weep,llorar
383500,Neh,1,4,וָ,וְ,and,y
383501,Neh,1,4,אֶתְאַבְּלָ֖ה,אבל,mourn,llorar
383502,Neh,1,4,יָמִ֑ים,יֹום,day,día
383503,Neh,1,4,וָֽ,וְ,and,y
383504,Neh,1,4,אֱהִ֥י,היה,be,ser
383505,Neh,1,4,צָם֙,צום,fast,rápido
383506,Neh,1,4,וּ,וְ,and,y
383507,Neh,1,4,מִתְפַּלֵּ֔ל,פלל,pray,orar
383508,Neh,1,4,לִ,לְ,to,a
383509,Neh,1,4,פְנֵ֖י,פָּנֶה,face,cara
383510,Neh,1,4,אֱלֹהֵ֥י,אֱלֹהִים,god(s),gallinero)
383511,Neh,1,4,הַ,הַ,the,el
383512,Neh,1,4,שָּׁמָֽיִם׃,שָׁמַיִם,heavens,Cielos
383513,Neh,1,5,וָ,וְ,and,y
383514,Neh,1,5,אֹמַ֗ר,אמר,say,decir
383515,Neh,1,5,אָֽנָּ֤א,אָנָּא,pray,orar
383516,Neh,1,5,יְהוָה֙,יְהוָה,YHWH,YHWH
383517,Neh,1,5,אֱלֹהֵ֣י,אֱלֹהִים,god(s),gallinero)
383518,Neh,1,5,הַ,הַ,the,el
383519,Neh,1,5,שָּׁמַ֔יִם,שָׁמַיִם,heavens,Cielos
383520,Neh,1,5,הָ,הַ,the,el
383521,Neh,1,5,אֵ֥ל,אֵל,god,Dios
383522,Neh,1,5,הַ,הַ,the,el
383523,Neh,1,5,גָּדֹ֖ול,גָּדֹול,great,estupendo
383524,Neh,1,5,וְ,וְ,and,y
383525,Neh,1,5,הַ,הַ,the,el
383526,Neh,1,5,נֹּורָ֑א,ירא,fear,miedo
383527,Neh,1,5,שֹׁמֵ֤ר,שׁמר,keep,mantener
383528,Neh,1,5,הַ,הַ,the,el
383529,Neh,1,5,בְּרִית֙,בְּרִית,covenant,pacto
383530,Neh,1,5,וָ,וְ,and,y
383531,Neh,1,5,חֶ֔סֶד,חֶסֶד,loyalty,lealtad
383532,Neh,1,5,לְ,לְ,to,a
383533,Neh,1,5,אֹהֲבָ֖יו,אהב,love,amor
383534,Neh,1,5,וּ,וְ,and,y
383535,Neh,1,5,לְ,לְ,to,a
383536,Neh,1,5,שֹׁמְרֵ֥י,שׁמר,keep,mantener
383537,Neh,1,5,מִצְוֹתָֽיו׃,מִצְוָה,commandment,mandamiento
383538,Neh,1,6,תְּהִ֣י,היה,be,ser
383539,Neh,1,6,נָ֣א,נָא,yeah,sí
383540,Neh,1,6,אָזְנְךָֽ־,אֹזֶן,ear,oreja
383541,Neh,1,6,קַשֶּׁ֣בֶת,קַשָּׁב,attentive,atento
383542,Neh,1,6,וְֽ,וְ,and,y
383543,Neh,1,6,עֵינֶ֪יךָ,עַיִן,eye,ojo
383544,Neh,1,6,פְתֻוּחֹ֟ות,פתח,open,abierto
383545,Neh,1,6,לִ,לְ,to,a
383546,Neh,1,6,שְׁמֹ֣עַ,שׁמע,hear,oír
383547,Neh,1,6,אֶל־,אֶל,to,a
383548,Neh,1,6,תְּפִלַּ֣ת,תְּפִלָּה,prayer,oración
383549,Neh,1,6,עַבְדְּךָ֡,עֶבֶד,servant,servidor
383550,Neh,1,6,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
383551,Neh,1,6,אָנֹכִי֩,אָנֹכִי,i,yo
383552,Neh,1,6,מִתְפַּלֵּ֨ל,פלל,pray,orar
383553,Neh,1,6,לְ,לְ,to,a
383554,Neh,1,6,פָנֶ֤יךָ,פָּנֶה,face,cara
383555,Neh,1,6,הַ,הַ,the,el
383556,Neh,1,6,יֹּום֙,יֹום,day,día
383557,Neh,1,6,יֹומָ֣ם,יֹומָם,by day,por día
383558,Neh,1,6,וָ,וְ,and,y
383559,Neh,1,6,לַ֔יְלָה,לַיְלָה,night,noche
383560,Neh,1,6,עַל־,עַל,upon,sobre
383561,Neh,1,6,בְּנֵ֥י,בֵּן,son,hijo
383562,Neh,1,6,יִשְׂרָאֵ֖ל,יִשְׂרָאֵל,Israel,Israel
383563,Neh,1,6,עֲבָדֶ֑יךָ,עֶבֶד,servant,servidor
383564,Neh,1,6,וּ,וְ,and,y
383565,Neh,1,6,מִתְוַדֶּ֗ה,ידה,praise,alabanza
383566,Neh,1,6,עַל־,עַל,upon,sobre
383567,Neh,1,6,חַטֹּ֤אות,חַטָּאת,sin,pecado
383568,Neh,1,6,בְּנֵֽי־,בֵּן,son,hijo
383569,Neh,1,6,יִשְׂרָאֵל֙,יִשְׂרָאֵל,Israel,Israel
383570,Neh,1,6,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
