word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
310649,Sal,1,1,אַ֥שְֽׁרֵי־,אֶשֶׁר,happiness,felicidad
310650,Sal,1,1,הָ,הַ,the,el
310651,Sal,1,1,אִ֗ישׁ,אִישׁ,man,hombre
310652,Sal,1,1,אֲשֶׁ֤ר׀,אֲשֶׁר,[relative],[relativo]
310653,Sal,1,1,לֹ֥א,לֹא,not,no
310654,Sal,1,1,הָלַךְ֮,הלך,walk,caminar
310655,Sal,1,1,בַּ,בְּ,in,en
310656,Sal,1,1,עֲצַ֪ת,עֵצָה,counsel,consejo
310657,Sal,1,1,רְשָׁ֫עִ֥ים,רָשָׁע,guilty,culpable
310658,Sal,1,1,וּ,וְ,and,y
310659,Sal,1,1,בְ,בְּ,in,en
310660,Sal,1,1,דֶ֣רֶךְ,דֶּרֶךְ,way,camino
310661,Sal,1,1,חַ֭טָּאִים,חַטָּא,sinful,pecaminoso
310662,Sal,1,1,לֹ֥א,לֹא,not,no
310663,Sal,1,1,עָמָ֑ד,עמד,stand,estar
310664,Sal,1,1,וּ,וְ,and,y
310665,Sal,1,1,בְ,בְּ,in,en
310666,Sal,1,1,מֹושַׁ֥ב,מֹושָׁב,seat,asiento
310667,Sal,1,1,לֵ֝צִ֗ים,לֵץ,scorner,burlador
310668,Sal,1,1,לֹ֣א,לֹא,not,no
310669,Sal,1,1,יָשָֽׁב׃,ישׁב,sit,sentar
310670,Sal,1,2,כִּ֤י,כִּי,that,ese
310671,Sal,1,2,אִ֥ם,אִם,if,Si
310672,Sal,1,2,בְּ,בְּ,in,en
310673,Sal,1,2,תֹורַ֥ת,תֹּורָה,instruction,instrucción
310674,Sal,1,2,יְהוָ֗ה,יְהוָה,YHWH,YHWH
310675,Sal,1,2,חֶ֫פְצֹ֥ו,חֵפֶץ,pleasure,Placer
310676,Sal,1,2,וּֽ,וְ,and,y
310677,Sal,1,2,בְ,בְּ,in,en
310678,Sal,1,2,תֹורָתֹ֥ו,תֹּורָה,instruction,instrucción
310679,Sal,1,2,יֶהְגֶּ֗ה,הגה,mutter,murmurar
310680,Sal,1,2,יֹומָ֥ם,יֹומָם,by day,por día
310681,Sal,1,2,וָ,וְ,and,y
310682,Sal,1,2,לָֽיְלָה׃,לַיְלָה,night,noche
310683,Sal,1,3,וְֽ,וְ,and,y
310684,Sal,1,3,הָיָ֗ה,היה,be,ser
310685,Sal,1,3,כְּ,כְּ,as,como
310686,Sal,1,3,עֵץ֮,עֵץ,tree,árbol
310687,Sal,1,3,שָׁת֪וּל,שׁתל,transplant,trasplante
310688,Sal,1,3,עַֽל־,עַל,upon,sobre
310689,Sal,1,3,פַּלְגֵ֫י,פֶּלֶג,division,división
310690,Sal,1,3,מָ֥יִם,מַיִם,water,agua
310691,Sal,1,3,אֲשֶׁ֤ר,אֲשֶׁר,[relative],[relativo]
310692,Sal,1,3,פִּרְיֹ֨ו׀,פְּרִי,fruit,Fruta
310693,Sal,1,3,יִתֵּ֬ן,נתן,give,dar
310694,Sal,1,3,בְּ,בְּ,in,en
310695,Sal,1,3,עִתֹּ֗ו,עֵת,time,hora
310696,Sal,1,3,וְ,וְ,and,y
310697,Sal,1,3,עָלֵ֥הוּ,עָלֶה,leafage,capa
310698,Sal,1,3,לֹֽא־,לֹא,not,no
310699,Sal,1,3,יִבֹּ֑ול,נבל,wither,marchitar
310700,Sal,1,3,וְ,וְ,and,y
310701,Sal,1,3,כֹ֖ל,כֹּל,whole,todo
310702,Sal,1,3,אֲשֶׁר־,אֲשֶׁר,[relative],[relativo]
310703,Sal,1,3,יַעֲשֶׂ֣ה,עשׂה,make,hacer
310704,Sal,1,3,יַצְלִֽיחַ׃,צלח,be strong,sé fuerte
310705,Sal,1,4,לֹא־,לֹא,not,no
310706,Sal,1,4,כֵ֥ן,כֵּן,thus,así
310707,Sal,1,4,הָ,הַ,the,el
310708,Sal,1,4,רְשָׁעִ֑ים,רָשָׁע,guilty,culpable
310709,Sal,1,4,כִּ֥י,כִּי,that,ese
310710,Sal,1,4,אִם־,אִם,if,Si
310711,Sal,1,4,כַּ֝,כְּ,as,como
310712,Sal,1,4,,הַ,the,el
310713,Sal,1,4,מֹּ֗ץ,מֹץ,chaff,paja
310714,Sal,1,4,אֲֽשֶׁר־,אֲשֶׁר,[relative],[relativo]
310715,Sal,1,4,תִּדְּפֶ֥נּוּ,נדף,scatter,dispersión
310716,Sal,1,4,רֽוּחַ׃,רוּחַ,wind,viento
310717,Sal,1,5,עַל־,עַל,upon,sobre
310718,Sal,1,5,כֵּ֤ן׀,כֵּן,thus,así
310719,Sal,1,5,לֹא־,לֹא,not,no
310720,Sal,1,5,יָקֻ֣מוּ,קום,arise,surgir
310721,Sal,1,5,רְ֭שָׁעִים,רָשָׁע,guilty,culpable
310722,Sal,1,5,בַּ,בְּ,in,en
310723,Sal,1,5,,הַ,the,el
