word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
346932,Pro,1,1,מִ֭שְׁלֵי,מָשָׁל,proverbo,proverbo
346933,Pro,1,1,שְׁלֹמֹ֣ה,שְׁלֹמֹה,Solomon,Salomón
346934,Pro,1,1,בֶן־,בֵּן,son,hijo
346935,Pro,1,1,דָּוִ֑ד,דָּוִד,David,David
346936,Pro,1,1,מֶ֝֗לֶךְ,מֶלֶךְ,king,Rey
346937,Pro,1,1,יִשְׂרָאֵֽל׃,יִשְׂרָאֵל,Israel,Israel
346938,Pro,1,2,לָ,לְ,to,a
346939,Pro,1,2,דַ֣עַת,ידע,know,saber
346940,Pro,1,2,חָכְמָ֣ה,חָכְמָה,wisdom,sabiduría
346941,Pro,1,2,וּ,וְ,and,y
346942,Pro,1,2,מוּסָ֑ר,מוּסָר,chastening,castigo
346943,Pro,1,2,לְ֝,לְ,to,a
346944,Pro,1,2,הָבִ֗ין,בין,understand,entender
346945,Pro,1,2,אִמְרֵ֥י,אֵמֶר,word,palabra
346946,Pro,1,2,בִינָֽה׃,בִּינָה,understanding,comprensión
346947,Pro,1,3,לָ֭,לְ,to,a
346948,Pro,1,3,קַחַת,לקח,take,tomar
346949,Pro,1,3,מוּסַ֣ר,מוּסָר,chastening,castigo
346950,Pro,1,3,הַשְׂכֵּ֑ל,שׂכל,prosper,prosperar
346951,Pro,1,3,צֶ֥דֶק,צֶדֶק,justice,justicia
346952,Pro,1,3,וּ֝,וְ,and,y
346953,Pro,1,3,מִשְׁפָּ֗ט,מִשְׁפָּט,justice,justicia
346954,Pro,1,3,וּ,וְ,and,y
346955,Pro,1,3,מֵישָׁרִֽים׃,מֵישָׁרִים,uprightness,nobleza
346956,Pro,1,4,לָ,לְ,to,a
346957,Pro,1,4,תֵ֣ת,נתן,give,dar
346958,Pro,1,4,לִ,לְ,to,a
346959,Pro,1,4,פְתָאיִ֣ם,פֶּתִי,young man,hombre joven
346960,Pro,1,4,עָרְמָ֑ה,עָרְמָה,prudence,prudencia
346961,Pro,1,4,לְ֝,לְ,to,a
346962,Pro,1,4,נַ֗עַר,נַעַר,boy,chico
346963,Pro,1,4,דַּ֣עַת,דַּעַת,knowledge,conocimiento
346964,Pro,1,4,וּ,וְ,and,y
346965,Pro,1,4,מְזִמָּֽה׃,מְזִמָּה,purpose,propósito
346966,Pro,1,5,יִשְׁמַ֣ע,שׁמע,hear,oír
346967,Pro,1,5,חָ֭כָם,חָכָם,wise,sabio
346968,Pro,1,5,וְ,וְ,and,y
346969,Pro,1,5,יֹ֣וסֶף,יסף,add,añadir
346970,Pro,1,5,לֶ֑קַח,לֶקַח,teaching,enseñando
346971,Pro,1,5,וְ֝,וְ,and,y
346972,Pro,1,5,נָבֹ֗ון,בין,understand,entender
346973,Pro,1,5,תַּחְבֻּלֹ֥ות,תַּחְבֻּלֹות,steering,gobierno
346974,Pro,1,5,יִקְנֶֽה׃,קנה,buy,comprar
346975,Pro,1,6,לְ,לְ,to,a
346976,Pro,1,6,הָבִ֣ין,בין,understand,entender
346977,Pro,1,6,מָ֭שָׁל,מָשָׁל,proverbo,proverbo
346978,Pro,1,6,וּ,וְ,and,y
346979,Pro,1,6,מְלִיצָ֑ה,מְלִיצָה,saying,diciendo
346980,Pro,1,6,דִּבְרֵ֥י,דָּבָר,word,palabra
346981,Pro,1,6,חֲ֝כָמִ֗ים,חָכָם,wise,sabio
346982,Pro,1,6,וְ,וְ,and,y
346983,Pro,1,6,חִידֹתָֽם׃,חִידָה,riddle,enigma
346984,Pro,1,7,יִרְאַ֣ת,יִרְאָה,fear,miedo
346985,Pro,1,7,יְ֭הוָה,יְהוָה,YHWH,YHWH
346986,Pro,1,7,רֵאשִׁ֣ית,רֵאשִׁית,beginning,comenzando
346987,Pro,1,7,דָּ֑עַת,דַּעַת,knowledge,conocimiento
346988,Pro,1,7,חָכְמָ֥ה,חָכְמָה,wisdom,sabiduría
346989,Pro,1,7,וּ֝,וְ,and,y
346990,Pro,1,7,מוּסָ֗ר,מוּסָר,chastening,castigo
346991,Pro,1,7,אֱוִילִ֥ים,אֱוִיל,foolish,tonto
346992,Pro,1,7,בָּֽזוּ׃ פ,בוז,despise,despreciar
346993,Pro,1,8,שְׁמַ֣ע,שׁמע,hear,oír
346994,Pro,1,8,בְּ֭נִי,בֵּן,son,hijo
346995,Pro,1,8,מוּסַ֣ר,מוּסָר,chastening,castigo
346996,Pro,1,8,אָבִ֑יךָ,אָב,father,padre
346997,Pro,1,8,וְ,וְ,and,y
346998,Pro,1,8,אַל־,אַל,not,no
346999,Pro,1,8,תִּ֝טֹּ֗שׁ,נטשׁ,abandon,abandonar
347000,Pro,1,8,תֹּורַ֥ת,תֹּורָה,instruction,instrucción
347001,Pro,1,8,אִמֶּֽךָ׃,אֵם,mother,madre
347002,Pro,1,9,כִּ֤י׀,כִּי,that,ese
347003,Pro,1,9,לִוְיַ֤ת,לִוְיָה,wreath,guirnalda
347004,Pro,1,9,חֵ֓ן,חֵן,grace,gracia
347005,Pro,1,9,הֵ֬ם,הֵם,they,ellos
347006,Pro,1,9,לְ,לְ,to,a
347007,Pro,1,9,רֹאשֶׁ֑ךָ,רֹאשׁ,head,cabeza
347008,Pro,1,9,וַ֝,וְ,and,y
347009,Pro,1,9,עֲנָקִ֗ים,עֲנָק,necklace,collar
347010,Pro,1,9,לְ,לְ,to,a
347011,Pro,1,9,גַרְגְּרֹתֶֽיךָ׃,גַּרְגְּרֹת,throat,garganta
347012,Pro,1,10,בְּנִ֡י,בֵּן,son,hijo
347013,Pro,1,10,אִם־,אִם,if,Si
347014,Pro,1,10,יְפַתּ֥וּךָ,פתה,seduce,seducir
347015,Pro,1,10,חַ֝טָּאִ֗ים,חַטָּא,sinful,pecaminoso
347016,Pro,1,10,אַל־,אַל,not,no
347017,Pro,1,10,תֹּבֵֽא׃,אבה,want,querer
347018,Pro,1,11,אִם־,אִם,if,Si
347019,Pro,1,11,יֹאמְרוּ֮,אמר,say,decir
347020,Pro,1,11,לְכָ֪ה,הלך,walk,caminar
347021,Pro,1,11,אִ֫תָּ֥נוּ,אֵת,together with,Juntos con
347022,Pro,1,11,נֶאֶרְבָ֥ה,ארב,lie in ambush,en emboscada
347023,Pro,1,11,לְ,לְ,to,a
347024,Pro,1,11,דָ֑ם,דָּם,blood,sangre
347025,Pro,1,11,נִצְפְּנָ֖ה,צפן,hide,esconder
347026,Pro,1,11,לְ,לְ,to,a
347027,Pro,1,11,נָקִ֣י,נָקִי,innocent,inocente
347028,Pro,1,11,חִנָּֽם׃,חִנָּם,in vain,en vano
347029,Pro,1,12,נִ֭בְלָעֵם,בלע,swallow,golondrina
347030,Pro,1,12,כִּ,כְּ,as,como
347031,Pro,1,12,שְׁאֹ֣ול,שְׁאֹול,nether world,mundo inferior
347032,Pro,1,12,חַיִּ֑ים,חַי,alive,viva
347033,Pro,1,12,וּ֝,וְ,and,y
347034,Pro,1,12,תְמִימִ֗ים,תָּמִים,complete,completar
347035,Pro,1,12,כְּ,כְּ,as,como
347036,Pro,1,12,יֹ֣ורְדֵי,ירד,descend,descender
347037,Pro,1,12,בֹֽור׃,בֹּור,cistern,cisterna
347038,Pro,1,13,כָּל־,כֹּל,whole,todo
347039,Pro,1,13,הֹ֣ון,הֹון,abundance,abundancia
347040,Pro,1,13,יָקָ֣ר,יָקָר,rare,raro
347041,Pro,1,13,נִמְצָ֑א,מצא,find,encontrar
347042,Pro,1,13,נְמַלֵּ֖א,מלא,be full,estar lleno
347043,Pro,1,13,בָתֵּ֣ינוּ,בַּיִת,house,casa
347044,Pro,1,13,שָׁלָֽל׃,שָׁלָל,plunder,saquear
347045,Pro,1,14,גֹּ֭ורָ֣לְךָ,גֹּורָל,lot,mucho
347046,Pro,1,14,תַּפִּ֣יל,נפל,fall,otoño
347047,Pro,1,14,בְּ,בְּ,in,en
347048,Pro,1,14,תֹוכֵ֑נוּ,תָּוֶךְ,midst,medio
347049,Pro,1,14,כִּ֥יס,כִּיס,bag,bolso
347050,Pro,1,14,אֶ֝חָ֗ד,אֶחָד,one,uno
347051,Pro,1,14,יִהְיֶ֥ה,היה,be,ser
347052,Pro,1,14,לְ,לְ,to,a
347053,Pro,1,14,כֻלָּֽנוּ׃,כֹּל,whole,todo
347054,Pro,1,15,בְּנִ֗י,בֵּן,son,hijo
347055,Pro,1,15,אַל־,אַל,not,no
347056,Pro,1,15,תֵּלֵ֣ךְ,הלך,walk,caminar
347057,Pro,1,15,בְּ,בְּ,in,en
347058,Pro,1,15,דֶ֣רֶךְ,דֶּרֶךְ,way,camino
347059,Pro,1,15,אִתָּ֑ם,אֵת,together with,Juntos con
347060,Pro,1,15,מְנַ֥ע,מנע,withhold,retener
347061,Pro,1,15,רַ֝גְלְךָ֗,רֶגֶל,foot,pie
347062,Pro,1,15,מִ,מִן,from,de
347063,Pro,1,15,נְּתִיבָתָֽם׃,נְתִיבָה,path,camino
347064,Pro,1,16,כִּ֣י,כִּי,that,ese
347065,Pro,1,16,רַ֭גְלֵיהֶם,רֶגֶל,foot,pie
347066,Pro,1,16,לָ,לְ,to,a
347067,Pro,1,16,,הַ,the,el
347068,Pro,1,16,רַ֣ע,רַע,evil,mal
347069,Pro,1,16,יָר֑וּצוּ,רוץ,run,correr
347070,Pro,1,16,וִֽ֝,וְ,and,y
347071,Pro,1,16,ימַהֲר֗וּ,מהר,hasten,acelerar
347072,Pro,1,16,לִ,לְ,to,a
347073,Pro,1,16,שְׁפָּךְ־,שׁפך,pour,verter
