word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
359275,Ecl,1,1,דִּבְרֵי֙,דָּבָר,word,palabra
359276,Ecl,1,1,קֹהֶ֣לֶת,קֹהֶלֶת,speaker,altavoz
359277,Ecl,1,1,בֶּן־,בֵּן,son,hijo
359278,Ecl,1,1,דָּוִ֔ד,דָּוִד,David,David
359279,Ecl,1,1,מֶ֖לֶךְ,מֶלֶךְ,king,Rey
359280,Ecl,1,1,בִּ,בְּ,in,en
359281,Ecl,1,1,ירוּשָׁלִָֽם׃,יְרוּשָׁלִַם,Jerusalem,Jerusalén
359282,Ecl,1,2,הֲבֵ֤ל,הֶבֶל,breath,aliento
359283,Ecl,1,2,הֲבָלִים֙,הֶבֶל,breath,aliento
359284,Ecl,1,2,אָמַ֣ר,אמר,say,decir
359285,Ecl,1,2,קֹהֶ֔לֶת,קֹהֶלֶת,speaker,altavoz
359286,Ecl,1,2,הֲבֵ֥ל,הֶבֶל,breath,aliento
359287,Ecl,1,2,הֲבָלִ֖ים,הֶבֶל,breath,aliento
359288,Ecl,1,2,הַ,הַ,the,el
359289,Ecl,1,2,כֹּ֥ל,כֹּל,whole,todo
359290,Ecl,1,2,הָֽבֶל׃,הֶבֶל,breath,aliento
359291,Ecl,1,3,מַה־,מָה,what,qué
359292,Ecl,1,3,יִּתְרֹ֖ון,יִתְרֹון,profit,lucro
359293,Ecl,1,3,לָֽ,לְ,to,a
359294,Ecl,1,3,,הַ,the,el
359295,Ecl,1,3,אָדָ֑ם,אָדָם,human,humano
359296,Ecl,1,3,בְּ,בְּ,in,en
359297,Ecl,1,3,כָל־,כֹּל,whole,todo
359298,Ecl,1,3,עֲמָלֹ֔ו,עָמָל,labour,labor
359299,Ecl,1,3,שֶֽׁ,שַׁ,[relative],[relativo]
359300,Ecl,1,3,יַּעֲמֹ֖ל,עמל,labour,labor
359301,Ecl,1,3,תַּ֥חַת,תַּחַת,under part,bajo la parte
359302,Ecl,1,3,הַ,הַ,the,el
359303,Ecl,1,3,שָּֽׁמֶשׁ׃,שֶׁמֶשׁ,sun,sol
359304,Ecl,1,4,דֹּ֤ור,דֹּור,generation,Generacion
359305,Ecl,1,4,הֹלֵךְ֙,הלך,walk,caminar
359306,Ecl,1,4,וְ,וְ,and,y
359307,Ecl,1,4,דֹ֣ור,דֹּור,generation,Generacion
359308,Ecl,1,4,בָּ֔א,בוא,come,ven
359309,Ecl,1,4,וְ,וְ,and,y
359310,Ecl,1,4,הָ,הַ,the,el
359311,Ecl,1,4,אָ֖רֶץ,אֶרֶץ,earth,tierra
359312,Ecl,1,4,לְ,לְ,to,a
359313,Ecl,1,4,עֹולָ֥ם,עֹולָם,eternity,eternidad
359314,Ecl,1,4,עֹמָֽדֶת׃,עמד,stand,estar
359315,Ecl,1,5,וְ,וְ,and,y
359316,Ecl,1,5,זָרַ֥ח,זרח,flash up,parpadeará
359317,Ecl,1,5,הַ,הַ,the,el
359318,Ecl,1,5,שֶּׁ֖מֶשׁ,שֶׁמֶשׁ,sun,sol
359319,Ecl,1,5,וּ,וְ,and,y
359320,Ecl,1,5,בָ֣א,בוא,come,ven
359321,Ecl,1,5,הַ,הַ,the,el
359322,Ecl,1,5,שָּׁ֑מֶשׁ,שֶׁמֶשׁ,sun,sol
359323,Ecl,1,5,וְ,וְ,and,y
359324,Ecl,1,5,אֶ֨ל־,אֶל,to,a
359325,Ecl,1,5,מְקֹומֹ֔ו,מָקֹום,place,lugar
359326,Ecl,1,5,שֹׁואֵ֛ף,שׁאף,gasp,jadear
359327,Ecl,1,5,זֹורֵ֥חַֽ,זרח,flash up,parpadeará
359328,Ecl,1,5,ה֖וּא,הוּא,he,él
359329,Ecl,1,5,שָֽׁם׃,שָׁם,there,ahí
359330,Ecl,1,6,הֹולֵךְ֙,הלך,walk,caminar
359331,Ecl,1,6,אֶל־,אֶל,to,a
359332,Ecl,1,6,דָּרֹ֔ום,דָּרֹום,south,sur
359333,Ecl,1,6,וְ,וְ,and,y
359334,Ecl,1,6,סֹובֵ֖ב,סבב,turn,giro
359335,Ecl,1,6,אֶל־,אֶל,to,a
359336,Ecl,1,6,צָפֹ֑ון,צָפֹון,north,norte
359337,Ecl,1,6,סֹובֵ֤ב׀,סבב,turn,giro
359338,Ecl,1,6,סֹבֵב֙,סבב,turn,giro
359339,Ecl,1,6,הֹולֵ֣ךְ,הלך,walk,caminar
359340,Ecl,1,6,הָ,הַ,the,el
359341,Ecl,1,6,ר֔וּחַ,רוּחַ,wind,viento
359342,Ecl,1,6,וְ,וְ,and,y
359343,Ecl,1,6,עַל־,עַל,upon,sobre
359344,Ecl,1,6,סְבִיבֹתָ֖יו,סָבִיב,surrounding,rodeando
359345,Ecl,1,6,שָׁ֥ב,שׁוב,return,regreso
359346,Ecl,1,6,הָ,הַ,the,el
359347,Ecl,1,6,רֽוּחַ׃,רוּחַ,wind,viento
359348,Ecl,1,7,כָּל־,כֹּל,whole,todo
359349,Ecl,1,7,הַ,הַ,the,el
359350,Ecl,1,7,נְּחָלִים֙,נַחַל,wadi,cauce
359351,Ecl,1,7,הֹלְכִ֣ים,הלך,walk,caminar
359352,Ecl,1,7,אֶל־,אֶל,to,a
359353,Ecl,1,7,הַ,הַ,the,el
359354,Ecl,1,7,יָּ֔ם,יָם,sea,mar
359355,Ecl,1,7,וְ,וְ,and,y
359356,Ecl,1,7,הַ,הַ,the,el
359357,Ecl,1,7,יָּ֖ם,יָם,sea,mar
359358,Ecl,1,7,אֵינֶ֣נּוּ,אַיִן,[NEG],[NEG]
359359,Ecl,1,7,מָלֵ֑א,מָלֵא,full,completo
359360,Ecl,1,7,אֶל־,אֶל,to,a
359361,Ecl,1,7,מְקֹ֗ום,מָקֹום,place,lugar
359362,Ecl,1,7,שֶׁ֤,שַׁ,[relative],[relativo]
359363,Ecl,1,7,הַ,הַ,the,el
359364,Ecl,1,7,נְּחָלִים֙,נַחַל,wadi,cauce
359365,Ecl,1,7,הֹֽלְכִ֔ים,הלך,walk,caminar
359366,Ecl,1,7,שָׁ֛ם,שָׁם,there,ahí
359367,Ecl,1,7,הֵ֥ם,הֵם,they,ellos
359368,Ecl,1,7,שָׁבִ֖ים,שׁוב,return,regreso
359369,Ecl,1,7,לָ,לְ,to,a
359370,Ecl,1,7,לָֽכֶת׃,הלך,walk,caminar
359371,Ecl,1,8,כָּל־,כֹּל,whole,todo
359372,Ecl,1,8,הַ,הַ,the,el
359373,Ecl,1,8,דְּבָרִ֣ים,דָּבָר,word,palabra
359374,Ecl,1,8,יְגֵעִ֔ים,יָגֵעַ,weary,cansado
359375,Ecl,1,8,לֹא־,לֹא,not,no
359376,Ecl,1,8,יוּכַ֥ל,יכל,be able,ser capaz
359377,Ecl,1,8,אִ֖ישׁ,אִישׁ,man,hombre
359378,Ecl,1,8,לְ,לְ,to,a
359379,Ecl,1,8,דַבֵּ֑ר,דבר,speak,hablar
359380,Ecl,1,8,לֹא־,לֹא,not,no
359381,Ecl,1,8,תִשְׂבַּ֥ע,שׂבע,be sated,saciarse
359382,Ecl,1,8,עַ֨יִן֙,עַיִן,eye,ojo
359383,Ecl,1,8,לִ,לְ,to,a
359384,Ecl,1,8,רְאֹ֔ות,ראה,see,ver
359385,Ecl,1,8,וְ,וְ,and,y
359386,Ecl,1,8,לֹא־,לֹא,not,no
359387,Ecl,1,8,תִמָּלֵ֥א,מלא,be full,estar lleno
359388,Ecl,1,8,אֹ֖זֶן,אֹזֶן,ear,oreja
359389,Ecl,1,8,מִ,מִן,from,de
359390,Ecl,1,8,שְּׁמֹֽעַ׃,שׁמע,hear,oír
359391,Ecl,1,9,מַה־,מָה,what,qué
359392,Ecl,1,9,שֶּֽׁ,שַׁ,[relative],[relativo]
359393,Ecl,1,9,הָיָה֙,היה,be,ser
359394,Ecl,1,9,ה֣וּא,הוּא,he,él
359395,Ecl,1,9,שֶׁ,שַׁ,[relative],[relativo]
359396,Ecl,1,9,יִּהְיֶ֔ה,היה,be,ser
359397,Ecl,1,9,וּ,וְ,and,y
359398,Ecl,1,9,מַה־,מָה,what,qué
359399,Ecl,1,9,שֶּׁ,שַׁ,[relative],[relativo]
359400,Ecl,1,9,נַּֽעֲשָׂ֔ה,עשׂה,make,hacer
359401,Ecl,1,9,ה֖וּא,הוּא,he,él
359402,Ecl,1,9,שֶׁ,שַׁ,[relative],[relativo]
359403,Ecl,1,9,יֵּעָשֶׂ֑ה,עשׂה,make,hacer
359404,Ecl,1,9,וְ,וְ,and,y
359405,Ecl,1,9,אֵ֥ין,אַיִן,[NEG],[NEG]
359406,Ecl,1,9,כָּל־,כֹּל,whole,todo
359407,Ecl,1,9,חָדָ֖שׁ,חָדָשׁ,new,nuevo
359408,Ecl,1,9,תַּ֥חַת,תַּחַת,under part,bajo la parte
359409,Ecl,1,9,הַ,הַ,the,el
359410,Ecl,1,9,שָּֽׁמֶשׁ׃,שֶׁמֶשׁ,sun,sol
359411,Ecl,1,10,יֵ֥שׁ,יֵשׁ,existence,existencia
359412,Ecl,1,10,דָּבָ֛ר,דָּבָר,word,palabra
359413,Ecl,1,10,שֶׁ,שַׁ,[relative],[relativo]
359414,Ecl,1,10,יֹּאמַ֥ר,אמר,say,decir
359415,Ecl,1,10,רְאֵה־,ראה,see,ver
359416,Ecl,1,10,זֶ֖ה,זֶה,this,esta
359417,Ecl,1,10,חָדָ֣שׁ,חָדָשׁ,new,nuevo
359418,Ecl,1,10,ה֑וּא,הוּא,he,él
359419,Ecl,1,10,כְּבָר֙,כְּבָר,long time,largo tiempo
359420,Ecl,1,10,הָיָ֣ה,היה,be,ser
359421,Ecl,1,10,לְ,לְ,to,a
359422,Ecl,1,10,עֹֽלָמִ֔ים,עֹולָם,eternity,eternidad
359423,Ecl,1,10,אֲשֶׁ֥ר,אֲשֶׁר,[relative],[relativo]
359424,Ecl,1,10,הָיָ֖ה,היה,be,ser
359425,Ecl,1,10,מִ,מִן,from,de
359426,Ecl,1,10,לְּ,לְ,to,a
