word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
357593,Can,1,1,שִׁ֥יר,שִׁיר,song,canción
357594,Can,1,1,הַ,הַ,the,el
357595,Can,1,1,שִּׁירִ֖ים,שִׁיר,song,canción
357596,Can,1,1,אֲשֶׁ֥ר,אֲשֶׁר,[relative],[relativo]
357597,Can,1,1,לִ,לְ,to,a
357598,Can,1,1,שְׁלֹמֹֽה׃,שְׁלֹמֹה,Solomon,Salomón
357599,Can,1,2,יִשָּׁקֵ֨נִי֙,נשׁק,kiss,Beso
357600,Can,1,2,מִ,מִן,from,de
357601,Can,1,2,נְּשִׁיקֹ֣ות,נְשִׁיקָה,kiss,Beso
357602,Can,1,2,פִּ֔יהוּ,פֶּה,mouth,boca
357603,Can,1,2,כִּֽי־,כִּי,that,ese
357604,Can,1,2,טֹובִ֥ים,טֹוב,good,bueno
357605,Can,1,2,דֹּדֶ֖יךָ,דֹּוד,beloved one,amada
357606,Can,1,2,מִ,מִן,from,de
357607,Can,1,2,יָּֽיִן׃,יַיִן,wine,vino
357608,Can,1,3,לְ,לְ,to,a
357609,Can,1,3,רֵ֨יחַ֙,רֵיחַ,scent,olor
357610,Can,1,3,שְׁמָנֶ֣יךָ,שֶׁמֶן,oil,petróleo
357611,Can,1,3,טֹובִ֔ים,טֹוב,good,bueno
357612,Can,1,3,שֶׁ֖מֶן,שֶׁמֶן,oil,petróleo
357613,Can,1,3,תּוּרַ֣ק,ריק,be empty,estar vacía
357614,Can,1,3,שְׁמֶ֑ךָ,שֵׁם,name,nombre
357615,Can,1,3,עַל־,עַל,upon,sobre
357616,Can,1,3,כֵּ֖ן,כֵּן,thus,así
357617,Can,1,3,עֲלָמֹ֥ות,עַלְמָה,young woman,mujer joven
357618,Can,1,3,אֲהֵבֽוּךָ׃,אהב,love,amor
357619,Can,1,4,מָשְׁכֵ֖נִי,משׁך,draw,dibujar
357620,Can,1,4,אַחֲרֶ֣יךָ,אַחַר,after,después
