word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
370074,Dan,1,1,בִּ,בְּ,in,en
370075,Dan,1,1,שְׁנַ֣ת,שָׁנָה,year,año
370076,Dan,1,1,שָׁלֹ֔ושׁ,שָׁלֹשׁ,three,Tres
370077,Dan,1,1,לְ,לְ,to,a
370078,Dan,1,1,מַלְכ֖וּת,מַלְכוּת,kingship,monarquía
370079,Dan,1,1,יְהֹויָקִ֣ים,יְהֹויָקִים,Jehoiakim,Joacim
370080,Dan,1,1,מֶֽלֶךְ־,מֶלֶךְ,king,Rey
370081,Dan,1,1,יְהוּדָ֑ה,יְהוּדָה,Judah,Judá
370082,Dan,1,1,בָּ֣א,בוא,come,ven
370083,Dan,1,1,נְבוּכַדְנֶאצַּ֧ר,נְבוּכַדְנֶאצַּר,Nebuchadnezzar,Nabucodonosor
370084,Dan,1,1,מֶֽלֶךְ־,מֶלֶךְ,king,Rey
370085,Dan,1,1,בָּבֶ֛ל,בָּבֶל,Babel,Babel
370086,Dan,1,1,יְרוּשָׁלִַ֖ם,יְרוּשָׁלִַם,Jerusalem,Jerusalén
370087,Dan,1,1,וַ,וְ,and,y
370088,Dan,1,1,יָּ֥צַר,צור,bind,enlazar
370089,Dan,1,1,עָלֶֽיהָ׃,עַל,upon,sobre
370090,Dan,1,2,וַ,וְ,and,y
370091,Dan,1,2,יִּתֵּן֩,נתן,give,dar
370092,Dan,1,2,אֲדֹנָ֨י,אֲדֹנָי,Lord,Señor
370093,Dan,1,2,בְּ,בְּ,in,en
370094,Dan,1,2,יָדֹ֜ו,יָד,hand,mano
370095,Dan,1,2,אֶת־,אֵת,[object marker],[Marcador de objeto]
370096,Dan,1,2,יְהֹויָקִ֣ים,יְהֹויָקִים,Jehoiakim,Joacim
370097,Dan,1,2,מֶֽלֶךְ־,מֶלֶךְ,king,Rey
370098,Dan,1,2,יְהוּדָ֗ה,יְהוּדָה,Judah,Judá
370099,Dan,1,2,וּ,וְ,and,y
370100,Dan,1,2,מִ,מִן,from,de
370101,Dan,1,2,קְצָת֙,קְצָת,end,fin
370102,Dan,1,2,כְּלֵ֣י,כְּלִי,tool,herramienta
370103,Dan,1,2,בֵית־,בַּיִת,house,casa
370104,Dan,1,2,הָֽ,הַ,the,el
370105,Dan,1,2,אֱלֹהִ֔ים,אֱלֹהִים,god(s),gallinero)
370106,Dan,1,2,וַ,וְ,and,y
370107,Dan,1,2,יְבִיאֵ֥ם,בוא,come,ven
370108,Dan,1,2,אֶֽרֶץ־,אֶרֶץ,earth,tierra
370109,Dan,1,2,שִׁנְעָ֖ר,שִׁנְעָר,Shinar,Sinar
370110,Dan,1,2,בֵּ֣ית,בַּיִת,house,casa
370111,Dan,1,2,אֱלֹהָ֑יו,אֱלֹהִים,god(s),gallinero)
370112,Dan,1,2,וְ,וְ,and,y
370113,Dan,1,2,אֶת־,אֵת,[object marker],[Marcador de objeto]
370114,Dan,1,2,הַ,הַ,the,el
370115,Dan,1,2,כֵּלִ֣ים,כְּלִי,tool,herramienta
370116,Dan,1,2,הֵבִ֔יא,בוא,come,ven
370117,Dan,1,2,בֵּ֖ית,בַּיִת,house,casa
370118,Dan,1,2,אֹוצַ֥ר,אֹוצָר,supply,suministro
370119,Dan,1,2,אֱלֹהָֽיו׃,אֱלֹהִים,god(s),gallinero)
370120,Dan,1,3,וַ,וְ,and,y
370121,Dan,1,3,יֹּ֣אמֶר,אמר,say,decir
370122,Dan,1,3,הַ,הַ,the,el
370123,Dan,1,3,מֶּ֔לֶךְ,מֶלֶךְ,king,Rey
370124,Dan,1,3,לְ,לְ,to,a
370125,Dan,1,3,אַשְׁפְּנַ֖ז,אַשְׁפְּנַז,Ashpenaz,Aspenaz
370126,Dan,1,3,רַ֣ב,רַב,chief,jefe
370127,Dan,1,3,סָרִיסָ֑יו,סָרִיס,official,oficial
370128,Dan,1,3,לְ,לְ,to,a
370129,Dan,1,3,הָבִ֞יא,בוא,come,ven
370130,Dan,1,3,מִ,מִן,from,de
370131,Dan,1,3,בְּנֵ֧י,בֵּן,son,hijo
370132,Dan,1,3,יִשְׂרָאֵ֛ל,יִשְׂרָאֵל,Israel,Israel
370133,Dan,1,3,וּ,וְ,and,y
370134,Dan,1,3,מִ,מִן,from,de
370135,Dan,1,3,זֶּ֥רַע,זֶרַע,seed,semilla
370136,Dan,1,3,הַ,הַ,the,el
370137,Dan,1,3,מְּלוּכָ֖ה,מְלוּכָה,kingship,monarquía
370138,Dan,1,3,וּ,וְ,and,y
370139,Dan,1,3,מִן־,מִן,from,de
370140,Dan,1,3,הַֽ,הַ,the,el
370141,Dan,1,3,פַּרְתְּמִֽים׃,פַּרְתְּמִים,nobles,nobles
370142,Dan,1,4,יְלָדִ֣ים,יֶלֶד,boy,chico
370143,Dan,1,4,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
370144,Dan,1,4,אֵֽין־,אַיִן,[NEG],[NEG]
370145,Dan,1,4,בָּהֶ֣ם,בְּ,in,en
370146,Dan,1,4,כָּל־,כֹּל,whole,todo
370147,Dan,1,4,מוּם֩,מאוּם,blemish,defecto
370148,Dan,1,4,וְ,וְ,and,y
370149,Dan,1,4,טֹובֵ֨י,טֹוב,good,bueno
370150,Dan,1,4,מַרְאֶ֜ה,מַרְאֶה,sight,visión
370151,Dan,1,4,וּ,וְ,and,y
370152,Dan,1,4,מַשְׂכִּילִ֣ים,שׂכל,prosper,prosperar
370153,Dan,1,4,בְּ,בְּ,in,en
370154,Dan,1,4,כָל־,כֹּל,whole,todo
370155,Dan,1,4,חָכְמָ֗ה,חָכְמָה,wisdom,sabiduría
370156,Dan,1,4,וְ,וְ,and,y
370157,Dan,1,4,יֹ֤דְעֵי,ידע,know,saber
370158,Dan,1,4,דַ֨עַת֙,דַּעַת,knowledge,conocimiento
370159,Dan,1,4,וּ,וְ,and,y
370160,Dan,1,4,מְבִינֵ֣י,בין,understand,entender
370161,Dan,1,4,מַדָּ֔ע,מַדָּע,knowledge,conocimiento
370162,Dan,1,4,וַ,וְ,and,y
370163,Dan,1,4,אֲשֶׁר֙,אֲשֶׁר,[relative],[relativo]
370164,Dan,1,4,כֹּ֣חַ,כֹּחַ,strength,fuerza
370165,Dan,1,4,בָּהֶ֔ם,בְּ,in,en
370166,Dan,1,4,לַ,לְ,to,a
370167,Dan,1,4,עֲמֹ֖ד,עמד,stand,estar
370168,Dan,1,4,בְּ,בְּ,in,en
370169,Dan,1,4,הֵיכַ֣ל,הֵיכָל,palace,palacio
370170,Dan,1,4,הַ,הַ,the,el
370171,Dan,1,4,מֶּ֑לֶךְ,מֶלֶךְ,king,Rey
370172,Dan,1,4,וּֽ,וְ,and,y
370173,Dan,1,4,לֲ,לְ,to,a
370174,Dan,1,4,לַמְּדָ֥ם,למד,learn,aprender
370175,Dan,1,4,סֵ֖פֶר,סֵפֶר,letter,carta
370176,Dan,1,4,וּ,וְ,and,y
370177,Dan,1,4,לְשֹׁ֥ון,לָשֹׁון,tongue,lengua
370178,Dan,1,4,כַּשְׂדִּֽים׃,כַּשְׂדִּים,Chaldeans,caldeos
370179,Dan,1,5,וַ,וְ,and,y
370180,Dan,1,5,יְמַן֩,מנה,count,contar
370181,Dan,1,5,לָהֶ֨ם,לְ,to,a
370182,Dan,1,5,הַ,הַ,the,el
370183,Dan,1,5,מֶּ֜לֶךְ,מֶלֶךְ,king,Rey
370184,Dan,1,5,דְּבַר־,דָּבָר,word,palabra
370185,Dan,1,5,יֹ֣ום,יֹום,day,día
370186,Dan,1,5,בְּ,בְּ,in,en
370187,Dan,1,5,יֹומֹ֗ו,יֹום,day,día
370188,Dan,1,5,מִ,מִן,from,de
370189,Dan,1,5,פַּת־בַּ֤ג,פַּתְבַּג,table,mesa
370190,Dan,1,5,הַ,הַ,the,el
370191,Dan,1,5,מֶּ֨לֶךְ֙,מֶלֶךְ,king,Rey
370192,Dan,1,5,וּ,וְ,and,y
370193,Dan,1,5,מִ,מִן,from,de
370194,Dan,1,5,יֵּ֣ין,יַיִן,wine,vino
370195,Dan,1,5,מִשְׁתָּ֔יו,מִשְׁתֶּה,drinking,bebida
370196,Dan,1,5,וּֽ,וְ,and,y
370197,Dan,1,5,לְ,לְ,to,a
370198,Dan,1,5,גַדְּלָ֖ם,גדל,be strong,sé fuerte
370199,Dan,1,5,שָׁנִ֣ים,שָׁנָה,year,año
370200,Dan,1,5,שָׁלֹ֑ושׁ,שָׁלֹשׁ,three,Tres
370201,Dan,1,5,וּ,וְ,and,y
370202,Dan,1,5,מִ֨,מִן,from,de
370203,Dan,1,5,קְצָתָ֔ם,קְצָת,end,fin
370204,Dan,1,5,יַֽעַמְד֖וּ,עמד,stand,estar
370205,Dan,1,5,לִ,לְ,to,a
370206,Dan,1,5,פְנֵ֥י,פָּנֶה,face,cara
370207,Dan,1,5,הַ,הַ,the,el
370208,Dan,1,5,מֶּֽלֶךְ׃,מֶלֶךְ,king,Rey
370209,Dan,1,6,וַ,וְ,and,y
370210,Dan,1,6,יְהִ֥י,היה,be,ser
370211,Dan,1,6,בָהֶ֖ם,בְּ,in,en
370212,Dan,1,6,מִ,מִן,from,de
370213,Dan,1,6,בְּנֵ֣י,בֵּן,son,hijo
370214,Dan,1,6,יְהוּדָ֑ה,יְהוּדָה,Judah,Judá
370215,Dan,1,6,דָּנִיֵּ֣אל,דָּנִיֵּאל,Daniel,Daniel
370216,Dan,1,6,חֲנַנְיָ֔ה,חֲנַנְיָה,Hananiah,Ananías
370217,Dan,1,6,מִֽישָׁאֵ֖ל,מִישָׁאֵל,Mishael,Misael
370218,Dan,1,6,וַ,וְ,and,y
370219,Dan,1,6,עֲזַרְיָֽה׃,עֲזַרְיָה,Azariah,Azarías
370220,Dan,1,7,וַ,וְ,and,y
370221,Dan,1,7,יָּ֧שֶׂם,שׂים,put,poner
370222,Dan,1,7,לָהֶ֛ם,לְ,to,a
370223,Dan,1,7,שַׂ֥ר,שַׂר,chief,jefe
370224,Dan,1,7,הַ,הַ,the,el
370225,Dan,1,7,סָּרִיסִ֖ים,סָרִיס,official,oficial
370226,Dan,1,7,שֵׁמֹ֑ות,שֵׁם,name,nombre
370227,Dan,1,7,וַ,וְ,and,y
370228,Dan,1,7,יָּ֨שֶׂם,שׂים,put,poner
370229,Dan,1,7,לְ,לְ,to,a
370230,Dan,1,7,דָֽנִיֵּ֜אל,דָּנִיֵּאל,Daniel,Daniel
370231,Dan,1,7,בֵּ֣לְטְשַׁאצַּ֗ר,בֵּלְטְשַׁאצַּר,Belteshazzar,Beltsasar
370232,Dan,1,7,וְ,וְ,and,y
370233,Dan,1,7,לַֽ,לְ,to,a
370234,Dan,1,7,חֲנַנְיָה֙,חֲנַנְיָה,Hananiah,Ananías
370235,Dan,1,7,שַׁדְרַ֔ךְ,שַׁדְרַךְ,Shadrach,Sadrac
370236,Dan,1,7,וּ,וְ,and,y
370237,Dan,1,7,לְ,לְ,to,a
370238,Dan,1,7,מִֽישָׁאֵ֣ל,מִישָׁאֵל,Mishael,Misael
370239,Dan,1,7,מֵישַׁ֔ךְ,מֵישַׁךְ,Meshach,Mesac
370240,Dan,1,7,וְ,וְ,and,y
370241,Dan,1,7,לַ,לְ,to,a
