word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
290918,Ose,1,1,דְּבַר־,דָּבָר,word,palabra
290919,Ose,1,1,יְהוָ֣ה׀,יְהוָה,YHWH,YHWH
290920,Ose,1,1,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
290921,Ose,1,1,הָיָ֗ה,היה,be,ser
290922,Ose,1,1,אֶל־,אֶל,to,a
290923,Ose,1,1,הֹושֵׁ֨עַ֙,הֹושֵׁעַ,Hosea,Oseas
290924,Ose,1,1,בֶּן־,בֵּן,son,hijo
290925,Ose,1,1,בְּאֵרִ֔י,בְּאֵרִי,Beeri,beeri
290926,Ose,1,1,בִּ,בְּ,in,en
290927,Ose,1,1,ימֵ֨י,יֹום,day,día
290928,Ose,1,1,עֻזִּיָּ֥ה,עֻזִּיָּה,Uzziah,Ozías
290929,Ose,1,1,יֹותָ֛ם,יֹותָם,Jotham,Jotam
290930,Ose,1,1,אָחָ֥ז,אָחָז,Ahaz,Acaz
290931,Ose,1,1,יְחִזְקִיָּ֖ה,יְחִזְקִיָּה,Hezekiah,Ezequías
290932,Ose,1,1,מַלְכֵ֣י,מֶלֶךְ,king,Rey
290933,Ose,1,1,יְהוּדָ֑ה,יְהוּדָה,Judah,Judá
290934,Ose,1,1,וּ,וְ,and,y
290935,Ose,1,1,בִ,בְּ,in,en
290936,Ose,1,1,ימֵ֛י,יֹום,day,día
290937,Ose,1,1,יָרָבְעָ֥ם,יָרָבְעָם,Jeroboam,Botella grande
290938,Ose,1,1,בֶּן־,בֵּן,son,hijo
290939,Ose,1,1,יֹואָ֖שׁ,יֹואָשׁ,Joash,Joás
290940,Ose,1,1,מֶ֥לֶךְ,מֶלֶךְ,king,Rey
290941,Ose,1,1,יִשְׂרָאֵֽל׃,יִשְׂרָאֵל,Israel,Israel
290942,Ose,1,2,תְּחִלַּ֥ת,תְּחִלָּה,beginning,comenzando
290943,Ose,1,2,דִּבֶּר־,דבר,speak,hablar
290944,Ose,1,2,יְהוָ֖ה,יְהוָה,YHWH,YHWH
290945,Ose,1,2,בְּ,בְּ,in,en
290946,Ose,1,2,הֹושֵׁ֑עַ פ,הֹושֵׁעַ,Hosea,Oseas
290947,Ose,1,2,וַ,וְ,and,y
290948,Ose,1,2,יֹּ֨אמֶר,אמר,say,decir
290949,Ose,1,2,יְהוָ֜ה,יְהוָה,YHWH,YHWH
290950,Ose,1,2,אֶל־,אֶל,to,a
290951,Ose,1,2,הֹושֵׁ֗עַ,הֹושֵׁעַ,Hosea,Oseas
290952,Ose,1,2,לֵ֣ךְ,הלך,walk,caminar
290953,Ose,1,2,קַח־,לקח,take,tomar
290954,Ose,1,2,לְךָ֞,לְ,to,a
290955,Ose,1,2,אֵ֤שֶׁת,אִשָּׁה,woman,mujer
290956,Ose,1,2,זְנוּנִים֙,זְנוּנִים,fornication,fornicación
290957,Ose,1,2,וְ,וְ,and,y
290958,Ose,1,2,יַלְדֵ֣י,יֶלֶד,boy,chico
290959,Ose,1,2,זְנוּנִ֔ים,זְנוּנִים,fornication,fornicación
290960,Ose,1,2,כִּֽי־,כִּי,that,ese
290961,Ose,1,2,זָנֹ֤ה,זנה,fornicate,fornicar
290962,Ose,1,2,תִזְנֶה֙,זנה,fornicate,fornicar
290963,Ose,1,2,הָ,הַ,the,el
290964,Ose,1,2,אָ֔רֶץ,אֶרֶץ,earth,tierra
290965,Ose,1,2,מֵֽ,מִן,from,de
290966,Ose,1,2,אַחֲרֵ֖י,אַחַר,after,después
290967,Ose,1,2,יְהוָֽה׃,יְהוָה,YHWH,YHWH
290968,Ose,1,3,וַ,וְ,and,y
290969,Ose,1,3,יֵּ֨לֶךְ֙,הלך,walk,caminar
290970,Ose,1,3,וַ,וְ,and,y
290971,Ose,1,3,יִּקַּ֔ח,לקח,take,tomar
290972,Ose,1,3,אֶת־,אֵת,[object marker],[Marcador de objeto]
290973,Ose,1,3,גֹּ֖מֶר,גֹּמֶר,Gomer,Gomer
290974,Ose,1,3,בַּת־,בַּת,daughter,hija
290975,Ose,1,3,דִּבְלָ֑יִם,דִּבְלָיִם,Diblaim,Diblaim
290976,Ose,1,3,וַ,וְ,and,y
290977,Ose,1,3,תַּ֥הַר,הרה,be pregnant,estar embarazada
290978,Ose,1,3,וַ,וְ,and,y
290979,Ose,1,3,תֵּֽלֶד־,ילד,bear,oso
290980,Ose,1,3,לֹ֖ו,לְ,to,a
290981,Ose,1,3,בֵּֽן׃,בֵּן,son,hijo
290982,Ose,1,4,וַ,וְ,and,y
290983,Ose,1,4,יֹּ֤אמֶר,אמר,say,decir
290984,Ose,1,4,יְהוָה֙,יְהוָה,YHWH,YHWH
290985,Ose,1,4,אֵלָ֔יו,אֶל,to,a
290986,Ose,1,4,קְרָ֥א,קרא,call,llamada
290987,Ose,1,4,שְׁמֹ֖ו,שֵׁם,name,nombre
290988,Ose,1,4,יִזְרְעֶ֑אל,יִזְרְעֶאל,Jezreel,jezreel
290989,Ose,1,4,כִּי־,כִּי,that,ese
290990,Ose,1,4,עֹ֣וד,עֹוד,duration,duración
290991,Ose,1,4,מְעַ֗ט,מְעַט,little,pequeño
290992,Ose,1,4,וּ,וְ,and,y
290993,Ose,1,4,פָ֨קַדְתִּ֜י,פקד,miss,perder
290994,Ose,1,4,אֶת־,אֵת,[object marker],[Marcador de objeto]
290995,Ose,1,4,דְּמֵ֤י,דָּם,blood,sangre
290996,Ose,1,4,יִזְרְעֶאל֙,יִזְרְעֶאל,[town],[pueblo]
290997,Ose,1,4,עַל־,עַל,upon,sobre
290998,Ose,1,4,בֵּ֣ית,בַּיִת,house,casa
290999,Ose,1,4,יֵה֔וּא,יֵהוּא,Jehu,Jehú
291000,Ose,1,4,וְ,וְ,and,y
291001,Ose,1,4,הִ֨שְׁבַּתִּ֔י,שׁבת,cease,cesar
291002,Ose,1,4,מַמְלְכ֖וּת,מַמְלָכוּת,kingdom,Reino
291003,Ose,1,4,בֵּ֥ית,בַּיִת,house,casa
291004,Ose,1,4,יִשְׂרָאֵֽל׃,יִשְׂרָאֵל,Israel,Israel
291005,Ose,1,5,וְ,וְ,and,y
291006,Ose,1,5,הָיָ֖ה,היה,be,ser
291007,Ose,1,5,בַּ,בְּ,in,en
291008,Ose,1,5,,הַ,the,el
291009,Ose,1,5,יֹּ֣ום,יֹום,day,día
291010,Ose,1,5,הַ,הַ,the,el
291011,Ose,1,5,ה֑וּא,הוּא,he,él
291012,Ose,1,5,וְ,וְ,and,y
291013,Ose,1,5,שָֽׁבַרְתִּי֙,שׁבר,break,descanso
291014,Ose,1,5,אֶת־,אֵת,[object marker],[Marcador de objeto]
291015,Ose,1,5,קֶ֣שֶׁת,קֶשֶׁת,bow,arco
291016,Ose,1,5,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,Israel,Israel
291017,Ose,1,5,בְּ,בְּ,in,en
291018,Ose,1,5,עֵ֖מֶק,עֵמֶק,valley,Valle
291019,Ose,1,5,יִזְרְעֶֽאל׃,יִזְרְעֶאל,[town],[pueblo]
291020,Ose,1,6,וַ,וְ,and,y
291021,Ose,1,6,תַּ֤הַר,הרה,be pregnant,estar embarazada
291022,Ose,1,6,עֹוד֙,עֹוד,duration,duración
291023,Ose,1,6,וַ,וְ,and,y
291024,Ose,1,6,תֵּ֣לֶד,ילד,bear,oso
291025,Ose,1,6,בַּ֔ת,בַּת,daughter,hija
291026,Ose,1,6,וַ,וְ,and,y
291027,Ose,1,6,יֹּ֣אמֶר,אמר,say,decir
291028,Ose,1,6,לֹ֔ו,לְ,to,a
291029,Ose,1,6,קְרָ֥א,קרא,call,llamada
291030,Ose,1,6,שְׁמָ֖הּ,שֵׁם,name,nombre
291031,Ose,1,6,לֹ֣א רֻחָ֑מָה,לֹא רֻחָמָה,Lo-Ruhamah,Lo-Ruhama
291032,Ose,1,6,כִּי֩,כִּי,that,ese
291033,Ose,1,6,לֹ֨א,לֹא,not,no
291034,Ose,1,6,אֹוסִ֜יף,יסף,add,añadir
291035,Ose,1,6,עֹ֗וד,עֹוד,duration,duración
291036,Ose,1,6,אֲרַחֵם֙,רחם,have compassion,tener compasión
291037,Ose,1,6,אֶת־,אֵת,[object marker],[Marcador de objeto]
291038,Ose,1,6,בֵּ֣ית,בַּיִת,house,casa
291039,Ose,1,6,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,Israel,Israel
291040,Ose,1,6,כִּֽי־,כִּי,that,ese
291041,Ose,1,6,נָשֹׂ֥א,נשׂא,lift,ascensor
291042,Ose,1,6,אֶשָּׂ֖א,נשׂא,lift,ascensor
291043,Ose,1,6,לָהֶֽם׃,לְ,to,a
291044,Ose,1,7,וְ,וְ,and,y
291045,Ose,1,7,אֶת־,אֵת,[object marker],[Marcador de objeto]
291046,Ose,1,7,בֵּ֤ית,בַּיִת,house,casa
291047,Ose,1,7,יְהוּדָה֙,יְהוּדָה,Judah,Judá
