word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
294064,Joe,1,1,דְּבַר־,דָּבָר,word,palabra
294065,Joe,1,1,יְהוָה֙,יְהוָה,YHWH,YHWH
294066,Joe,1,1,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
294067,Joe,1,1,הָיָ֔ה,היה,be,ser
294068,Joe,1,1,אֶל־,אֶל,to,a
294069,Joe,1,1,יֹואֵ֖ל,יֹואֵל,Joel,Joel
294070,Joe,1,1,בֶּן־,בֵּן,son,hijo
294071,Joe,1,1,פְּתוּאֵֽל׃,פְּתוּאֵל,Pethuel,Petuel
294072,Joe,1,2,שִׁמְעוּ־,שׁמע,hear,oír
294073,Joe,1,2,זֹאת֙,זֹאת,this,esta
294074,Joe,1,2,הַ,הַ,the,el
294075,Joe,1,2,זְּקֵנִ֔ים,זָקֵן,old,antiguo
294076,Joe,1,2,וְ,וְ,and,y
294077,Joe,1,2,הַֽאֲזִ֔ינוּ,אזן,listen,escucha
294078,Joe,1,2,כֹּ֖ל,כֹּל,whole,todo
294079,Joe,1,2,יֹושְׁבֵ֣י,ישׁב,sit,sentar
294080,Joe,1,2,הָ,הַ,the,el
294081,Joe,1,2,אָ֑רֶץ,אֶרֶץ,earth,tierra
294082,Joe,1,2,הֶ,הֲ,[interrogativo],[Interrogativo]
294083,Joe,1,2,הָ֤יְתָה,היה,be,ser
294084,Joe,1,2,זֹּאת֙,זֹאת,this,esta
294085,Joe,1,2,בִּֽ,בְּ,in,en
294086,Joe,1,2,ימֵיכֶ֔ם,יֹום,day,día
294087,Joe,1,2,וְ,וְ,and,y
294088,Joe,1,2,אִ֖ם,אִם,if,Si
294089,Joe,1,2,בִּ,בְּ,in,en
294090,Joe,1,2,ימֵ֥י,יֹום,day,día
294091,Joe,1,2,אֲבֹֽתֵיכֶֽם׃,אָב,father,padre
294092,Joe,1,3,עָלֶ֖יהָ,עַל,upon,sobre
294093,Joe,1,3,לִ,לְ,to,a
294094,Joe,1,3,בְנֵיכֶ֣ם,בֵּן,son,hijo
294095,Joe,1,3,סַפֵּ֑רוּ,ספר,count,contar
294096,Joe,1,3,וּ,וְ,and,y
294097,Joe,1,3,בְנֵיכֶם֙,בֵּן,son,hijo
294098,Joe,1,3,לִ,לְ,to,a
294099,Joe,1,3,בְנֵיהֶ֔ם,בֵּן,son,hijo
294100,Joe,1,3,וּ,וְ,and,y
294101,Joe,1,3,בְנֵיהֶ֖ם,בֵּן,son,hijo
294102,Joe,1,3,לְ,לְ,to,a
294103,Joe,1,3,דֹ֥ור,דֹּור,generation,Generacion
294104,Joe,1,3,אַחֵֽר׃,אַחֵר,other,otro
294105,Joe,1,4,יֶ֤תֶר,יֶתֶר,remainder,recordatorio
294106,Joe,1,4,הַ,הַ,the,el
294107,Joe,1,4,גָּזָם֙,גָּזָם,locust,langosta
294108,Joe,1,4,אָכַ֣ל,אכל,eat,comer
294109,Joe,1,4,הָֽ,הַ,the,el
294110,Joe,1,4,אַרְבֶּ֔ה,אַרְבֶּה,locust,langosta
294111,Joe,1,4,וְ,וְ,and,y
294112,Joe,1,4,יֶ֥תֶר,יֶתֶר,remainder,recordatorio
294113,Joe,1,4,הָ,הַ,the,el
294114,Joe,1,4,אַרְבֶּ֖ה,אַרְבֶּה,locust,langosta
294115,Joe,1,4,אָכַ֣ל,אכל,eat,comer
294116,Joe,1,4,הַ,הַ,the,el
294117,Joe,1,4,יָּ֑לֶק,יֶלֶק,locust,langosta
294118,Joe,1,4,וְ,וְ,and,y
294119,Joe,1,4,יֶ֣תֶר,יֶתֶר,remainder,recordatorio
294120,Joe,1,4,הַ,הַ,the,el
294121,Joe,1,4,יֶּ֔לֶק,יֶלֶק,locust,langosta
294122,Joe,1,4,אָכַ֖ל,אכל,eat,comer
294123,Joe,1,4,הֶ,הַ,the,el
294124,Joe,1,4,חָסִֽיל׃,חָסִיל,cockroach,cucaracha
294125,Joe,1,5,הָקִ֤יצוּ,קיץ,pass summer,pasar el verano
294126,Joe,1,5,שִׁכֹּורִים֙,שִׁכֹּור,drunk,borracho
294127,Joe,1,5,וּ,וְ,and,y
294128,Joe,1,5,בְכ֔וּ,בכה,weep,llorar
294129,Joe,1,5,וְ,וְ,and,y
294130,Joe,1,5,הֵילִ֖לוּ,ילל,howl,aullido
294131,Joe,1,5,כָּל־,כֹּל,whole,todo
294132,Joe,1,5,שֹׁ֣תֵי,שׁתה,drink,beber
294133,Joe,1,5,יָ֑יִן,יַיִן,wine,vino
294134,Joe,1,5,עַל־,עַל,upon,sobre
294135,Joe,1,5,עָסִ֕יס,עָסִיס,juice,jugo
294136,Joe,1,5,כִּ֥י,כִּי,that,ese
294137,Joe,1,5,נִכְרַ֖ת,כרת,cut,cortar
294138,Joe,1,5,מִ,מִן,from,de
294139,Joe,1,5,פִּיכֶֽם׃,פֶּה,mouth,boca
294140,Joe,1,6,כִּֽי־,כִּי,that,ese
294141,Joe,1,6,גֹוי֙,גֹּוי,people,gente
294142,Joe,1,6,עָלָ֣ה,עלה,ascend,ascender
294143,Joe,1,6,עַל־,עַל,upon,sobre
294144,Joe,1,6,אַרְצִ֔י,אֶרֶץ,earth,tierra
294145,Joe,1,6,עָצ֖וּם,עָצוּם,mighty,poderoso
294146,Joe,1,6,וְ,וְ,and,y
294147,Joe,1,6,אֵ֣ין,אַיִן,[NEG],[NEG]
294148,Joe,1,6,מִסְפָּ֑ר,מִסְפָּר,number,número
294149,Joe,1,6,שִׁנָּיו֙,שֵׁן,tooth,diente
294150,Joe,1,6,שִׁנֵּ֣י,שֵׁן,tooth,diente
294151,Joe,1,6,אַרְיֵ֔ה,אַרְיֵה,lion,león
