word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
298162,Abd,1,1,חֲזֹ֖ון,חָזֹון,vision,visión
298163,Abd,1,1,עֹֽבַדְיָ֑ה,עֹבַדְיָה,Obadiah,Abdías
298164,Abd,1,1,כֹּֽה־,כֹּה,thus,así
298165,Abd,1,1,אָמַר֩,אמר,say,decir
298166,Abd,1,1,אֲדֹנָ֨י,אֲדֹנָי,Lord,Señor
298167,Abd,1,1,יְהוִ֜ה,יְהוָה,YHWH,YHWH
298168,Abd,1,1,לֶ,לְ,to,a
298169,Abd,1,1,אֱדֹ֗ום,אֱדֹום,Edom,Edom
298170,Abd,1,1,שְׁמוּעָ֨ה,שְׁמוּעָה,report,informe
298171,Abd,1,1,שָׁמַ֜עְנוּ,שׁמע,hear,oír
298172,Abd,1,1,מֵ,מִן,from,de
298173,Abd,1,1,אֵ֤ת,אֵת,together with,Juntos con
298174,Abd,1,1,יְהוָה֙,יְהוָה,YHWH,YHWH
298175,Abd,1,1,וְ,וְ,and,y
298176,Abd,1,1,צִיר֙,צִיר,messenger,Mensajero
298177,Abd,1,1,בַּ,בְּ,in,en
298178,Abd,1,1,,הַ,the,el
298179,Abd,1,1,גֹּויִ֣ם,גֹּוי,people,gente
298180,Abd,1,1,שֻׁלָּ֔ח,שׁלח,send,enviar
298181,Abd,1,1,ק֛וּמוּ,קום,arise,surgir
298182,Abd,1,1,וְ,וְ,and,y
298183,Abd,1,1,נָק֥וּמָה,קום,arise,surgir
298184,Abd,1,1,עָלֶ֖יהָ,עַל,upon,sobre
298185,Abd,1,1,לַ,לְ,to,a
298186,Abd,1,1,,הַ,the,el
298187,Abd,1,1,מִּלְחָמָֽה׃,מִלְחָמָה,war,guerra
298188,Abd,1,2,הִנֵּ֥ה,הִנֵּה,behold,Mirad
298189,Abd,1,2,קָטֹ֛ן,קָטֹן,small,pequeña
298190,Abd,1,2,נְתַתִּ֖יךָ,נתן,give,dar
298191,Abd,1,2,בַּ,בְּ,in,en
298192,Abd,1,2,,הַ,the,el
298193,Abd,1,2,גֹּויִ֑ם,גֹּוי,people,gente
298194,Abd,1,2,בָּז֥וּי,בזה,despise,despreciar
298195,Abd,1,2,אַתָּ֖ה,אַתָּה,you,tú
