word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
304114,Hag,1,1,בִּ,בְּ,in,en
304115,Hag,1,1,שְׁנַ֤ת,שָׁנָה,year,año
304116,Hag,1,1,שְׁתַּ֨יִם֙,שְׁנַיִם,two,dos
304117,Hag,1,1,לְ,לְ,to,a
304118,Hag,1,1,דָרְיָ֣וֶשׁ,דָּרְיָוֶשׁ,Darius,Darío
304119,Hag,1,1,הַ,הַ,the,el
304120,Hag,1,1,מֶּ֔לֶךְ,מֶלֶךְ,king,Rey
304121,Hag,1,1,בַּ,בְּ,in,en
304122,Hag,1,1,,הַ,the,el
304123,Hag,1,1,חֹ֨דֶשׁ֙,חֹדֶשׁ,month,mes
304124,Hag,1,1,הַ,הַ,the,el
304125,Hag,1,1,שִּׁשִּׁ֔י,שִׁשִּׁי,sixth,sexto
304126,Hag,1,1,בְּ,בְּ,in,en
304127,Hag,1,1,יֹ֥ום,יֹום,day,día
304128,Hag,1,1,אֶחָ֖ד,אֶחָד,one,uno
304129,Hag,1,1,לַ,לְ,to,a
304130,Hag,1,1,,הַ,the,el
304131,Hag,1,1,חֹ֑דֶשׁ,חֹדֶשׁ,month,mes
304132,Hag,1,1,הָיָ֨ה,היה,be,ser
304133,Hag,1,1,דְבַר־,דָּבָר,word,palabra
304134,Hag,1,1,יְהוָ֜ה,יְהוָה,YHWH,YHWH
304135,Hag,1,1,בְּ,בְּ,in,en
304136,Hag,1,1,יַד־,יָד,hand,mano
304137,Hag,1,1,חַגַּ֣י,חַגַּי,Haggai,Ageo
304138,Hag,1,1,הַ,הַ,the,el
304139,Hag,1,1,נָּבִ֗יא,נָבִיא,prophet,profeta
304140,Hag,1,1,אֶל־,אֶל,to,a
304141,Hag,1,1,זְרֻבָּבֶ֤ל,זְרֻבָּבֶל,Zerubbabel,Zorobabel
304142,Hag,1,1,בֶּן־,בֵּן,son,hijo
304143,Hag,1,1,שְׁאַלְתִּיאֵל֙,שְׁאַלְתִּיאֵל,Shealtiel,Salatiel
304144,Hag,1,1,פַּחַ֣ת,פֶּחָה,governor,gobernador
304145,Hag,1,1,יְהוּדָ֔ה,יְהוּדָה,Judah,Judá
304146,Hag,1,1,וְ,וְ,and,y
304147,Hag,1,1,אֶל־,אֶל,to,a
304148,Hag,1,1,יְהֹושֻׁ֧עַ,יְהֹושֻׁעַ,Joshua,Joshua
304149,Hag,1,1,בֶּן־,בֵּן,son,hijo
304150,Hag,1,1,יְהֹוצָדָ֛ק,יְהֹוצָדָק,Jehozadak,Yehosadaq
304151,Hag,1,1,הַ,הַ,the,el
304152,Hag,1,1,כֹּהֵ֥ן,כֹּהֵן,priest,sacerdote
304153,Hag,1,1,הַ,הַ,the,el
304154,Hag,1,1,גָּדֹ֖ול,גָּדֹול,great,estupendo
304155,Hag,1,1,לֵ,לְ,to,a
304156,Hag,1,1,אמֹֽר׃,אמר,say,decir
304157,Hag,1,2,כֹּ֥ה,כֹּה,thus,así
304158,Hag,1,2,אָמַ֛ר,אמר,say,decir
304159,Hag,1,2,יְהוָ֥ה,יְהוָה,YHWH,YHWH
304160,Hag,1,2,צְבָאֹ֖ות,צָבָא,service,Servicio
304161,Hag,1,2,לֵ,לְ,to,a
304162,Hag,1,2,אמֹ֑ר,אמר,say,decir
304163,Hag,1,2,הָ,הַ,the,el
304164,Hag,1,2,עָ֤ם,עַם,people,gente
304165,Hag,1,2,הַ,הַ,the,el
304166,Hag,1,2,זֶּה֙,זֶה,this,esta
304167,Hag,1,2,אָֽמְר֔וּ,אמר,say,decir
304168,Hag,1,2,לֹ֥א,לֹא,not,no
304169,Hag,1,2,עֶת־,עֵת,time,hora
304170,Hag,1,2,בֹּ֛א,בוא,come,ven
304171,Hag,1,2,עֶת־,עֵת,time,hora
304172,Hag,1,2,בֵּ֥ית,בַּיִת,house,casa
