word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
304991,Zac,1,1,בַּ,בְּ,in,en
304992,Zac,1,1,,הַ,the,el
304993,Zac,1,1,חֹ֨דֶשׁ֙,חֹדֶשׁ,month,mes
304994,Zac,1,1,הַ,הַ,the,el
304995,Zac,1,1,שְּׁמִינִ֔י,שְׁמִינִי,eighth,octavo
304996,Zac,1,1,בִּ,בְּ,in,en
304997,Zac,1,1,שְׁנַ֥ת,שָׁנָה,year,año
304998,Zac,1,1,שְׁתַּ֖יִם,שְׁנַיִם,two,dos
304999,Zac,1,1,לְ,לְ,to,a
305000,Zac,1,1,דָרְיָ֑וֶשׁ,דָּרְיָוֶשׁ,Darius,Darío
305001,Zac,1,1,הָיָ֣ה,היה,be,ser
305002,Zac,1,1,דְבַר־,דָּבָר,word,palabra
305003,Zac,1,1,יְהוָ֗ה,יְהוָה,YHWH,YHWH
305004,Zac,1,1,אֶל־,אֶל,to,a
305005,Zac,1,1,זְכַרְיָה֙,זְכַרְיָה,Zechariah,Zacarías
305006,Zac,1,1,בֶּן־,בֵּן,son,hijo
305007,Zac,1,1,בֶּ֣רֶכְיָ֔ה,בֶּרֶכְיָה,Berekiah,Berekia
305008,Zac,1,1,בֶּן־,בֵּן,son,hijo
305009,Zac,1,1,עִדֹּ֥ו,עִדֹּו,Iddo,Lo haría
305010,Zac,1,1,הַ,הַ,the,el
305011,Zac,1,1,נָּבִ֖יא,נָבִיא,prophet,profeta
305012,Zac,1,1,לֵ,לְ,to,a
305013,Zac,1,1,אמֹֽר׃,אמר,say,decir
305014,Zac,1,2,קָצַ֧ף,קצף,be angry,estar enojado
305015,Zac,1,2,יְהוָ֛ה,יְהוָה,YHWH,YHWH
305016,Zac,1,2,עַל־,עַל,upon,sobre
305017,Zac,1,2,אֲבֹֽותֵיכֶ֖ם,אָב,father,padre
305018,Zac,1,2,קָֽצֶף׃,קֶצֶף,anger,enfado
305019,Zac,1,3,וְ,וְ,and,y
305020,Zac,1,3,אָמַרְתָּ֣,אמר,say,decir
305021,Zac,1,3,אֲלֵהֶ֗ם,אֶל,to,a
305022,Zac,1,3,כֹּ֤ה,כֹּה,thus,así
305023,Zac,1,3,אָמַר֙,אמר,say,decir
305024,Zac,1,3,יְהוָ֣ה,יְהוָה,YHWH,YHWH
305025,Zac,1,3,צְבָאֹ֔ות,צָבָא,service,Servicio
305026,Zac,1,3,שׁ֣וּבוּ,שׁוב,return,regreso
305027,Zac,1,3,אֵלַ֔י,אֶל,to,a
305028,Zac,1,3,נְאֻ֖ם,נְאֻם,speech,habla
305029,Zac,1,3,יְהוָ֣ה,יְהוָה,YHWH,YHWH
305030,Zac,1,3,צְבָאֹ֑ות,צָבָא,service,Servicio
305031,Zac,1,3,וְ,וְ,and,y
305032,Zac,1,3,אָשׁ֣וּב,שׁוב,return,regreso
305033,Zac,1,3,אֲלֵיכֶ֔ם,אֶל,to,a
305034,Zac,1,3,אָמַ֖ר,אמר,say,decir
305035,Zac,1,3,יְהוָ֥ה,יְהוָה,YHWH,YHWH
305036,Zac,1,3,צְבָאֹֽות׃,צָבָא,service,Servicio
305037,Zac,1,4,אַל־,אַל,not,no
305038,Zac,1,4,תִּהְי֣וּ,היה,be,ser
305039,Zac,1,4,כַ,כְּ,as,como
305040,Zac,1,4,אֲבֹֽתֵיכֶ֡ם,אָב,father,padre
305041,Zac,1,4,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
305042,Zac,1,4,קָרְאֽוּ־,קרא,call,llamada
305043,Zac,1,4,אֲלֵיהֶם֩,אֶל,to,a
305044,Zac,1,4,הַ,הַ,the,el
305045,Zac,1,4,נְּבִיאִ֨ים,נָבִיא,prophet,profeta
305046,Zac,1,4,הָ,הַ,the,el
305047,Zac,1,4,רִֽאשֹׁנִ֜ים,רִאשֹׁון,first,primero
305048,Zac,1,4,לֵ,לְ,to,a
305049,Zac,1,4,אמֹ֗ר,אמר,say,decir
305050,Zac,1,4,כֹּ֤ה,כֹּה,thus,así
305051,Zac,1,4,אָמַר֙,אמר,say,decir
305052,Zac,1,4,יְהוָ֣ה,יְהוָה,YHWH,YHWH
305053,Zac,1,4,צְבָאֹ֔ות,צָבָא,service,Servicio
305054,Zac,1,4,שׁ֤וּבוּ,שׁוב,return,regreso
305055,Zac,1,4,נָא֙,נָא,yeah,sí
305056,Zac,1,4,מִ,מִן,from,de
305057,Zac,1,4,דַּרְכֵיכֶ֣ם,דֶּרֶךְ,way,camino
305058,Zac,1,4,הָ,הַ,the,el
305059,Zac,1,4,רָעִ֔ים,רַע,evil,mal
305060,Zac,1,4,וּ,וְ,and,y
305061,Zac,1,4,מַֽעַלְלֵיכֶ֖ם,מַעֲלָל,deed,escritura
305062,Zac,1,4,הָֽ,הַ,the,el
305063,Zac,1,4,רָעִ֑ים,רַע,evil,mal
305064,Zac,1,4,וְ,וְ,and,y
305065,Zac,1,4,לֹ֥א,לֹא,not,no
305066,Zac,1,4,שָׁמְע֛וּ,שׁמע,hear,oír
305067,Zac,1,4,וְ,וְ,and,y
305068,Zac,1,4,לֹֽא־,לֹא,not,no
305069,Zac,1,4,הִקְשִׁ֥יבוּ,קשׁב,give attention,Presta atención
305070,Zac,1,4,אֵלַ֖י,אֶל,to,a
305071,Zac,1,4,נְאֻם־,נְאֻם,speech,habla
305072,Zac,1,4,יְהוָֽה׃,יְהוָה,YHWH,YHWH
305073,Zac,1,5,אֲבֹֽותֵיכֶ֖ם,אָב,father,padre
305074,Zac,1,5,אַיֵּה־,אַיֵּה,where,dónde
305075,Zac,1,5,הֵ֑ם,הֵם,they,ellos
305076,Zac,1,5,וְ,וְ,and,y
305077,Zac,1,5,הַ֨,הַ,the,el
305078,Zac,1,5,נְּבִאִ֔ים,נָבִיא,prophet,profeta
305079,Zac,1,5,הַ,הֲ,[interrogativo],[Interrogativo]
305080,Zac,1,5,לְ,לְ,to,a
305081,Zac,1,5,עֹולָ֖ם,עֹולָם,eternity,eternidad
305082,Zac,1,5,יִֽחְיֽוּ׃,חיה,be alive,estar vivo
305083,Zac,1,6,אַ֣ךְ׀,אַךְ,only,solamente
305084,Zac,1,6,דְּבָרַ֣י,דָּבָר,word,palabra
305085,Zac,1,6,וְ,וְ,and,y
305086,Zac,1,6,חֻקַּ֗י,חֹק,portion,parte
305087,Zac,1,6,אֲשֶׁ֤ר,אֲשֶׁר,[relative],[relativo]
305088,Zac,1,6,צִוִּ֨יתִי֙,צוה,command,mando
305089,Zac,1,6,אֶת־,אֵת,[object marker],[Marcador de objeto]
305090,Zac,1,6,עֲבָדַ֣י,עֶבֶד,servant,servidor
305091,Zac,1,6,הַ,הַ,the,el
305092,Zac,1,6,נְּבִיאִ֔ים,נָבִיא,prophet,profeta
305093,Zac,1,6,הֲ,הֲ,[interrogativo],[Interrogativo]
305094,Zac,1,6,לֹ֥וא,לֹא,not,no
305095,Zac,1,6,הִשִּׂ֖יגוּ,נשׂג,overtake,adelantar
305096,Zac,1,6,אֲבֹתֵיכֶ֑ם,אָב,father,padre
305097,Zac,1,6,וַ,וְ,and,y
305098,Zac,1,6,יָּשׁ֣וּבוּ,שׁוב,return,regreso
305099,Zac,1,6,וַ,וְ,and,y
305100,Zac,1,6,יֹּאמְר֗וּ,אמר,say,decir
305101,Zac,1,6,כַּ,כְּ,as,como
305102,Zac,1,6,אֲשֶׁ֨ר,אֲשֶׁר,[relative],[relativo]
305103,Zac,1,6,זָמַ֜ם,זמם,ponder,reflexionar
305104,Zac,1,6,יְהוָ֤ה,יְהוָה,YHWH,YHWH
305105,Zac,1,6,צְבָאֹות֙,צָבָא,service,Servicio
305106,Zac,1,6,לַ,לְ,to,a
305107,Zac,1,6,עֲשֹׂ֣ות,עשׂה,make,hacer
305108,Zac,1,6,לָ֔נוּ,לְ,to,a
305109,Zac,1,6,כִּ,כְּ,as,como
305110,Zac,1,6,דְרָכֵ֨ינוּ֙,דֶּרֶךְ,way,camino
305111,Zac,1,6,וּ,וְ,and,y
305112,Zac,1,6,כְ,כְּ,as,como
305113,Zac,1,6,מַ֣עֲלָלֵ֔ינוּ,מַעֲלָל,deed,escritura
305114,Zac,1,6,כֵּ֖ן,כֵּן,thus,así
305115,Zac,1,6,עָשָׂ֥ה,עשׂה,make,hacer
305116,Zac,1,6,אִתָּֽנוּ׃ ס,אֵת,together with,Juntos con
305117,Zac,1,7,בְּ,בְּ,in,en
305118,Zac,1,7,יֹום֩,יֹום,day,día
305119,Zac,1,7,עֶשְׂרִ֨ים,עֶשְׂרִים,twenty,veinte
305120,Zac,1,7,וְ,וְ,and,y
305121,Zac,1,7,אַרְבָּעָ֜ה,אַרְבַּע,four,las cuatro
305122,Zac,1,7,לְ,לְ,to,a
305123,Zac,1,7,עַשְׁתֵּֽי־,עַשְׁתֵּי,eleven,once
305124,Zac,1,7,עָשָׂ֥ר,עָשָׂר,-teen,-adolescente
305125,Zac,1,7,חֹ֨דֶשׁ֙,חֹדֶשׁ,month,mes
305126,Zac,1,7,הוּא־,הוּא,he,él
305127,Zac,1,7,חֹ֣דֶשׁ,חֹדֶשׁ,month,mes
305128,Zac,1,7,שְׁבָ֔ט,שְׁבָט,Shebat,Sebat
305129,Zac,1,7,בִּ,בְּ,in,en
305130,Zac,1,7,שְׁנַ֥ת,שָׁנָה,year,año
305131,Zac,1,7,שְׁתַּ֖יִם,שְׁנַיִם,two,dos
305132,Zac,1,7,לְ,לְ,to,a
305133,Zac,1,7,דָרְיָ֑וֶשׁ,דָּרְיָוֶשׁ,Darius,Darío
305134,Zac,1,7,הָיָ֣ה,היה,be,ser
305135,Zac,1,7,דְבַר־,דָּבָר,word,palabra
305136,Zac,1,7,יְהוָ֗ה,יְהוָה,YHWH,YHWH
305137,Zac,1,7,אֶל־,אֶל,to,a
305138,Zac,1,7,זְכַרְיָה֙,זְכַרְיָה,Zechariah,Zacarías
305139,Zac,1,7,בֶּן־,בֵּן,son,hijo
305140,Zac,1,7,בֶּ֣רֶכְיָ֔הוּ,בֶּרֶכְיָהוּ,Berekiah,Berekia
305141,Zac,1,7,בֶּן־,בֵּן,son,hijo
305142,Zac,1,7,עִדֹּ֥וא,עִדֹּוא,Iddo,Lo haría
305143,Zac,1,7,הַ,הַ,the,el
305144,Zac,1,7,נָּבִ֖יא,נָבִיא,prophet,profeta
305145,Zac,1,7,לֵ,לְ,to,a
305146,Zac,1,7,אמֹֽר׃,אמר,say,decir
305147,Zac,1,8,רָאִ֣יתִי׀,ראה,see,ver
305148,Zac,1,8,הַ,הַ,the,el
305149,Zac,1,8,לַּ֗יְלָה,לַיְלָה,night,noche
305150,Zac,1,8,וְ,וְ,and,y
305151,Zac,1,8,הִנֵּה־,הִנֵּה,behold,Mirad
305152,Zac,1,8,אִישׁ֙,אִישׁ,man,hombre
305153,Zac,1,8,רֹכֵב֙,רכב,ride,paseo
305154,Zac,1,8,עַל־,עַל,upon,sobre
305155,Zac,1,8,ס֣וּס,סוּס,horse,caballo
305156,Zac,1,8,אָדֹ֔ם,אָדֹם,red,rojo
305157,Zac,1,8,וְ,וְ,and,y
305158,Zac,1,8,ה֣וּא,הוּא,he,él
305159,Zac,1,8,עֹמֵ֔ד,עמד,stand,estar
305160,Zac,1,8,בֵּ֥ין,בַּיִן,interval,intervalo
305161,Zac,1,8,הַ,הַ,the,el
305162,Zac,1,8,הֲדַסִּ֖ים,הֲדַס,myrtle,mirto
305163,Zac,1,8,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
305164,Zac,1,8,בַּ,בְּ,in,en
305165,Zac,1,8,,הַ,the,el
305166,Zac,1,8,מְּצֻלָ֑ה,מְצֹולָה,depth,profundidad
305167,Zac,1,8,וְ,וְ,and,y
305168,Zac,1,8,אַחֲרָיו֙,אַחַר,after,después
305169,Zac,1,8,סוּסִ֣ים,סוּס,horse,caballo
305170,Zac,1,8,אֲדֻמִּ֔ים,אָדֹם,red,rojo
305171,Zac,1,8,שְׂרֻקִּ֖ים,שָׂרֹק,bright red,rojo brillante
305172,Zac,1,8,וּ,וְ,and,y
305173,Zac,1,8,לְבָנִֽים׃,לָבָן,white,blanco
305174,Zac,1,9,וָ,וְ,and,y
305175,Zac,1,9,אֹמַ֖ר,אמר,say,decir
305176,Zac,1,9,מָה־,מָה,what,qué
305177,Zac,1,9,אֵ֣לֶּה,אֵלֶּה,these,estas
305178,Zac,1,9,אֲדֹנִ֑י,אָדֹון,lord,señor
305179,Zac,1,9,וַ,וְ,and,y
305180,Zac,1,9,יֹּ֣אמֶר,אמר,say,decir
305181,Zac,1,9,אֵלַ֗י,אֶל,to,a
305182,Zac,1,9,הַ,הַ,the,el
305183,Zac,1,9,מַּלְאָךְ֙,מַלְאָךְ,messenger,Mensajero
305184,Zac,1,9,הַ,הַ,the,el
305185,Zac,1,9,דֹּבֵ֣ר,דבר,speak,hablar
305186,Zac,1,9,בִּ֔י,בְּ,in,en
305187,Zac,1,9,אֲנִ֥י,אֲנִי,i,yo
305188,Zac,1,9,אַרְאֶ֖ךָּ,ראה,see,ver
305189,Zac,1,9,מָה־,מָה,what,qué
305190,Zac,1,9,הֵ֥מָּה,הֵמָּה,they,ellos
305191,Zac,1,9,אֵֽלֶּה׃,אֵלֶּה,these,estas
305192,Zac,1,10,וַ,וְ,and,y
305193,Zac,1,10,יַּ֗עַן,ענה,answer,responder
305194,Zac,1,10,הָ,הַ,the,el
305195,Zac,1,10,אִ֛ישׁ,אִישׁ,man,hombre
305196,Zac,1,10,הָ,הַ,the,el
305197,Zac,1,10,עֹמֵ֥ד,עמד,stand,estar
305198,Zac,1,10,בֵּין־,בַּיִן,interval,intervalo
305199,Zac,1,10,הַ,הַ,the,el
305200,Zac,1,10,הַדַסִּ֖ים,הֲדַס,myrtle,mirto
305201,Zac,1,10,וַ,וְ,and,y
305202,Zac,1,10,יֹּאמַ֑ר,אמר,say,decir
305203,Zac,1,10,אֵ֚לֶּה,אֵלֶּה,these,estas
305204,Zac,1,10,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
305205,Zac,1,10,שָׁלַ֣ח,שׁלח,send,enviar
305206,Zac,1,10,יְהוָ֔ה,יְהוָה,YHWH,YHWH
305207,Zac,1,10,לְ,לְ,to,a
305208,Zac,1,10,הִתְהַלֵּ֖ךְ,הלך,walk,caminar
305209,Zac,1,10,בָּ,בְּ,in,en
305210,Zac,1,10,,הַ,the,el
305211,Zac,1,10,אָֽרֶץ׃,אֶרֶץ,earth,tierra
305212,Zac,1,11,וַֽ,וְ,and,y
305213,Zac,1,11,יַּעֲנ֞וּ,ענה,answer,responder
305214,Zac,1,11,אֶת־,אֵת,[object marker],[Marcador de objeto]
305215,Zac,1,11,מַלְאַ֣ךְ,מַלְאָךְ,messenger,Mensajero
305216,Zac,1,11,יְהוָ֗ה,יְהוָה,YHWH,YHWH
305217,Zac,1,11,הָֽ,הַ,the,el
305218,Zac,1,11,עֹמֵד֙,עמד,stand,estar
305219,Zac,1,11,בֵּ֣ין,בַּיִן,interval,intervalo
305220,Zac,1,11,הַ,הַ,the,el
305221,Zac,1,11,הֲדַסִּ֔ים,הֲדַס,myrtle,mirto
305222,Zac,1,11,וַ,וְ,and,y
305223,Zac,1,11,יֹּאמְר֖וּ,אמר,say,decir
305224,Zac,1,11,הִתְהַלַּ֣כְנוּ,הלך,walk,caminar
305225,Zac,1,11,בָ,בְּ,in,en
305226,Zac,1,11,,הַ,the,el
305227,Zac,1,11,אָ֑רֶץ,אֶרֶץ,earth,tierra
305228,Zac,1,11,וְ,וְ,and,y
305229,Zac,1,11,הִנֵּ֥ה,הִנֵּה,behold,Mirad
305230,Zac,1,11,כָל־,כֹּל,whole,todo
305231,Zac,1,11,הָ,הַ,the,el
305232,Zac,1,11,אָ֖רֶץ,אֶרֶץ,earth,tierra
305233,Zac,1,11,יֹשֶׁ֥בֶת,ישׁב,sit,sentar
305234,Zac,1,11,וְ,וְ,and,y
305235,Zac,1,11,שֹׁקָֽטֶת׃,שׁקט,be at peace,estar en paz
305236,Zac,1,12,וַ,וְ,and,y
305237,Zac,1,12,יַּ֣עַן,ענה,answer,responder
305238,Zac,1,12,מַלְאַךְ־,מַלְאָךְ,messenger,Mensajero
305239,Zac,1,12,יְהוָה֮,יְהוָה,YHWH,YHWH
305240,Zac,1,12,וַ,וְ,and,y
305241,Zac,1,12,יֹּאמַר֒,אמר,say,decir
305242,Zac,1,12,יְהוָ֣ה,יְהוָה,YHWH,YHWH
305243,Zac,1,12,צְבָאֹ֔ות,צָבָא,service,Servicio
305244,Zac,1,12,עַד־,עַד,unto,hasta
305245,Zac,1,12,מָתַ֗י,מָתַי,when,cuando
305246,Zac,1,12,אַתָּה֙,אַתָּה,you,tú
305247,Zac,1,12,לֹֽא־,לֹא,not,no
305248,Zac,1,12,תְרַחֵ֣ם,רחם,have compassion,tener compasión
