word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
92798,Deu,1,1,אֵ֣לֶּה,אֵלֶּה,these,estas
92799,Deu,1,1,הַ,הַ,the,el
92800,Deu,1,1,דְּבָרִ֗ים,דָּבָר,word,palabra
92801,Deu,1,1,אֲשֶׁ֨ר,אֲשֶׁר,[relative],[relativo]
92802,Deu,1,1,דִּבֶּ֤ר,דבר,speak,hablar
92803,Deu,1,1,מֹשֶׁה֙,מֹשֶׁה,Moses,Moisés
92804,Deu,1,1,אֶל־,אֶל,to,a
92805,Deu,1,1,כָּל־,כֹּל,whole,todo
92806,Deu,1,1,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,Israel,Israel
92807,Deu,1,1,בְּ,בְּ,in,en
92808,Deu,1,1,עֵ֖בֶר,עֵבֶר,opposite,opuesto
92809,Deu,1,1,הַ,הַ,the,el
92810,Deu,1,1,יַּרְדֵּ֑ן,יַרְדֵּן,Jordan,Jordán
92811,Deu,1,1,בַּ,בְּ,in,en
92812,Deu,1,1,,הַ,the,el
92813,Deu,1,1,מִּדְבָּ֡ר,מִדְבָּר,desert,Desierto
92814,Deu,1,1,בָּֽ,בְּ,in,en
92815,Deu,1,1,,הַ,the,el
92816,Deu,1,1,עֲרָבָה֩,עֲרָבָה,desert,Desierto
92817,Deu,1,1,מֹ֨ול,מוּל,front,frente
92818,Deu,1,1,ס֜וּף,סוּף,Suph,Suf
92819,Deu,1,1,בֵּֽין־,בַּיִן,interval,intervalo
92820,Deu,1,1,פָּארָ֧ן,פָּארָן,Paran,Paran
92821,Deu,1,1,וּ,וְ,and,y
92822,Deu,1,1,בֵֽין־,בַּיִן,interval,intervalo
92823,Deu,1,1,תֹּ֛פֶל,תֹּפֶל,Tophel,Tofel
92824,Deu,1,1,וְ,וְ,and,y
92825,Deu,1,1,לָבָ֥ן,לָבָן,Laban,Laban
92826,Deu,1,1,וַ,וְ,and,y
92827,Deu,1,1,חֲצֵרֹ֖ת,חֲצֵרֹות,Hazeroth,Haseroth
92828,Deu,1,1,וְ,וְ,and,y
92829,Deu,1,1,דִ֥י זָהָֽב׃,דִּי זָהָב,Dizahab,Dizahab
92830,Deu,1,2,אַחַ֨ד,אֶחָד,one,uno
92831,Deu,1,2,עָשָׂ֥ר,עָשָׂר,-teen,-adolescente
92832,Deu,1,2,יֹום֙,יֹום,day,día
92833,Deu,1,2,מֵֽ,מִן,from,de
92834,Deu,1,2,חֹרֵ֔ב,חֹרֵב,Horeb,Horeb
92835,Deu,1,2,דֶּ֖רֶךְ,דֶּרֶךְ,way,camino
92836,Deu,1,2,הַר־,הַר,mountain,montaña
92837,Deu,1,2,שֵׂעִ֑יר,שֵׂעִיר,Seir,seir
92838,Deu,1,2,עַ֖ד,עַד,unto,hasta
92839,Deu,1,2,קָדֵ֥שׁ בַּרְנֵֽעַ׃,קָדֵשׁ בַּרְנֵעַ,Kadesh Barnea,Cades Barnea
92840,Deu,1,3,וַ,וְ,and,y
92841,Deu,1,3,יְהִי֙,היה,be,ser
92842,Deu,1,3,בְּ,בְּ,in,en
92843,Deu,1,3,אַרְבָּעִ֣ים,אַרְבַּע,four,las cuatro
92844,Deu,1,3,שָׁנָ֔ה,שָׁנָה,year,año
92845,Deu,1,3,בְּ,בְּ,in,en
92846,Deu,1,3,עַשְׁתֵּֽי־,עַשְׁתֵּי,eleven,once
92847,Deu,1,3,עָשָׂ֥ר,עָשָׂר,-teen,-adolescente
92848,Deu,1,3,חֹ֖דֶשׁ,חֹדֶשׁ,month,mes
92849,Deu,1,3,בְּ,בְּ,in,en
92850,Deu,1,3,אֶחָ֣ד,אֶחָד,one,uno
92851,Deu,1,3,לַ,לְ,to,a
92852,Deu,1,3,,הַ,the,el
92853,Deu,1,3,חֹ֑דֶשׁ,חֹדֶשׁ,month,mes
92854,Deu,1,3,דִּבֶּ֤ר,דבר,speak,hablar
92855,Deu,1,3,מֹשֶׁה֙,מֹשֶׁה,Moses,Moisés
92856,Deu,1,3,אֶל־,אֶל,to,a
92857,Deu,1,3,בְּנֵ֣י,בֵּן,son,hijo
92858,Deu,1,3,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,Israel,Israel
92859,Deu,1,3,כְּ֠,כְּ,as,como
92860,Deu,1,3,כֹל,כֹּל,whole,todo
92861,Deu,1,3,אֲשֶׁ֨ר,אֲשֶׁר,[relative],[relativo]
92862,Deu,1,3,צִוָּ֧ה,צוה,command,mando
92863,Deu,1,3,יְהוָ֛ה,יְהוָה,YHWH,YHWH
92864,Deu,1,3,אֹתֹ֖ו,אֵת,[object marker],[Marcador de objeto]
92865,Deu,1,3,אֲלֵהֶֽם׃,אֶל,to,a
92866,Deu,1,4,אַחֲרֵ֣י,אַחַר,after,después
92867,Deu,1,4,הַכֹּתֹ֗ו,נכה,strike,Huelga
92868,Deu,1,4,אֵ֚ת,אֵת,[object marker],[Marcador de objeto]
92869,Deu,1,4,סִיחֹן֙,סִיחֹון,Sihon,Sehón
92870,Deu,1,4,מֶ֣לֶךְ,מֶלֶךְ,king,Rey
92871,Deu,1,4,הָֽ,הַ,the,el
92872,Deu,1,4,אֱמֹרִ֔י,אֱמֹרִי,Amorite,amorite
92873,Deu,1,4,אֲשֶׁ֥ר,אֲשֶׁר,[relative],[relativo]
92874,Deu,1,4,יֹושֵׁ֖ב,ישׁב,sit,sentar
92875,Deu,1,4,בְּ,בְּ,in,en
92876,Deu,1,4,חֶשְׁבֹּ֑ון,חֶשְׁבֹּון,HesHn,HesHn
92877,Deu,1,4,וְ,וְ,and,y
