word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
112925,Jos,1,1,וַ,וְ,and,y
112926,Jos,1,1,יְהִ֗י,היה,be,ser
112927,Jos,1,1,אַחֲרֵ֛י,אַחַר,after,después
112928,Jos,1,1,מֹ֥ות,מָוֶת,death,muerte
112929,Jos,1,1,מֹשֶׁ֖ה,מֹשֶׁה,Moses,Moisés
112930,Jos,1,1,עֶ֣בֶד,עֶבֶד,servant,servidor
112931,Jos,1,1,יְהוָ֑ה,יְהוָה,YHWH,YHWH
112932,Jos,1,1,וַ,וְ,and,y
112933,Jos,1,1,יֹּ֤אמֶר,אמר,say,decir
112934,Jos,1,1,יְהוָה֙,יְהוָה,YHWH,YHWH
112935,Jos,1,1,אֶל־,אֶל,to,a
112936,Jos,1,1,יְהֹושֻׁ֣עַ,יְהֹושֻׁעַ,Joshua,Joshua
112937,Jos,1,1,בִּן־,בֵּן,son,hijo
112938,Jos,1,1,נ֔וּן,נוּן,Nun,Monja
112939,Jos,1,1,מְשָׁרֵ֥ת,שׁרת,serve,servir
112940,Jos,1,1,מֹשֶׁ֖ה,מֹשֶׁה,Moses,Moisés
112941,Jos,1,1,לֵ,לְ,to,a
112942,Jos,1,1,אמֹֽר׃,אמר,say,decir
112943,Jos,1,2,מֹשֶׁ֥ה,מֹשֶׁה,Moses,Moisés
112944,Jos,1,2,עַבְדִּ֖י,עֶבֶד,servant,servidor
112945,Jos,1,2,מֵ֑ת,מות,die,morir
112946,Jos,1,2,וְ,וְ,and,y
112947,Jos,1,2,עַתָּה֩,עַתָּה,now,ahora
112948,Jos,1,2,ק֨וּם,קום,arise,surgir
112949,Jos,1,2,עֲבֹ֜ר,עבר,pass,pasar
112950,Jos,1,2,אֶת־,אֵת,[object marker],[Marcador de objeto]
112951,Jos,1,2,הַ,הַ,the,el
112952,Jos,1,2,יַּרְדֵּ֣ן,יַרְדֵּן,Jordan,Jordán
112953,Jos,1,2,הַ,הַ,the,el
112954,Jos,1,2,זֶּ֗ה,זֶה,this,esta
112955,Jos,1,2,אַתָּה֙,אַתָּה,you,tú
112956,Jos,1,2,וְ,וְ,and,y
112957,Jos,1,2,כָל־,כֹּל,whole,todo
112958,Jos,1,2,הָ,הַ,the,el
112959,Jos,1,2,עָ֣ם,עַם,people,gente
112960,Jos,1,2,הַ,הַ,the,el
112961,Jos,1,2,זֶּ֔ה,זֶה,this,esta
112962,Jos,1,2,אֶל־,אֶל,to,a
112963,Jos,1,2,הָ,הַ,the,el
112964,Jos,1,2,אָ֕רֶץ,אֶרֶץ,earth,tierra
112965,Jos,1,2,אֲשֶׁ֧ר,אֲשֶׁר,[relative],[relativo]
112966,Jos,1,2,אָנֹכִ֛י,אָנֹכִי,i,yo
112967,Jos,1,2,נֹתֵ֥ן,נתן,give,dar
112968,Jos,1,2,לָהֶ֖ם,לְ,to,a
112969,Jos,1,2,לִ,לְ,to,a
112970,Jos,1,2,בְנֵ֥י,בֵּן,son,hijo
112971,Jos,1,2,יִשְׂרָאֵֽל׃,יִשְׂרָאֵל,Israel,Israel
112972,Jos,1,3,כָּל־,כֹּל,whole,todo
112973,Jos,1,3,מָקֹ֗ום,מָקֹום,place,lugar
112974,Jos,1,3,אֲשֶׁ֨ר,אֲשֶׁר,[relative],[relativo]
112975,Jos,1,3,תִּדְרֹ֧ךְ,דרך,tread,huella
112976,Jos,1,3,כַּֽף־,כַּף,palm,palma
112977,Jos,1,3,רַגְלְכֶ֛ם,רֶגֶל,foot,pie
112978,Jos,1,3,בֹּ֖ו,בְּ,in,en
112979,Jos,1,3,לָכֶ֣ם,לְ,to,a
112980,Jos,1,3,נְתַתִּ֑יו,נתן,give,dar
112981,Jos,1,3,כַּ,כְּ,as,como
112982,Jos,1,3,אֲשֶׁ֥ר,אֲשֶׁר,[relative],[relativo]
112983,Jos,1,3,דִּבַּ֖רְתִּי,דבר,speak,hablar
112984,Jos,1,3,אֶל־,אֶל,to,a
112985,Jos,1,3,מֹשֶֽׁה׃,מֹשֶׁה,Moses,Moisés
112986,Jos,1,4,מֵ,מִן,from,de
112987,Jos,1,4,הַ,הַ,the,el
112988,Jos,1,4,מִּדְבָּר֩,מִדְבָּר,desert,Desierto
112989,Jos,1,4,וְ,וְ,and,y
112990,Jos,1,4,הַ,הַ,the,el
112991,Jos,1,4,לְּבָנֹ֨ון,לְבָנֹון,Lebanon,Líbano
112992,Jos,1,4,הַ,הַ,the,el
112993,Jos,1,4,זֶּ֜ה,זֶה,this,esta
112994,Jos,1,4,וְֽ,וְ,and,y
112995,Jos,1,4,עַד־,עַד,unto,hasta
112996,Jos,1,4,הַ,הַ,the,el
