word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
127451,Jue,1,1,וַ,וְ,and,y
127452,Jue,1,1,יְהִ֗י,היה,be,ser
127453,Jue,1,1,אַחֲרֵי֙,אַחַר,after,después
127454,Jue,1,1,מֹ֣ות,מָוֶת,death,muerte
127455,Jue,1,1,יְהֹושֻׁ֔עַ,יְהֹושֻׁעַ,Joshua,Joshua
127456,Jue,1,1,וַֽ,וְ,and,y
127457,Jue,1,1,יִּשְׁאֲלוּ֙,שׁאל,ask,pedir
127458,Jue,1,1,בְּנֵ֣י,בֵּן,son,hijo
127459,Jue,1,1,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,Israel,Israel
127460,Jue,1,1,בַּ,בְּ,in,en
127461,Jue,1,1,יהוָ֖ה,יְהוָה,YHWH,YHWH
127462,Jue,1,1,לֵ,לְ,to,a
127463,Jue,1,1,אמֹ֑ר,אמר,say,decir
127464,Jue,1,1,מִ֣י,מִי,who,quien
127465,Jue,1,1,יַעֲלֶה־,עלה,ascend,ascender
127466,Jue,1,1,לָּ֧נוּ,לְ,to,a
127467,Jue,1,1,אֶל־,אֶל,to,a
127468,Jue,1,1,הַֽ,הַ,the,el
127469,Jue,1,1,כְּנַעֲנִ֛י,כְּנַעֲנִי,Canaanite,canaanita
127470,Jue,1,1,בַּ,בְּ,in,en
127471,Jue,1,1,,הַ,the,el
127472,Jue,1,1,תְּחִלָּ֖ה,תְּחִלָּה,beginning,comenzando
127473,Jue,1,1,לְ,לְ,to,a
127474,Jue,1,1,הִלָּ֥חֶם,לחם,fight,lucha
127475,Jue,1,1,בֹּֽו׃,בְּ,in,en
127476,Jue,1,2,וַ,וְ,and,y
127477,Jue,1,2,יֹּ֣אמֶר,אמר,say,decir
127478,Jue,1,2,יְהוָ֖ה,יְהוָה,YHWH,YHWH
127479,Jue,1,2,יְהוּדָ֣ה,יְהוּדָה,Judah,Judá
127480,Jue,1,2,יַעֲלֶ֑ה,עלה,ascend,ascender
127481,Jue,1,2,הִנֵּ֛ה,הִנֵּה,behold,Mirad
127482,Jue,1,2,נָתַ֥תִּי,נתן,give,dar
127483,Jue,1,2,אֶת־,אֵת,[object marker],[Marcador de objeto]
127484,Jue,1,2,הָ,הַ,the,el
127485,Jue,1,2,אָ֖רֶץ,אֶרֶץ,earth,tierra
127486,Jue,1,2,בְּ,בְּ,in,en
127487,Jue,1,2,יָדֹֽו׃,יָד,hand,mano
127488,Jue,1,3,וַ,וְ,and,y
127489,Jue,1,3,יֹּ֣אמֶר,אמר,say,decir
127490,Jue,1,3,יְהוּדָה֩,יְהוּדָה,Judah,Judá
127491,Jue,1,3,לְ,לְ,to,a
127492,Jue,1,3,שִׁמְעֹ֨ון,שִׁמְעֹון,Simeon,Simeón
127493,Jue,1,3,אָחִ֜יו,אָח,brother,hermano
127494,Jue,1,3,עֲלֵ֧ה,עלה,ascend,ascender
127495,Jue,1,3,אִתִּ֣י,אֵת,together with,Juntos con
127496,Jue,1,3,בְ,בְּ,in,en
127497,Jue,1,3,גֹורָלִ֗י,גֹּורָל,lot,mucho
127498,Jue,1,3,וְ,וְ,and,y
127499,Jue,1,3,נִֽלָּחֲמָה֙,לחם,fight,lucha
127500,Jue,1,3,בַּֽ,בְּ,in,en
127501,Jue,1,3,,הַ,the,el
127502,Jue,1,3,כְּנַעֲנִ֔י,כְּנַעֲנִי,Canaanite,canaanita
127503,Jue,1,3,וְ,וְ,and,y
127504,Jue,1,3,הָלַכְתִּ֧י,הלך,walk,caminar
127505,Jue,1,3,גַם־,גַּם,even,incluso
127506,Jue,1,3,אֲנִ֛י,אֲנִי,i,yo
127507,Jue,1,3,אִתְּךָ֖,אֵת,together with,Juntos con
127508,Jue,1,3,בְּ,בְּ,in,en
127509,Jue,1,3,גֹורָלֶ֑ךָ,גֹּורָל,lot,mucho
127510,Jue,1,3,וַ,וְ,and,y
127511,Jue,1,3,יֵּ֥לֶךְ,הלך,walk,caminar
127512,Jue,1,3,אִתֹּ֖ו,אֵת,together with,Juntos con
127513,Jue,1,3,שִׁמְעֹֽון׃,שִׁמְעֹון,Simeon,Simeón
127514,Jue,1,4,וַ,וְ,and,y
127515,Jue,1,4,יַּ֣עַל,עלה,ascend,ascender
127516,Jue,1,4,יְהוּדָ֔ה,יְהוּדָה,Judah,Judá
127517,Jue,1,4,וַ,וְ,and,y
127518,Jue,1,4,יִּתֵּ֧ן,נתן,give,dar
