word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
141536,1Sa,1,1,וַ,וְ,and,y
141537,1Sa,1,1,יְהִי֩,היה,be,ser
141538,1Sa,1,1,אִ֨ישׁ,אִישׁ,man,hombre
141539,1Sa,1,1,אֶחָ֜ד,אֶחָד,one,uno
141540,1Sa,1,1,מִן־,מִן,from,de
141541,1Sa,1,1,הָ,הַ,the,el
141542,1Sa,1,1,רָמָתַ֛יִם,רָמָה,high place,lugar alto
141543,1Sa,1,1,צֹופִ֖ים,צפה,look out,Estar atento
141544,1Sa,1,1,מֵ,מִן,from,de
141545,1Sa,1,1,הַ֣ר,הַר,mountain,montaña
141546,1Sa,1,1,אֶפְרָ֑יִם,אֶפְרַיִם,Ephraim,Ephraim
141547,1Sa,1,1,וּ,וְ,and,y
141548,1Sa,1,1,שְׁמֹ֡ו,שֵׁם,name,nombre
141549,1Sa,1,1,אֶ֠לְקָנָה,אֶלְקָנָה,Elkanah,Elcana
141550,1Sa,1,1,בֶּן־,בֵּן,son,hijo
141551,1Sa,1,1,יְרֹחָ֧ם,יְרֹחָם,Jeroham,Jerojam
141552,1Sa,1,1,בֶּן־,בֵּן,son,hijo
141553,1Sa,1,1,אֱלִיה֛וּא,אֱלִיהוּא,Elihu,Eliú
141554,1Sa,1,1,בֶּן־,בֵּן,son,hijo
141555,1Sa,1,1,תֹּ֥חוּ,תֹּחוּ,Tohu,Thohu
141556,1Sa,1,1,בֶן־,בֵּן,son,hijo
141557,1Sa,1,1,צ֖וּף,צוּף,Zuph,Suph
141558,1Sa,1,1,אֶפְרָתִֽי׃,אֶפְרָתִי,Ephrathite,Ephrateo
141559,1Sa,1,2,וְ,וְ,and,y
141560,1Sa,1,2,לֹו֙,לְ,to,a
141561,1Sa,1,2,שְׁתֵּ֣י,שְׁנַיִם,two,dos
141562,1Sa,1,2,נָשִׁ֔ים,אִשָּׁה,woman,mujer
141563,1Sa,1,2,שֵׁ֤ם,שֵׁם,name,nombre
141564,1Sa,1,2,אַחַת֙,אֶחָד,one,uno
141565,1Sa,1,2,חַנָּ֔ה,חַנָּה,Hannah,Hannah
141566,1Sa,1,2,וְ,וְ,and,y
141567,1Sa,1,2,שֵׁ֥ם,שֵׁם,name,nombre
141568,1Sa,1,2,הַ,הַ,the,el
141569,1Sa,1,2,שֵּׁנִ֖ית,שֵׁנִי,second,segundo
141570,1Sa,1,2,פְּנִנָּ֑ה,פְּנִנָּה,Peninnah,Penina
141571,1Sa,1,2,וַ,וְ,and,y
141572,1Sa,1,2,יְהִ֤י,היה,be,ser
141573,1Sa,1,2,לִ,לְ,to,a
141574,1Sa,1,2,פְנִנָּה֙,פְּנִנָּה,Peninnah,Penina
141575,1Sa,1,2,יְלָדִ֔ים,יֶלֶד,boy,chico
141576,1Sa,1,2,וּ,וְ,and,y
141577,1Sa,1,2,לְ,לְ,to,a
141578,1Sa,1,2,חַנָּ֖ה,חַנָּה,Hannah,Hannah
141579,1Sa,1,2,אֵ֥ין,אַיִן,[NEG],[NEG]
141580,1Sa,1,2,יְלָדִֽים׃,יֶלֶד,boy,chico
141581,1Sa,1,3,וְ,וְ,and,y
141582,1Sa,1,3,עָלָה֩,עלה,ascend,ascender
141583,1Sa,1,3,הָ,הַ,the,el
141584,1Sa,1,3,אִ֨ישׁ,אִישׁ,man,hombre
141585,1Sa,1,3,הַ,הַ,the,el
141586,1Sa,1,3,ה֤וּא,הוּא,he,él
141587,1Sa,1,3,מֵֽ,מִן,from,de
141588,1Sa,1,3,עִירֹו֙,עִיר,town,pueblo
141589,1Sa,1,3,מִ,מִן,from,de
141590,1Sa,1,3,יָּמִ֣ים׀,יֹום,day,día
141591,1Sa,1,3,יָמִ֔ימָה,יֹום,day,día
141592,1Sa,1,3,לְ,לְ,to,a
141593,1Sa,1,3,הִֽשְׁתַּחֲוֹ֧ת,חוה,bow down,reverencia
141594,1Sa,1,3,וְ,וְ,and,y
141595,1Sa,1,3,לִ,לְ,to,a
141596,1Sa,1,3,זְבֹּ֛חַ,זבח,slaughter,sacrificio
141597,1Sa,1,3,לַ,לְ,to,a
141598,1Sa,1,3,יהוָ֥ה,יְהוָה,YHWH,YHWH
141599,1Sa,1,3,צְבָאֹ֖ות,צָבָא,service,Servicio
141600,1Sa,1,3,בְּ,בְּ,in,en
141601,1Sa,1,3,שִׁלֹ֑ה,שִׁלֹה,Shiloh,Shiloh
141602,1Sa,1,3,וְ,וְ,and,y
141603,1Sa,1,3,שָׁ֞ם,שָׁם,there,ahí
141604,1Sa,1,3,שְׁנֵ֣י,שְׁנַיִם,two,dos
141605,1Sa,1,3,בְנֵֽי־,בֵּן,son,hijo
141606,1Sa,1,3,עֵלִ֗י,עֵלִי,Eli,Eli
141607,1Sa,1,3,חָפְנִי֙,חָפְנִי,Hophni,Ophni
141608,1Sa,1,3,וּ,וְ,and,y
141609,1Sa,1,3,פִ֣נְחָ֔ס,פִּינְחָס,Phinehas,Finees
141610,1Sa,1,3,כֹּהֲנִ֖ים,כֹּהֵן,priest,sacerdote
141611,1Sa,1,3,לַ,לְ,to,a
141612,1Sa,1,3,יהוָֽה׃,יְהוָה,YHWH,YHWH
141613,1Sa,1,4,וַ,וְ,and,y
141614,1Sa,1,4,יְהִ֣י,היה,be,ser
