word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
160465,2Sa,1,1,וַ,וְ,and,y
160466,2Sa,1,1,יְהִ֗י,היה,be,ser
160467,2Sa,1,1,אַֽחֲרֵי֙,אַחַר,after,después
160468,2Sa,1,1,מֹ֣ות,מָוֶת,death,muerte
160469,2Sa,1,1,שָׁא֔וּל,שָׁאוּל,Saul,Saul
160470,2Sa,1,1,וְ,וְ,and,y
160471,2Sa,1,1,דָוִ֣ד,דָּוִד,David,David
160472,2Sa,1,1,שָׁ֔ב,שׁוב,return,regreso
160473,2Sa,1,1,מֵ,מִן,from,de
160474,2Sa,1,1,הַכֹּ֖ות,נכה,strike,Huelga
160475,2Sa,1,1,אֶת־,אֵת,[object marker],[Marcador de objeto]
160476,2Sa,1,1,הָ,הַ,the,el
160477,2Sa,1,1,עֲמָלֵ֑ק,עֲמָלֵק,Amalek,Amalec
160478,2Sa,1,1,וַ,וְ,and,y
160479,2Sa,1,1,יֵּ֧שֶׁב,ישׁב,sit,sentar
160480,2Sa,1,1,דָּוִ֛ד,דָּוִד,David,David
160481,2Sa,1,1,בְּ,בְּ,in,en
160482,2Sa,1,1,צִקְלָ֖ג,צִקְלַג,Ziklag,Siquelag
160483,2Sa,1,1,יָמִ֥ים,יֹום,day,día
160484,2Sa,1,1,שְׁנָֽיִם׃,שְׁנַיִם,two,dos
160485,2Sa,1,2,וַ,וְ,and,y
160486,2Sa,1,2,יְהִ֣י׀,היה,be,ser
160487,2Sa,1,2,בַּ,בְּ,in,en
160488,2Sa,1,2,,הַ,the,el
160489,2Sa,1,2,יֹּ֣ום,יֹום,day,día
160490,2Sa,1,2,הַ,הַ,the,el
160491,2Sa,1,2,שְּׁלִישִׁ֗י,שְׁלִישִׁי,third,tercero
160492,2Sa,1,2,וְ,וְ,and,y
160493,2Sa,1,2,הִנֵּה֩,הִנֵּה,behold,Mirad
160494,2Sa,1,2,אִ֨ישׁ,אִישׁ,man,hombre
160495,2Sa,1,2,בָּ֤א,בוא,come,ven
160496,2Sa,1,2,מִן־,מִן,from,de
160497,2Sa,1,2,הַֽ,הַ,the,el
160498,2Sa,1,2,מַּחֲנֶה֙,מַחֲנֶה,camp,acampar
160499,2Sa,1,2,מֵ,מִן,from,de
160500,2Sa,1,2,עִ֣ם,עִם,with,con
160501,2Sa,1,2,שָׁא֔וּל,שָׁאוּל,Saul,Saul
160502,2Sa,1,2,וּ,וְ,and,y
160503,2Sa,1,2,בְגָדָ֣יו,בֶּגֶד,garment,prenda
160504,2Sa,1,2,קְרֻעִ֔ים,קרע,tear,lágrima
160505,2Sa,1,2,וַ,וְ,and,y
160506,2Sa,1,2,אֲדָמָ֖ה,אֲדָמָה,soil,suelo
160507,2Sa,1,2,עַל־,עַל,upon,sobre
160508,2Sa,1,2,רֹאשֹׁ֑ו,רֹאשׁ,head,cabeza
160509,2Sa,1,2,וַ,וְ,and,y
160510,2Sa,1,2,יְהִי֙,היה,be,ser
160511,2Sa,1,2,בְּ,בְּ,in,en
160512,2Sa,1,2,בֹאֹ֣ו,בוא,come,ven
160513,2Sa,1,2,אֶל־,אֶל,to,a
160514,2Sa,1,2,דָּוִ֔ד,דָּוִד,David,David
160515,2Sa,1,2,וַ,וְ,and,y
160516,2Sa,1,2,יִּפֹּ֥ל,נפל,fall,otoño
160517,2Sa,1,2,אַ֖רְצָה,אֶרֶץ,earth,tierra
160518,2Sa,1,2,וַ,וְ,and,y
160519,2Sa,1,2,יִּשְׁתָּֽחוּ׃,חוה,bow down,reverencia
160520,2Sa,1,3,וַ,וְ,and,y
160521,2Sa,1,3,יֹּ֤אמֶר,אמר,say,decir
160522,2Sa,1,3,לֹו֙,לְ,to,a
160523,2Sa,1,3,דָּוִ֔ד,דָּוִד,David,David
160524,2Sa,1,3,אֵ֥י,אֵי,where,dónde
160525,2Sa,1,3,מִ,מִן,from,de
160526,2Sa,1,3,זֶּ֖ה,זֶה,this,esta
160527,2Sa,1,3,תָּבֹ֑וא,בוא,come,ven
160528,2Sa,1,3,וַ,וְ,and,y
160529,2Sa,1,3,יֹּ֣אמֶר,אמר,say,decir
160530,2Sa,1,3,אֵלָ֔יו,אֶל,to,a
160531,2Sa,1,3,מִ,מִן,from,de
160532,2Sa,1,3,מַּחֲנֵ֥ה,מַחֲנֶה,camp,acampar
160533,2Sa,1,3,יִשְׂרָאֵ֖ל,יִשְׂרָאֵל,Israel,Israel
160534,2Sa,1,3,נִמְלָֽטְתִּי׃,מלט,escape,escapar
160535,2Sa,1,4,וַ,וְ,and,y
160536,2Sa,1,4,יֹּ֨אמֶר,אמר,say,decir
160537,2Sa,1,4,אֵלָ֥יו,אֶל,to,a
160538,2Sa,1,4,דָּוִ֛ד,דָּוִד,David,David
160539,2Sa,1,4,מֶה־,מָה,what,qué
