word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
194762,2Re,1,1,וַ,וְ,and,y
194763,2Re,1,1,יִּפְשַׁ֤ע,פשׁע,rebel,rebelde
194764,2Re,1,1,מֹואָב֙,מֹואָב,Moab,Moab
194765,2Re,1,1,בְּ,בְּ,in,en
194766,2Re,1,1,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,Israel,Israel
194767,2Re,1,1,אַחֲרֵ֖י,אַחַר,after,después
194768,2Re,1,1,מֹ֥ות,מָוֶת,death,muerte
194769,2Re,1,1,אַחְאָֽב׃,אַחְאָב,Ahab,Acab
194770,2Re,1,2,וַ,וְ,and,y
194771,2Re,1,2,יִּפֹּ֨ל,נפל,fall,otoño
194772,2Re,1,2,אֲחַזְיָ֜ה,אֲחַזְיָה,Ahaziah,Ocozías
194773,2Re,1,2,בְּעַ֣ד,בַּעַד,distance,distancia
194774,2Re,1,2,הַ,הַ,the,el
194775,2Re,1,2,שְּׂבָכָ֗ה,שְׂבָכָה,net,red
194776,2Re,1,2,בַּ,בְּ,in,en
194777,2Re,1,2,עֲלִיָּתֹ֛ו,עֲלִיָּה,upper room,habitacion superior
194778,2Re,1,2,אֲשֶׁ֥ר,אֲשֶׁר,[relative],[relativo]
194779,2Re,1,2,בְּ,בְּ,in,en
194780,2Re,1,2,שֹׁמְרֹ֖ון,שֹׁמְרֹון,Samaria,samaria
194781,2Re,1,2,וַ,וְ,and,y
194782,2Re,1,2,יָּ֑חַל,חלה,become weak,debilitarse
194783,2Re,1,2,וַ,וְ,and,y
194784,2Re,1,2,יִּשְׁלַ֣ח,שׁלח,send,enviar
194785,2Re,1,2,מַלְאָכִ֔ים,מַלְאָךְ,messenger,Mensajero
194786,2Re,1,2,וַ,וְ,and,y
194787,2Re,1,2,יֹּ֤אמֶר,אמר,say,decir
194788,2Re,1,2,אֲלֵהֶם֙,אֶל,to,a
194789,2Re,1,2,לְכ֣וּ,הלך,walk,caminar
194790,2Re,1,2,דִרְשׁ֗וּ,דרשׁ,inquire,preguntar
194791,2Re,1,2,בְּ,בְּ,in,en
194792,2Re,1,2,בַ֤עַל,בַּעַל,lord,señor
194793,2Re,1,2,זְבוּב֙,זְבוּב,fly,mosca
194794,2Re,1,2,אֱלֹהֵ֣י,אֱלֹהִים,god(s),gallinero)
194795,2Re,1,2,עֶקְרֹ֔ון,עֶקְרֹון,Ekron,Ecrón
194796,2Re,1,2,אִם־,אִם,if,Si
194797,2Re,1,2,אֶחְיֶ֖ה,חיה,be alive,estar vivo
194798,2Re,1,2,מֵ,מִן,from,de
194799,2Re,1,2,חֳלִ֥י,חֳלִי,sickness,enfermedad
194800,2Re,1,2,זֶֽה׃ ס,זֶה,this,esta
194801,2Re,1,3,וּ,וְ,and,y
194802,2Re,1,3,מַלְאַ֣ךְ,מַלְאָךְ,messenger,Mensajero
194803,2Re,1,3,יְהוָ֗ה,יְהוָה,YHWH,YHWH
194804,2Re,1,3,דִּבֶּר֙,דבר,speak,hablar
194805,2Re,1,3,אֶל־,אֶל,to,a
194806,2Re,1,3,אֵלִיָּ֣ה,אֵלִיָּה,Elijah,Elías
194807,2Re,1,3,הַ,הַ,the,el
194808,2Re,1,3,תִּשְׁבִּ֔י,תִּשְׁבִּי,Tishbite,tisbita
194809,2Re,1,3,ק֣וּם,קום,arise,surgir
194810,2Re,1,3,עֲלֵ֔ה,עלה,ascend,ascender
194811,2Re,1,3,לִ,לְ,to,a
194812,2Re,1,3,קְרַ֖את,קרא,encounter,encuentro
194813,2Re,1,3,מַלְאֲכֵ֣י,מַלְאָךְ,messenger,Mensajero
194814,2Re,1,3,מֶֽלֶךְ־,מֶלֶךְ,king,Rey
194815,2Re,1,3,שֹׁמְרֹ֑ון,שֹׁמְרֹון,Samaria,samaria
194816,2Re,1,3,וְ,וְ,and,y
194817,2Re,1,3,דַבֵּ֣ר,דבר,speak,hablar
194818,2Re,1,3,אֲלֵהֶ֔ם,אֶל,to,a
194819,2Re,1,3,הַֽ,הֲ,[interrogativo],[Interrogativo]
194820,2Re,1,3,מִ,מִן,from,de
194821,2Re,1,3,בְּלִ֤י,בְּלִי,destruction,destrucción
194822,2Re,1,3,אֵין־,אַיִן,[NEG],[NEG]
194823,2Re,1,3,אֱלֹהִים֙,אֱלֹהִים,god(s),gallinero)
194824,2Re,1,3,בְּ,בְּ,in,en
194825,2Re,1,3,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,Israel,Israel
194826,2Re,1,3,אַתֶּם֙,אַתֶּם,you,tú
194827,2Re,1,3,הֹֽלְכִ֔ים,הלך,walk,caminar
194828,2Re,1,3,לִ,לְ,to,a
194829,2Re,1,3,דְרֹ֕שׁ,דרשׁ,inquire,preguntar
194830,2Re,1,3,בְּ,בְּ,in,en
194831,2Re,1,3,בַ֥עַל,בַּעַל,lord,señor
194832,2Re,1,3,זְב֖וּב,זְבוּב,fly,mosca
194833,2Re,1,3,אֱלֹהֵ֥י,אֱלֹהִים,god(s),gallinero)
194834,2Re,1,3,עֶקְרֹֽון׃,עֶקְרֹון,Ekron,Ecrón
194835,2Re,1,4,וְ,וְ,and,y
194836,2Re,1,4,לָכֵן֙,לָכֵן,therefore,por lo tanto
194837,2Re,1,4,כֹּֽה־,כֹּה,thus,así
