word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
378146,Esd,1,1,וּ,וְ,and,y
378147,Esd,1,1,בִ,בְּ,in,en
378148,Esd,1,1,שְׁנַ֣ת,שָׁנָה,year,año
378149,Esd,1,1,אַחַ֗ת,אֶחָד,one,uno
378150,Esd,1,1,לְ,לְ,to,a
378151,Esd,1,1,כֹ֨ורֶשׁ֙,כֹּורֶשׁ,Cyrus,Ciro
378152,Esd,1,1,מֶ֣לֶךְ,מֶלֶךְ,king,Rey
378153,Esd,1,1,פָּרַ֔ס,פָּרַס,Persia,Persia
378154,Esd,1,1,לִ,לְ,to,a
378155,Esd,1,1,כְלֹ֥ות,כלה,be complete,ser completa
378156,Esd,1,1,דְּבַר־,דָּבָר,word,palabra
378157,Esd,1,1,יְהוָ֖ה,יְהוָה,YHWH,YHWH
378158,Esd,1,1,מִ,מִן,from,de
378159,Esd,1,1,פִּ֣י,פֶּה,mouth,boca
378160,Esd,1,1,יִרְמְיָ֑ה,יִרְמְיָה,Jeremiah,Jeremías
378161,Esd,1,1,הֵעִ֣יר,עור,be awake,Estar despierto
378162,Esd,1,1,יְהוָ֗ה,יְהוָה,YHWH,YHWH
378163,Esd,1,1,אֶת־,אֵת,[object marker],[Marcador de objeto]
378164,Esd,1,1,ר֨וּחַ֙,רוּחַ,wind,viento
378165,Esd,1,1,כֹּ֣רֶשׁ,כֹּורֶשׁ,Cyrus,Ciro
378166,Esd,1,1,מֶֽלֶךְ־,מֶלֶךְ,king,Rey
378167,Esd,1,1,פָּרַ֔ס,פָּרַס,Persia,Persia
378168,Esd,1,1,וַ,וְ,and,y
378169,Esd,1,1,יַּֽעֲבֶר־,עבר,pass,pasar
378170,Esd,1,1,קֹול֙,קֹול,sound,sonar
378171,Esd,1,1,בְּ,בְּ,in,en
378172,Esd,1,1,כָל־,כֹּל,whole,todo
378173,Esd,1,1,מַלְכוּתֹ֔ו,מַלְכוּת,kingship,monarquía
378174,Esd,1,1,וְ,וְ,and,y
378175,Esd,1,1,גַם־,גַּם,even,incluso
378176,Esd,1,1,בְּ,בְּ,in,en
378177,Esd,1,1,מִכְתָּ֖ב,מִכְתָּב,writing,escritura
378178,Esd,1,1,לֵ,לְ,to,a
378179,Esd,1,1,אמֹֽר׃,אמר,say,decir
378180,Esd,1,2,כֹּ֣ה,כֹּה,thus,así
378181,Esd,1,2,אָמַ֗ר,אמר,say,decir
378182,Esd,1,2,כֹּ֚רֶשׁ,כֹּורֶשׁ,Cyrus,Ciro
378183,Esd,1,2,מֶ֣לֶךְ,מֶלֶךְ,king,Rey
378184,Esd,1,2,פָּרַ֔ס,פָּרַס,Persia,Persia
378185,Esd,1,2,כֹּ֚ל,כֹּל,whole,todo
378186,Esd,1,2,מַמְלְכֹ֣ות,מַמְלָכָה,kingdom,Reino
378187,Esd,1,2,הָ,הַ,the,el
378188,Esd,1,2,אָ֔רֶץ,אֶרֶץ,earth,tierra
378189,Esd,1,2,נָ֣תַן,נתן,give,dar
378190,Esd,1,2,לִ֔י,לְ,to,a
378191,Esd,1,2,יְהוָ֖ה,יְהוָה,YHWH,YHWH
378192,Esd,1,2,אֱלֹהֵ֣י,אֱלֹהִים,god(s),gallinero)
378193,Esd,1,2,הַ,הַ,the,el
378194,Esd,1,2,שָּׁמָ֑יִם,שָׁמַיִם,heavens,Cielos
378195,Esd,1,2,וְ,וְ,and,y
378196,Esd,1,2,הֽוּא־,הוּא,he,él
378197,Esd,1,2,פָקַ֤ד,פקד,miss,perder
378198,Esd,1,2,עָלַי֙,עַל,upon,sobre
378199,Esd,1,2,לִ,לְ,to,a
378200,Esd,1,2,בְנֹֽות־,בנה,build,construir
378201,Esd,1,2,לֹ֣ו,לְ,to,a
378202,Esd,1,2,בַ֔יִת,בַּיִת,house,casa
378203,Esd,1,2,בִּ,בְּ,in,en
378204,Esd,1,2,ירוּשָׁלִַ֖ם,יְרוּשָׁלִַם,Jerusalem,Jerusalén
378205,Esd,1,2,אֲשֶׁ֥ר,אֲשֶׁר,[relative],[relativo]
378206,Esd,1,2,בִּֽ,בְּ,in,en
378207,Esd,1,2,יהוּדָֽה׃,יְהוּדָה,Judah,Judá
378208,Esd,1,3,מִֽי־,מִי,who,quien
378209,Esd,1,3,בָכֶ֣ם,בְּ,in,en
378210,Esd,1,3,מִ,מִן,from,de
378211,Esd,1,3,כָּל־,כֹּל,whole,todo
378212,Esd,1,3,עַמֹּ֗ו,עַם,people,gente
378213,Esd,1,3,יְהִ֤י,היה,be,ser
378214,Esd,1,3,אֱלֹהָיו֙,אֱלֹהִים,god(s),gallinero)
378215,Esd,1,3,עִמֹּ֔ו,עִם,with,con
378216,Esd,1,3,וְ,וְ,and,y
378217,Esd,1,3,יַ֕עַל,עלה,ascend,ascender
378218,Esd,1,3,לִ,לְ,to,a
378219,Esd,1,3,ירוּשָׁלִַ֖ם,יְרוּשָׁלִַם,Jerusalem,Jerusalén
378220,Esd,1,3,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
378221,Esd,1,3,בִּ,בְּ,in,en
378222,Esd,1,3,יהוּדָ֑ה,יְהוּדָה,Judah,Judá
378223,Esd,1,3,וְ,וְ,and,y
378224,Esd,1,3,יִ֗בֶן,בנה,build,construir
378225,Esd,1,3,אֶת־,אֵת,[object marker],[Marcador de objeto]
378226,Esd,1,3,בֵּ֤ית,בַּיִת,house,casa
378227,Esd,1,3,יְהוָה֙,יְהוָה,YHWH,YHWH
378228,Esd,1,3,אֱלֹהֵ֣י,אֱלֹהִים,god(s),gallinero)
378229,Esd,1,3,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,Israel,Israel
378230,Esd,1,3,ה֥וּא,הוּא,he,él
378231,Esd,1,3,הָ,הַ,the,el
378232,Esd,1,3,אֱלֹהִ֖ים,אֱלֹהִים,god(s),gallinero)
378233,Esd,1,3,אֲשֶׁ֥ר,אֲשֶׁר,[relative],[relativo]
378234,Esd,1,3,בִּ,בְּ,in,en
378235,Esd,1,3,ירוּשָׁלִָֽם׃,יְרוּשָׁלִַם,Jerusalem,Jerusalén
378236,Esd,1,4,וְ,וְ,and,y
378237,Esd,1,4,כָל־,כֹּל,whole,todo
378238,Esd,1,4,הַ,הַ,the,el
378239,Esd,1,4,נִּשְׁאָ֗ר,שׁאר,remain,permanecer
378240,Esd,1,4,מִֽ,מִן,from,de
378241,Esd,1,4,כָּל־,כֹּל,whole,todo
378242,Esd,1,4,הַ,הַ,the,el
378243,Esd,1,4,מְּקֹמֹות֮,מָקֹום,place,lugar
378244,Esd,1,4,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
378245,Esd,1,4,ה֣וּא,הוּא,he,él
378246,Esd,1,4,גָֽר־,גור,dwell,habitar
378247,Esd,1,4,שָׁם֒,שָׁם,there,ahí
378248,Esd,1,4,יְנַשְּׂא֨וּהוּ֙,נשׂא,lift,ascensor
378249,Esd,1,4,אַנְשֵׁ֣י,אִישׁ,man,hombre
378250,Esd,1,4,מְקֹמֹ֔ו,מָקֹום,place,lugar
378251,Esd,1,4,בְּ,בְּ,in,en
378252,Esd,1,4,כֶ֥סֶף,כֶּסֶף,silver,plata
378253,Esd,1,4,וּ,וְ,and,y
378254,Esd,1,4,בְ,בְּ,in,en
378255,Esd,1,4,זָהָ֖ב,זָהָב,gold,oro
378256,Esd,1,4,וּ,וְ,and,y
378257,Esd,1,4,בִ,בְּ,in,en
378258,Esd,1,4,רְכ֣וּשׁ,רְכוּשׁ,propioty,propioty
378259,Esd,1,4,וּ,וְ,and,y
378260,Esd,1,4,בִ,בְּ,in,en
378261,Esd,1,4,בְהֵמָ֑ה,בְּהֵמָה,cattle,ganado
378262,Esd,1,4,עִם־,עִם,with,con
378263,Esd,1,4,הַ֨,הַ,the,el
378264,Esd,1,4,נְּדָבָ֔ה,נְדָבָה,free will,Libre albedrío
378265,Esd,1,4,לְ,לְ,to,a
378266,Esd,1,4,בֵ֥ית,בַּיִת,house,casa
378267,Esd,1,4,הָ,הַ,the,el
378268,Esd,1,4,אֱלֹהִ֖ים,אֱלֹהִים,god(s),gallinero)
378269,Esd,1,4,אֲשֶׁ֥ר,אֲשֶׁר,[relative],[relativo]
378270,Esd,1,4,בִּ,בְּ,in,en
378271,Esd,1,4,ירוּשָׁלִָֽם׃,יְרוּשָׁלִַם,Jerusalem,Jerusalén
378272,Esd,1,5,וַ,וְ,and,y
378273,Esd,1,5,יָּק֜וּמוּ,קום,arise,surgir
378274,Esd,1,5,רָאשֵׁ֣י,רֹאשׁ,head,cabeza
378275,Esd,1,5,הָ,הַ,the,el
378276,Esd,1,5,אָבֹ֗ות,אָב,father,padre
378277,Esd,1,5,לִֽ,לְ,to,a
378278,Esd,1,5,יהוּדָה֙,יְהוּדָה,Judah,Judá
378279,Esd,1,5,וּ,וְ,and,y
378280,Esd,1,5,בִנְיָמִ֔ן,בִּנְיָמִן,Benjamin,Benjamín
378281,Esd,1,5,וְ,וְ,and,y
378282,Esd,1,5,הַ,הַ,the,el
378283,Esd,1,5,כֹּהֲנִ֖ים,כֹּהֵן,priest,sacerdote
378284,Esd,1,5,וְ,וְ,and,y
378285,Esd,1,5,הַ,הַ,the,el
378286,Esd,1,5,לְוִיִּ֑ם,לֵוִי,Levite,levita
378287,Esd,1,5,לְ,לְ,to,a
378288,Esd,1,5,כֹ֨ל,כֹּל,whole,todo
378289,Esd,1,5,הֵעִ֤יר,עור,be awake,Estar despierto
378290,Esd,1,5,הָ,הַ,the,el
378291,Esd,1,5,אֱלֹהִים֙,אֱלֹהִים,god(s),gallinero)
378292,Esd,1,5,אֶת־,אֵת,[object marker],[Marcador de objeto]
378293,Esd,1,5,רוּחֹ֔ו,רוּחַ,wind,viento
378294,Esd,1,5,לַ,לְ,to,a
378295,Esd,1,5,עֲלֹ֣ות,עלה,ascend,ascender
378296,Esd,1,5,לִ,לְ,to,a
378297,Esd,1,5,בְנֹ֔ות,בנה,build,construir
378298,Esd,1,5,אֶת־,אֵת,[object marker],[Marcador de objeto]
378299,Esd,1,5,בֵּ֥ית,בַּיִת,house,casa
378300,Esd,1,5,יְהוָ֖ה,יְהוָה,YHWH,YHWH
378301,Esd,1,5,אֲשֶׁ֥ר,אֲשֶׁר,[relative],[relativo]
378302,Esd,1,5,בִּ,בְּ,in,en
378303,Esd,1,5,ירוּשָׁלִָֽם׃,יְרוּשָׁלִַם,Jerusalem,Jerusalén
378304,Esd,1,6,וְ,וְ,and,y
378305,Esd,1,6,כָל־,כֹּל,whole,todo
378306,Esd,1,6,סְבִיבֹֽתֵיהֶם֙,סָבִיב,surrounding,rodeando
378307,Esd,1,6,חִזְּק֣וּ,חזק,be strong,sé fuerte
378308,Esd,1,6,בִֽ,בְּ,in,en
378309,Esd,1,6,ידֵיהֶ֔ם,יָד,hand,mano
378310,Esd,1,6,בִּ,בְּ,in,en
378311,Esd,1,6,כְלֵי־,כְּלִי,tool,herramienta
378312,Esd,1,6,כֶ֧סֶף,כֶּסֶף,silver,plata
378313,Esd,1,6,בַּ,בְּ,in,en
378314,Esd,1,6,,הַ,the,el
378315,Esd,1,6,זָּהָ֛ב,זָהָב,gold,oro
378316,Esd,1,6,בָּ,בְּ,in,en
378317,Esd,1,6,,הַ,the,el
378318,Esd,1,6,רְכ֥וּשׁ,רְכוּשׁ,propioty,propioty
378319,Esd,1,6,וּ,וְ,and,y
378320,Esd,1,6,בַ,בְּ,in,en
378321,Esd,1,6,,הַ,the,el
378322,Esd,1,6,בְּהֵמָ֖ה,בְּהֵמָה,cattle,ganado
378323,Esd,1,6,וּ,וְ,and,y
378324,Esd,1,6,בַ,בְּ,in,en
378325,Esd,1,6,,הַ,the,el
378326,Esd,1,6,מִּגְדָּנֹ֑ות,מִגְדָּנֹות,presents,regalos
378327,Esd,1,6,לְ,לְ,to,a
378328,Esd,1,6,בַ֖ד,בַּד,linen,lino
378329,Esd,1,6,עַל־,עַל,upon,sobre
378330,Esd,1,6,כָּל־,כֹּל,whole,todo
378331,Esd,1,6,הִתְנַדֵּֽב׃ ס,נדב,incite,incitar
378332,Esd,1,7,וְ,וְ,and,y
378333,Esd,1,7,הַ,הַ,the,el
378334,Esd,1,7,מֶּ֣לֶךְ,מֶלֶךְ,king,Rey
378335,Esd,1,7,כֹּ֔ורֶשׁ,כֹּורֶשׁ,Cyrus,Ciro
378336,Esd,1,7,הֹוצִ֖יא,יצא,go out,fuera
378337,Esd,1,7,אֶת־,אֵת,[object marker],[Marcador de objeto]
378338,Esd,1,7,כְּלֵ֣י,כְּלִי,tool,herramienta
378339,Esd,1,7,בֵית־,בַּיִת,house,casa
378340,Esd,1,7,יְהוָ֑ה,יְהוָה,YHWH,YHWH
378341,Esd,1,7,אֲשֶׁ֨ר,אֲשֶׁר,[relative],[relativo]
378342,Esd,1,7,הֹוצִ֤יא,יצא,go out,fuera
378343,Esd,1,7,נְבֽוּכַדְנֶצַּר֙,נְבוּכַדְנֶאצַּר,Nebuchadnezzar,Nabucodonosor
378344,Esd,1,7,מִ,מִן,from,de
378345,Esd,1,7,יר֣וּשָׁלִַ֔ם,יְרוּשָׁלִַם,Jerusalem,Jerusalén
378346,Esd,1,7,וַֽ,וְ,and,y
378347,Esd,1,7,יִּתְּנֵ֖ם,נתן,give,dar
378348,Esd,1,7,בְּ,בְּ,in,en
378349,Esd,1,7,בֵ֥ית,בַּיִת,house,casa
378350,Esd,1,7,אֱלֹהָֽיו׃,אֱלֹהִים,god(s),gallinero)
378351,Esd,1,8,וַ,וְ,and,y
378352,Esd,1,8,יֹּֽוצִיאֵ֗ם,יצא,go out,fuera
378353,Esd,1,8,כֹּ֚ורֶשׁ,כֹּורֶשׁ,Cyrus,Ciro
378354,Esd,1,8,מֶ֣לֶךְ,מֶלֶךְ,king,Rey
378355,Esd,1,8,פָּרַ֔ס,פָּרַס,Persia,Persia
378356,Esd,1,8,עַל־,עַל,upon,sobre
378357,Esd,1,8,יַ֖ד,יָד,hand,mano
378358,Esd,1,8,מִתְרְדָ֣ת,מִתְרְדָת,Mithredath,Mitrídates
378359,Esd,1,8,הַ,הַ,the,el
378360,Esd,1,8,גִּזְבָּ֑ר,גִּזְבָּר,treasurer,tesorero
378361,Esd,1,8,וַֽ,וְ,and,y
378362,Esd,1,8,יִּסְפְּרֵם֙,ספר,count,contar
378363,Esd,1,8,לְ,לְ,to,a
378364,Esd,1,8,שֵׁשְׁבַּצַּ֔ר,שֵׁשְׁבַּצַּר,Sheshbazzar,Sesbassar
378365,Esd,1,8,הַ,הַ,the,el
378366,Esd,1,8,נָּשִׂ֖יא,נָשִׂיא,chief,jefe
378367,Esd,1,8,לִ,לְ,to,a
378368,Esd,1,8,יהוּדָֽה׃,יְהוּדָה,Judah,Judá
378369,Esd,1,9,וְ,וְ,and,y
378370,Esd,1,9,אֵ֖לֶּה,אֵלֶּה,these,estas
378371,Esd,1,9,מִסְפָּרָ֑ם,מִסְפָּר,number,número
378372,Esd,1,9,אֲגַרְטְלֵ֨י,אֲגַרְטָל,basket,cesta
378373,Esd,1,9,זָהָ֜ב,זָהָב,gold,oro
378374,Esd,1,9,שְׁלֹשִׁ֗ים,שָׁלֹשׁ,three,Tres
378375,Esd,1,9,אֲגַרְטְלֵי־,אֲגַרְטָל,basket,cesta
378376,Esd,1,9,כֶ֨סֶף֙,כֶּסֶף,silver,plata
378377,Esd,1,9,אָ֔לֶף,אֶלֶף,thousand,mil
378378,Esd,1,9,מַחֲלָפִ֖ים,מַחֲלָף,disease,enfermedad
378379,Esd,1,9,תִּשְׁעָ֥ה,תֵּשַׁע,nine,nueve
378380,Esd,1,9,וְ,וְ,and,y
378381,Esd,1,9,עֶשְׂרִֽים׃ ס,עֶשְׂרִים,twenty,veinte
378382,Esd,1,10,כְּפֹורֵ֤י,כְּפֹור,bowl,cuenco
378383,Esd,1,10,זָהָב֙,זָהָב,gold,oro
378384,Esd,1,10,שְׁלֹשִׁ֔ים,שָׁלֹשׁ,three,Tres
378385,Esd,1,10,כְּפֹ֤ורֵי,כְּפֹור,bowl,cuenco
378386,Esd,1,10,כֶ֨סֶף֙,כֶּסֶף,silver,plata
378387,Esd,1,10,מִשְׁנִ֔ים,מִשְׁנֶה,second,segundo
378388,Esd,1,10,אַרְבַּ֥ע,אַרְבַּע,four,las cuatro
378389,Esd,1,10,מֵאֹ֖ות,מֵאָה,hundred,cien
378390,Esd,1,10,וַ,וְ,and,y
378391,Esd,1,10,עֲשָׂרָ֑ה,עֲשָׂרָה,ten,diez
378392,Esd,1,10,כֵּלִ֥ים,כְּלִי,tool,herramienta
378393,Esd,1,10,אֲחֵרִ֖ים,אַחֵר,other,otro
378394,Esd,1,10,אָֽלֶף׃ ס,אֶלֶף,thousand,mil
378395,Esd,1,11,כָּל־,כֹּל,whole,todo
378396,Esd,1,11,כֵּלִים֙,כְּלִי,tool,herramienta
378397,Esd,1,11,לַ,לְ,to,a
378398,Esd,1,11,,הַ,the,el
378399,Esd,1,11,זָּהָ֣ב,זָהָב,gold,oro
378400,Esd,1,11,וְ,וְ,and,y
378401,Esd,1,11,לַ,לְ,to,a
378402,Esd,1,11,,הַ,the,el
378403,Esd,1,11,כֶּ֔סֶף,כֶּסֶף,silver,plata
378404,Esd,1,11,חֲמֵ֥שֶׁת,חָמֵשׁ,five,cinco
378405,Esd,1,11,אֲלָפִ֖ים,אֶלֶף,thousand,mil
378406,Esd,1,11,וְ,וְ,and,y
378407,Esd,1,11,אַרְבַּ֣ע,אַרְבַּע,four,las cuatro
378408,Esd,1,11,מֵאֹ֑ות,מֵאָה,hundred,cien
378409,Esd,1,11,הַ,הַ,the,el
378410,Esd,1,11,כֹּ֞ל,כֹּל,whole,todo
378411,Esd,1,11,הֶעֱלָ֣ה,עלה,ascend,ascender
378412,Esd,1,11,שֵׁשְׁבַּצַּ֗ר,שֵׁשְׁבַּצַּר,Sheshbazzar,Sesbassar
378413,Esd,1,11,עִ֚ם,עִם,with,con
378414,Esd,1,11,הֵעָלֹ֣ות,עלה,ascend,ascender
378415,Esd,1,11,הַ,הַ,the,el
378416,Esd,1,11,גֹּולָ֔ה,גֹּולָה,exile,exilio
378417,Esd,1,11,מִ,מִן,from,de
378418,Esd,1,11,בָּבֶ֖ל,בָּבֶל,Babel,Babel
378419,Esd,1,11,לִ,לְ,to,a
378420,Esd,1,11,ירוּשָׁלִָֽם׃ פ,יְרוּשָׁלִַם,Jerusalem,Jerusalén
378421,Esd,2,1,וְ,וְ,and,y
378422,Esd,2,1,אֵ֣לֶּה׀,אֵלֶּה,these,estas
378423,Esd,2,1,בְּנֵ֣י,בֵּן,son,hijo
378424,Esd,2,1,הַ,הַ,the,el
378425,Esd,2,1,מְּדִינָ֗ה,מְדִינָה,district,distrito
378426,Esd,2,1,הָֽ,הַ,the,el
378427,Esd,2,1,עֹלִים֙,עלה,ascend,ascender
378428,Esd,2,1,מִ,מִן,from,de
378429,Esd,2,1,שְּׁבִ֣י,שְׁבִי,captive,cautivo
378430,Esd,2,1,הַ,הַ,the,el
378431,Esd,2,1,גֹּולָ֔ה,גֹּולָה,exile,exilio
378432,Esd,2,1,אֲשֶׁ֥ר,אֲשֶׁר,[relative],[relativo]
378433,Esd,2,1,הֶגְלָ֛ה,גלה,uncover,descubrir
378434,Esd,2,1,נְבוּכַדְנֶצַּ֥ר,נְבוּכַדְנֶאצַּר,Nebuchadnezzar,Nabucodonosor
378435,Esd,2,1,מֶֽלֶךְ־,מֶלֶךְ,king,Rey
378436,Esd,2,1,בָּבֶ֖ל,בָּבֶל,Babel,Babel
378437,Esd,2,1,לְ,לְ,to,a
378438,Esd,2,1,בָבֶ֑ל,בָּבֶל,Babel,Babel
378439,Esd,2,1,וַ,וְ,and,y
378440,Esd,2,1,יָּשׁ֛וּבוּ,שׁוב,return,regreso
378441,Esd,2,1,לִ,לְ,to,a
378442,Esd,2,1,ירוּשָׁלִַ֥ם,יְרוּשָׁלִַם,Jerusalem,Jerusalén
378443,Esd,2,1,וִֽ,וְ,and,y
378444,Esd,2,1,יהוּדָ֖ה,יְהוּדָה,Judah,Judá
378445,Esd,2,1,אִ֥ישׁ,אִישׁ,man,hombre
378446,Esd,2,1,לְ,לְ,to,a
378447,Esd,2,1,עִירֹֽו׃,עִיר,town,pueblo
378448,Esd,2,2,אֲשֶׁר־,אֲשֶׁר,[relative],[relativo]
378449,Esd,2,2,בָּ֣אוּ,בוא,come,ven
378450,Esd,2,2,עִם־,עִם,with,con
