word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
365453,Est,1,1,וַ,וְ,and,y
365454,Est,1,1,יְהִ֖י,היה,be,ser
365455,Est,1,1,בִּ,בְּ,in,en
365456,Est,1,1,ימֵ֣י,יֹום,day,día
365457,Est,1,1,אֲחַשְׁוֵרֹ֑ושׁ,אֲחַשְׁוֵרֹושׁ,Ahasuerus,Asuero
365458,Est,1,1,ה֣וּא,הוּא,he,él
365459,Est,1,1,אֲחַשְׁוֵרֹ֗ושׁ,אֲחַשְׁוֵרֹושׁ,Ahasuerus,Asuero
365460,Est,1,1,הַ,הַ,the,el
365461,Est,1,1,מֹּלֵךְ֙,מלך,be king,se Rey
365462,Est,1,1,מֵ,מִן,from,de
365463,Est,1,1,הֹ֣דּוּ,הֹדּוּ,India,India
365464,Est,1,1,וְ,וְ,and,y
365465,Est,1,1,עַד־,עַד,unto,hasta
365466,Est,1,1,כּ֔וּשׁ,כּוּשׁ,Cush,Cush
365467,Est,1,1,שֶׁ֛בַע,שֶׁבַע,seven,siete
365468,Est,1,1,וְ,וְ,and,y
365469,Est,1,1,עֶשְׂרִ֥ים,עֶשְׂרִים,twenty,veinte
365470,Est,1,1,וּ,וְ,and,y
365471,Est,1,1,מֵאָ֖ה,מֵאָה,hundred,cien
365472,Est,1,1,מְדִינָֽה׃,מְדִינָה,district,distrito
365473,Est,1,2,בַּ,בְּ,in,en
365474,Est,1,2,,הַ,the,el
365475,Est,1,2,יָּמִ֖ים,יֹום,day,día
365476,Est,1,2,הָ,הַ,the,el
365477,Est,1,2,הֵ֑ם,הֵם,they,ellos
365478,Est,1,2,כְּ,כְּ,as,como
365479,Est,1,2,שֶׁ֣בֶת׀,ישׁב,sit,sentar
365480,Est,1,2,הַ,הַ,the,el
365481,Est,1,2,מֶּ֣לֶךְ,מֶלֶךְ,king,Rey
365482,Est,1,2,אֲחַשְׁוֵרֹ֗ושׁ,אֲחַשְׁוֵרֹושׁ,Ahasuerus,Asuero
365483,Est,1,2,עַ֚ל,עַל,upon,sobre
