word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
336020,Job,1,1,אִ֛ישׁ,אִישׁ,man,hombre
336021,Job,1,1,הָיָ֥ה,היה,be,ser
336022,Job,1,1,בְ,בְּ,in,en
336023,Job,1,1,אֶֽרֶץ־,אֶרֶץ,earth,tierra
336024,Job,1,1,ע֖וּץ,עוּץ,[land of hiob],[Tierra de Hiob]
336025,Job,1,1,אִיֹּ֣וב,אִיֹּוב,Job,Trabajo
336026,Job,1,1,שְׁמֹ֑ו,שֵׁם,name,nombre
336027,Job,1,1,וְ,וְ,and,y
336028,Job,1,1,הָיָ֣ה׀,היה,be,ser
336029,Job,1,1,הָ,הַ,the,el
336030,Job,1,1,אִ֣ישׁ,אִישׁ,man,hombre
336031,Job,1,1,הַ,הַ,the,el
336032,Job,1,1,ה֗וּא,הוּא,he,él
336033,Job,1,1,תָּ֧ם,תָּם,complete,completar
336034,Job,1,1,וְ,וְ,and,y
336035,Job,1,1,יָשָׁ֛ר,יָשָׁר,right,derecho
336036,Job,1,1,וִ,וְ,and,y
336037,Job,1,1,ירֵ֥א,יָרֵא,afraid,asustado
336038,Job,1,1,אֱלֹהִ֖ים,אֱלֹהִים,god(s),gallinero)
336039,Job,1,1,וְ,וְ,and,y
336040,Job,1,1,סָ֥ר,סור,turn aside,desviar
336041,Job,1,1,מֵ,מִן,from,de
336042,Job,1,1,רָֽע׃,רַע,evil,mal
336043,Job,1,2,וַ,וְ,and,y
336044,Job,1,2,יִּוָּ֥לְדוּ,ילד,bear,oso
336045,Job,1,2,לֹ֛ו,לְ,to,a
336046,Job,1,2,שִׁבְעָ֥ה,שֶׁבַע,seven,siete
336047,Job,1,2,בָנִ֖ים,בֵּן,son,hijo
336048,Job,1,2,וְ,וְ,and,y
336049,Job,1,2,שָׁלֹ֥ושׁ,שָׁלֹשׁ,three,Tres
336050,Job,1,2,בָּנֹֽות׃,בַּת,daughter,hija
336051,Job,1,3,וַ,וְ,and,y
336052,Job,1,3,יְהִ֣י,היה,be,ser
336053,Job,1,3,מִ֠קְנֵהוּ,מִקְנֶה,purchase,compra
336054,Job,1,3,שִֽׁבְעַ֨ת,שֶׁבַע,seven,siete
336055,Job,1,3,אַלְפֵי־,אֶלֶף,thousand,mil
336056,Job,1,3,צֹ֜אן,צֹאן,cattle,ganado
336057,Job,1,3,וּ,וְ,and,y
336058,Job,1,3,שְׁלֹ֧שֶׁת,שָׁלֹשׁ,three,Tres
336059,Job,1,3,אַלְפֵ֣י,אֶלֶף,thousand,mil
336060,Job,1,3,גְמַלִּ֗ים,גָּמָל,camel,camello
336061,Job,1,3,וַ,וְ,and,y
336062,Job,1,3,חֲמֵ֨שׁ,חָמֵשׁ,five,cinco
336063,Job,1,3,מֵאֹ֤ות,מֵאָה,hundred,cien
336064,Job,1,3,צֶֽמֶד־,צֶמֶד,span,lapso
336065,Job,1,3,בָּקָר֙,בָּקָר,cattle,ganado
336066,Job,1,3,וַ,וְ,and,y
336067,Job,1,3,חֲמֵ֣שׁ,חָמֵשׁ,five,cinco
336068,Job,1,3,מֵאֹ֣ות,מֵאָה,hundred,cien
336069,Job,1,3,אֲתֹונֹ֔ות,אָתֹון,she-ass,Ella-culo
336070,Job,1,3,וַ,וְ,and,y
336071,Job,1,3,עֲבֻדָּ֖ה,עֲבֻדָּה,slaves,esclavos
336072,Job,1,3,רַבָּ֣ה,רַב,much,mucho
336073,Job,1,3,מְאֹ֑ד,מְאֹד,might,podría
336074,Job,1,3,וַ,וְ,and,y
