word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
212069,Isa,1,1,חֲזֹון֙,חָזֹון,vision,visión
212070,Isa,1,1,יְשַֽׁעְיָ֣הוּ,יְשַׁעְיָהוּ,Isaiah,Isaías
212071,Isa,1,1,בֶן־,בֵּן,son,hijo
212072,Isa,1,1,אָמֹ֔וץ,אָמֹוץ,Amoz,Amoz
212073,Isa,1,1,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
212074,Isa,1,1,חָזָ֔ה,חזה,see,ver
212075,Isa,1,1,עַל־,עַל,upon,sobre
212076,Isa,1,1,יְהוּדָ֖ה,יְהוּדָה,Judah,Judá
212077,Isa,1,1,וִ,וְ,and,y
212078,Isa,1,1,ירוּשָׁלִָ֑ם,יְרוּשָׁלִַם,Jerusalem,Jerusalén
212079,Isa,1,1,בִּ,בְּ,in,en
212080,Isa,1,1,ימֵ֨י,יֹום,day,día
212081,Isa,1,1,עֻזִּיָּ֧הוּ,עֻזִּיָּהוּ,Uzziah,Ozías
212082,Isa,1,1,יֹותָ֛ם,יֹותָם,Jotham,Jotam
212083,Isa,1,1,אָחָ֥ז,אָחָז,Ahaz,Acaz
212084,Isa,1,1,יְחִזְקִיָּ֖הוּ,יְחִזְקִיָּהוּ,Hezekiah,Ezequías
212085,Isa,1,1,מַלְכֵ֥י,מֶלֶךְ,king,Rey
212086,Isa,1,1,יְהוּדָֽה׃,יְהוּדָה,Judah,Judá
212087,Isa,1,2,שִׁמְע֤וּ,שׁמע,hear,oír
212088,Isa,1,2,שָׁמַ֨יִם֙,שָׁמַיִם,heavens,Cielos
212089,Isa,1,2,וְ,וְ,and,y
212090,Isa,1,2,הַאֲזִ֣ינִי,אזן,listen,escucha
212091,Isa,1,2,אֶ֔רֶץ,אֶרֶץ,earth,tierra
212092,Isa,1,2,כִּ֥י,כִּי,that,ese
212093,Isa,1,2,יְהוָ֖ה,יְהוָה,YHWH,YHWH
212094,Isa,1,2,דִּבֵּ֑ר,דבר,speak,hablar
212095,Isa,1,2,בָּנִים֙,בֵּן,son,hijo
212096,Isa,1,2,גִּדַּ֣לְתִּי,גדל,be strong,sé fuerte
212097,Isa,1,2,וְ,וְ,and,y
212098,Isa,1,2,רֹומַ֔מְתִּי,רום,be high,ser alto
212099,Isa,1,2,וְ,וְ,and,y
212100,Isa,1,2,הֵ֖ם,הֵם,they,ellos
212101,Isa,1,2,פָּ֥שְׁעוּ,פשׁע,rebel,rebelde
212102,Isa,1,2,בִֽי׃,בְּ,in,en
212103,Isa,1,3,יָדַ֥ע,ידע,know,saber
212104,Isa,1,3,שֹׁור֙,שֹׁור,bullock,toro castrado
212105,Isa,1,3,קֹנֵ֔הוּ,קנה,buy,comprar
212106,Isa,1,3,וַ,וְ,and,y
212107,Isa,1,3,חֲמֹ֖ור,חֲמֹור,he-ass,he-culo
212108,Isa,1,3,אֵב֣וּס,אֵבוּס,manger,pesebre
212109,Isa,1,3,בְּעָלָ֑יו,בַּעַל,lord,señor
212110,Isa,1,3,יִשְׂרָאֵל֙,יִשְׂרָאֵל,Israel,Israel
212111,Isa,1,3,לֹ֣א,לֹא,not,no
212112,Isa,1,3,יָדַ֔ע,ידע,know,saber
212113,Isa,1,3,עַמִּ֖י,עַם,people,gente
212114,Isa,1,3,לֹ֥א,לֹא,not,no
212115,Isa,1,3,הִתְבֹּונָֽן׃,בין,understand,entender
212116,Isa,1,4,הֹ֣וי׀,הֹוי,alas,Ay
212117,Isa,1,4,גֹּ֣וי,גֹּוי,people,gente
212118,Isa,1,4,חֹטֵ֗א,חטא,miss,perder
212119,Isa,1,4,עַ֚ם,עַם,people,gente
212120,Isa,1,4,כֶּ֣בֶד,כָּבֵד,heavy,pesado
212121,Isa,1,4,עָוֹ֔ן,עָוֹן,sin,pecado
212122,Isa,1,4,זֶ֣רַע,זֶרַע,seed,semilla
212123,Isa,1,4,מְרֵעִ֔ים,רעע,be evil,ser malo
212124,Isa,1,4,בָּנִ֖ים,בֵּן,son,hijo
212125,Isa,1,4,מַשְׁחִיתִ֑ים,שׁחת,destroy,destruir
212126,Isa,1,4,עָזְב֣וּ,עזב,leave,salir
212127,Isa,1,4,אֶת־,אֵת,[object marker],[Marcador de objeto]
212128,Isa,1,4,יְהוָ֗ה,יְהוָה,YHWH,YHWH
212129,Isa,1,4,נִֽאֲצ֛וּ,נאץ,contemn,desprecia
212130,Isa,1,4,אֶת־,אֵת,[object marker],[Marcador de objeto]
212131,Isa,1,4,קְדֹ֥ושׁ,קָדֹושׁ,holy,santo
212132,Isa,1,4,יִשְׂרָאֵ֖ל,יִשְׂרָאֵל,Israel,Israel
212133,Isa,1,4,נָזֹ֥רוּ,זור,turn aside,desviar
212134,Isa,1,4,אָחֹֽור׃,אָחֹור,back(wards),hacia atrás)
212135,Isa,1,5,עַ֣ל,עַל,upon,sobre
212136,Isa,1,5,מֶ֥ה,מָה,what,qué
212137,Isa,1,5,תֻכּ֛וּ,נכה,strike,Huelga
212138,Isa,1,5,עֹ֖וד,עֹוד,duration,duración
212139,Isa,1,5,תֹּוסִ֣יפוּ,יסף,add,añadir
212140,Isa,1,5,סָרָ֑ה,סָרָה,rebellion,rebelión
212141,Isa,1,5,כָּל־,כֹּל,whole,todo
212142,Isa,1,5,רֹ֣אשׁ,רֹאשׁ,head,cabeza
212143,Isa,1,5,לָ,לְ,to,a
212144,Isa,1,5,חֳלִ֔י,חֳלִי,sickness,enfermedad
212145,Isa,1,5,וְ,וְ,and,y
212146,Isa,1,5,כָל־,כֹּל,whole,todo
212147,Isa,1,5,לֵבָ֖ב,לֵבָב,heart,corazón
212148,Isa,1,5,דַּוָּֽי׃,דַּוָּי,ill,enfermo
212149,Isa,1,6,מִ,מִן,from,de
212150,Isa,1,6,כַּף־,כַּף,palm,palma
212151,Isa,1,6,רֶ֤גֶל,רֶגֶל,foot,pie
212152,Isa,1,6,וְ,וְ,and,y
212153,Isa,1,6,עַד־,עַד,unto,hasta
212154,Isa,1,6,רֹאשׁ֙,רֹאשׁ,head,cabeza
212155,Isa,1,6,אֵֽין־,אַיִן,[NEG],[NEG]
212156,Isa,1,6,בֹּ֣ו,בְּ,in,en
212157,Isa,1,6,מְתֹ֔ם,מְתֹם,sound spot,punto de sonido
212158,Isa,1,6,פֶּ֥צַע,פֶּצַע,bruise,moretón
212159,Isa,1,6,וְ,וְ,and,y
212160,Isa,1,6,חַבּוּרָ֖ה,חַבּוּרָה,bruise,moretón
212161,Isa,1,6,וּ,וְ,and,y
212162,Isa,1,6,מַכָּ֣ה,מַכָּה,blow,soplar
212163,Isa,1,6,טְרִיָּ֑ה,טָרִי,fresh,Fresco
212164,Isa,1,6,לֹא־,לֹא,not,no
212165,Isa,1,6,זֹ֨רוּ֙,זרה,scatter,dispersión
212166,Isa,1,6,וְ,וְ,and,y
212167,Isa,1,6,לֹ֣א,לֹא,not,no
212168,Isa,1,6,חֻבָּ֔שׁוּ,חבשׁ,saddle,sillín
212169,Isa,1,6,וְ,וְ,and,y
212170,Isa,1,6,לֹ֥א,לֹא,not,no
212171,Isa,1,6,רֻכְּכָ֖ה,רכך,be tender,ser tierno
212172,Isa,1,6,בַּ,בְּ,in,en
212173,Isa,1,6,,הַ,the,el
212174,Isa,1,6,שָּֽׁמֶן׃,שֶׁמֶן,oil,petróleo
212175,Isa,1,7,אַרְצְכֶ֣ם,אֶרֶץ,earth,tierra
212176,Isa,1,7,שְׁמָמָ֔ה,שְׁמָמָה,desolation,soledad
212177,Isa,1,7,עָרֵיכֶ֖ם,עִיר,town,pueblo
212178,Isa,1,7,שְׂרֻפֹ֣ות,שׂרף,burn,quemar
212179,Isa,1,7,אֵ֑שׁ,אֵשׁ,fire,fuego
212180,Isa,1,7,אַדְמַתְכֶ֗ם,אֲדָמָה,soil,suelo
212181,Isa,1,7,לְ,לְ,to,a
212182,Isa,1,7,נֶגְדְּכֶם֙,נֶגֶד,counterpart,contrapartida
212183,Isa,1,7,זָרִים֙,זָר,strange,extraño
212184,Isa,1,7,אֹכְלִ֣ים,אכל,eat,comer
212185,Isa,1,7,אֹתָ֔הּ,אֵת,[object marker],[Marcador de objeto]
212186,Isa,1,7,וּ,וְ,and,y
212187,Isa,1,7,שְׁמָמָ֖ה,שְׁמָמָה,desolation,soledad
212188,Isa,1,7,כְּ,כְּ,as,como
212189,Isa,1,7,מַהְפֵּכַ֥ת,מַהְפֵּכָה,overthrow,derrocamiento
212190,Isa,1,7,זָרִֽים׃,זָר,strange,extraño
212191,Isa,1,8,וְ,וְ,and,y
212192,Isa,1,8,נֹותְרָ֥ה,יתר,remain,permanecer
