word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
235000,Jer,1,1,דִּבְרֵ֥י,דָּבָר,word,palabra
235001,Jer,1,1,יִרְמְיָ֖הוּ,יִרְמְיָהוּ,Jeremiah,Jeremías
235002,Jer,1,1,בֶּן־,בֵּן,son,hijo
235003,Jer,1,1,חִלְקִיָּ֑הוּ,חִלְקִיָּהוּ,Hilkiah,Hilcías
235004,Jer,1,1,מִן־,מִן,from,de
235005,Jer,1,1,הַ,הַ,the,el
235006,Jer,1,1,כֹּֽהֲנִים֙,כֹּהֵן,priest,sacerdote
235007,Jer,1,1,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
235008,Jer,1,1,בַּ,בְּ,in,en
235009,Jer,1,1,עֲנָתֹ֔ות,עֲנָתֹות,[town],[pueblo]
235010,Jer,1,1,בְּ,בְּ,in,en
235011,Jer,1,1,אֶ֖רֶץ,אֶרֶץ,earth,tierra
235012,Jer,1,1,בִּנְיָמִֽן׃,בִּנְיָמִן,Benjamin,Benjamín
235013,Jer,1,2,אֲשֶׁ֨ר,אֲשֶׁר,[relative],[relativo]
235014,Jer,1,2,הָיָ֤ה,היה,be,ser
235015,Jer,1,2,דְבַר־,דָּבָר,word,palabra
235016,Jer,1,2,יְהוָה֙,יְהוָה,YHWH,YHWH
235017,Jer,1,2,אֵלָ֔יו,אֶל,to,a
235018,Jer,1,2,בִּ,בְּ,in,en
235019,Jer,1,2,ימֵ֛י,יֹום,day,día
235020,Jer,1,2,יֹאשִׁיָּ֥הוּ,יֹאשִׁיָּהוּ,Josiah,Josías
235021,Jer,1,2,בֶן־,בֵּן,son,hijo
235022,Jer,1,2,אָמֹ֖ון,אָמֹון,Amon,Amon
235023,Jer,1,2,מֶ֣לֶךְ,מֶלֶךְ,king,Rey
235024,Jer,1,2,יְהוּדָ֑ה,יְהוּדָה,Judah,Judá
235025,Jer,1,2,בִּ,בְּ,in,en
235026,Jer,1,2,שְׁלֹשׁ־,שָׁלֹשׁ,three,Tres
235027,Jer,1,2,עֶשְׂרֵ֥ה,עֶשְׂרֵה,-teen,-adolescente
235028,Jer,1,2,שָׁנָ֖ה,שָׁנָה,year,año
235029,Jer,1,2,לְ,לְ,to,a
235030,Jer,1,2,מָלְכֹֽו׃,מלך,be king,se Rey
235031,Jer,1,3,וַ,וְ,and,y
235032,Jer,1,3,יְהִ֗י,היה,be,ser
235033,Jer,1,3,בִּ,בְּ,in,en
235034,Jer,1,3,ימֵ֨י,יֹום,day,día
235035,Jer,1,3,יְהֹויָקִ֤ים,יְהֹויָקִים,Jehoiakim,Joacim
235036,Jer,1,3,בֶּן־,בֵּן,son,hijo
235037,Jer,1,3,יֹאשִׁיָּ֨הוּ֙,יֹאשִׁיָּהוּ,Josiah,Josías
235038,Jer,1,3,מֶ֣לֶךְ,מֶלֶךְ,king,Rey
235039,Jer,1,3,יְהוּדָ֔ה,יְהוּדָה,Judah,Judá
235040,Jer,1,3,עַד־,עַד,unto,hasta
235041,Jer,1,3,תֹּם֙,תמם,be complete,ser completa
235042,Jer,1,3,עַשְׁתֵּ֣י,עַשְׁתֵּי,eleven,once
235043,Jer,1,3,עֶשְׂרֵ֣ה,עֶשְׂרֵה,-teen,-adolescente
235044,Jer,1,3,שָׁנָ֔ה,שָׁנָה,year,año
235045,Jer,1,3,לְ,לְ,to,a
235046,Jer,1,3,צִדְקִיָּ֥הוּ,צִדְקִיָּהוּ,Zedekiah,Sedequías
235047,Jer,1,3,בֶן־,בֵּן,son,hijo
235048,Jer,1,3,יֹאשִׁיָּ֖הוּ,יֹאשִׁיָּהוּ,Josiah,Josías
235049,Jer,1,3,מֶ֣לֶךְ,מֶלֶךְ,king,Rey
235050,Jer,1,3,יְהוּדָ֑ה,יְהוּדָה,Judah,Judá
235051,Jer,1,3,עַד־,עַד,unto,hasta
235052,Jer,1,3,גְּלֹ֥ות,גלה,uncover,descubrir
235053,Jer,1,3,יְרוּשָׁלִַ֖ם,יְרוּשָׁלִַם,Jerusalem,Jerusalén
235054,Jer,1,3,בַּ,בְּ,in,en
235055,Jer,1,3,,הַ,the,el
235056,Jer,1,3,חֹ֥דֶשׁ,חֹדֶשׁ,month,mes
235057,Jer,1,3,הַ,הַ,the,el
235058,Jer,1,3,חֲמִישִֽׁי׃ ס,חֲמִישִׁי,fifth,quinto
235059,Jer,1,4,וַ,וְ,and,y
235060,Jer,1,4,יְהִ֥י,היה,be,ser
235061,Jer,1,4,דְבַר־,דָּבָר,word,palabra
235062,Jer,1,4,יְהוָ֖ה,יְהוָה,YHWH,YHWH
235063,Jer,1,4,אֵלַ֥י,אֶל,to,a
235064,Jer,1,4,לֵ,לְ,to,a
235065,Jer,1,4,אמֹֽר׃,אמר,say,decir
235066,Jer,1,5,בְּ,בְּ,in,en
235067,Jer,1,5,טֶ֨רֶם,טֶרֶם,beginning,comenzando
235068,Jer,1,5,אֶצָּרְךָ֤,יצר,shape,forma
235069,Jer,1,5,בַ,בְּ,in,en
235070,Jer,1,5,,הַ,the,el
235071,Jer,1,5,בֶּ֨טֶן֙,בֶּטֶן,belly,vientre
235072,Jer,1,5,יְדַעְתִּ֔יךָ,ידע,know,saber
235073,Jer,1,5,וּ,וְ,and,y
235074,Jer,1,5,בְ,בְּ,in,en
235075,Jer,1,5,טֶ֛רֶם,טֶרֶם,beginning,comenzando
235076,Jer,1,5,תֵּצֵ֥א,יצא,go out,fuera
235077,Jer,1,5,מֵ,מִן,from,de
235078,Jer,1,5,רֶ֖חֶם,רֶחֶם,womb,matriz
235079,Jer,1,5,הִקְדַּשְׁתִּ֑יךָ,קדשׁ,be holy,ser santo
235080,Jer,1,5,נָבִ֥יא,נָבִיא,prophet,profeta
235081,Jer,1,5,לַ,לְ,to,a
235082,Jer,1,5,,הַ,the,el
235083,Jer,1,5,גֹּויִ֖ם,גֹּוי,people,gente
235084,Jer,1,5,נְתַתִּֽיךָ׃,נתן,give,dar
235085,Jer,1,6,וָ,וְ,and,y
235086,Jer,1,6,אֹמַ֗ר,אמר,say,decir
235087,Jer,1,6,אֲהָהּ֙,אֲהָהּ,alas,Ay
235088,Jer,1,6,אֲדֹנָ֣י,אֲדֹנָי,Lord,Señor
235089,Jer,1,6,יְהֹוִ֔ה,יְהוָה,YHWH,YHWH
235090,Jer,1,6,הִנֵּ֥ה,הִנֵּה,behold,Mirad
235091,Jer,1,6,לֹא־,לֹא,not,no
235092,Jer,1,6,יָדַ֖עְתִּי,ידע,know,saber
235093,Jer,1,6,דַּבֵּ֑ר,דבר,speak,hablar
235094,Jer,1,6,כִּי־,כִּי,that,ese
235095,Jer,1,6,נַ֖עַר,נַעַר,boy,chico
235096,Jer,1,6,אָנֹֽכִי׃ פ,אָנֹכִי,i,yo
235097,Jer,1,7,וַ,וְ,and,y
235098,Jer,1,7,יֹּ֤אמֶר,אמר,say,decir
235099,Jer,1,7,יְהוָה֙,יְהוָה,YHWH,YHWH
235100,Jer,1,7,אֵלַ֔י,אֶל,to,a
235101,Jer,1,7,אַל־,אַל,not,no
235102,Jer,1,7,תֹּאמַ֖ר,אמר,say,decir
235103,Jer,1,7,נַ֣עַר,נַעַר,boy,chico
235104,Jer,1,7,אָנֹ֑כִי,אָנֹכִי,i,yo
235105,Jer,1,7,כִּ֠י,כִּי,that,ese
235106,Jer,1,7,עַֽל־,עַל,upon,sobre
235107,Jer,1,7,כָּל־,כֹּל,whole,todo
235108,Jer,1,7,אֲשֶׁ֤ר,אֲשֶׁר,[relative],[relativo]
235109,Jer,1,7,אֶֽשְׁלָחֲךָ֙,שׁלח,send,enviar
235110,Jer,1,7,תֵּלֵ֔ךְ,הלך,walk,caminar
235111,Jer,1,7,וְ,וְ,and,y
235112,Jer,1,7,אֵ֛ת,אֵת,[object marker],[Marcador de objeto]
235113,Jer,1,7,כָּל־,כֹּל,whole,todo
235114,Jer,1,7,אֲשֶׁ֥ר,אֲשֶׁר,[relative],[relativo]
235115,Jer,1,7,אֲצַוְּךָ֖,צוה,command,mando
235116,Jer,1,7,תְּדַבֵּֽר׃,דבר,speak,hablar
235117,Jer,1,8,אַל־,אַל,not,no
235118,Jer,1,8,תִּירָ֖א,ירא,fear,miedo
235119,Jer,1,8,מִ,מִן,from,de
235120,Jer,1,8,פְּנֵיהֶ֑ם,פָּנֶה,face,cara
235121,Jer,1,8,כִּֽי־,כִּי,that,ese
235122,Jer,1,8,אִתְּךָ֥,אֵת,together with,Juntos con
235123,Jer,1,8,אֲנִ֛י,אֲנִי,i,yo
235124,Jer,1,8,לְ,לְ,to,a
235125,Jer,1,8,הַצִּלֶ֖ךָ,נצל,deliver,entregar
235126,Jer,1,8,נְאֻם־,נְאֻם,speech,habla
235127,Jer,1,8,יְהוָֽה׃,יְהוָה,YHWH,YHWH
235128,Jer,1,9,וַ,וְ,and,y
235129,Jer,1,9,יִּשְׁלַ֤ח,שׁלח,send,enviar
235130,Jer,1,9,יְהוָה֙,יְהוָה,YHWH,YHWH
235131,Jer,1,9,אֶת־,אֵת,[object marker],[Marcador de objeto]
235132,Jer,1,9,יָדֹ֔ו,יָד,hand,mano
235133,Jer,1,9,וַ,וְ,and,y
235134,Jer,1,9,יַּגַּ֖ע,נגע,touch,toque
235135,Jer,1,9,עַל־,עַל,upon,sobre
235136,Jer,1,9,פִּ֑י,פֶּה,mouth,boca
235137,Jer,1,9,וַ,וְ,and,y
235138,Jer,1,9,יֹּ֤אמֶר,אמר,say,decir
235139,Jer,1,9,יְהוָה֙,יְהוָה,YHWH,YHWH
235140,Jer,1,9,אֵלַ֔י,אֶל,to,a
235141,Jer,1,9,הִנֵּ֛ה,הִנֵּה,behold,Mirad
235142,Jer,1,9,נָתַ֥תִּי,נתן,give,dar
235143,Jer,1,9,דְבָרַ֖י,דָּבָר,word,palabra
235144,Jer,1,9,בְּ,בְּ,in,en
235145,Jer,1,9,פִֽיךָ׃,פֶּה,mouth,boca
235146,Jer,1,10,רְאֵ֞ה,ראה,see,ver
