word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
264736,Eze,1,1,וַ,וְ,and,y
264737,Eze,1,1,יְהִ֣י׀,היה,be,ser
264738,Eze,1,1,בִּ,בְּ,in,en
264739,Eze,1,1,שְׁלֹשִׁ֣ים,שָׁלֹשׁ,three,Tres
264740,Eze,1,1,שָׁנָ֗ה,שָׁנָה,year,año
264741,Eze,1,1,בָּֽ,בְּ,in,en
264742,Eze,1,1,,הַ,the,el
264743,Eze,1,1,רְבִיעִי֙,רְבִיעִי,fourth,cuarto
264744,Eze,1,1,בַּ,בְּ,in,en
264745,Eze,1,1,חֲמִשָּׁ֣ה,חָמֵשׁ,five,cinco
264746,Eze,1,1,לַ,לְ,to,a
264747,Eze,1,1,,הַ,the,el
264748,Eze,1,1,חֹ֔דֶשׁ,חֹדֶשׁ,month,mes
264749,Eze,1,1,וַ,וְ,and,y
264750,Eze,1,1,אֲנִ֥י,אֲנִי,i,yo
264751,Eze,1,1,בְ,בְּ,in,en
264752,Eze,1,1,תֹֽוךְ־,תָּוֶךְ,midst,medio
264753,Eze,1,1,הַ,הַ,the,el
264754,Eze,1,1,גֹּולָ֖ה,גֹּולָה,exile,exilio
264755,Eze,1,1,עַל־,עַל,upon,sobre
264756,Eze,1,1,נְהַר־,נָהָר,stream,corriente
264757,Eze,1,1,כְּבָ֑ר,כְּבָר,Kebar,Kebar
264758,Eze,1,1,נִפְתְּחוּ֙,פתח,open,abierto
264759,Eze,1,1,הַ,הַ,the,el
264760,Eze,1,1,שָּׁמַ֔יִם,שָׁמַיִם,heavens,Cielos
264761,Eze,1,1,וָ,וְ,and,y
264762,Eze,1,1,אֶרְאֶ֖ה,ראה,see,ver
264763,Eze,1,1,מַרְאֹ֥ות,מַרְאָה,vision,visión
264764,Eze,1,1,אֱלֹהִֽים׃,אֱלֹהִים,god(s),gallinero)
264765,Eze,1,2,בַּ,בְּ,in,en
264766,Eze,1,2,חֲמִשָּׁ֖ה,חָמֵשׁ,five,cinco
264767,Eze,1,2,לַ,לְ,to,a
264768,Eze,1,2,,הַ,the,el
264769,Eze,1,2,חֹ֑דֶשׁ,חֹדֶשׁ,month,mes
264770,Eze,1,2,הִ֚יא,הִיא,she,ella
264771,Eze,1,2,הַ,הַ,the,el
264772,Eze,1,2,שָּׁנָ֣ה,שָׁנָה,year,año
264773,Eze,1,2,הַ,הַ,the,el
264774,Eze,1,2,חֲמִישִׁ֔ית,חֲמִישִׁי,fifth,quinto
264775,Eze,1,2,לְ,לְ,to,a
264776,Eze,1,2,גָל֖וּת,גָּלוּת,exile,exilio
264777,Eze,1,2,הַ,הַ,the,el
264778,Eze,1,2,מֶּ֥לֶךְ,מֶלֶךְ,king,Rey
264779,Eze,1,2,יֹויָכִֽין׃,יֹויָכִין,Jehoiachin,Joaquín
264780,Eze,1,3,הָיֹ֣ה,היה,be,ser
264781,Eze,1,3,הָיָ֣ה,היה,be,ser
264782,Eze,1,3,דְבַר־,דָּבָר,word,palabra
264783,Eze,1,3,יְ֠הוָה,יְהוָה,YHWH,YHWH
264784,Eze,1,3,אֶל־,אֶל,to,a
264785,Eze,1,3,יְחֶזְקֵ֨אל,יְחֶזְקֵאל,Ezekiel,Ezequiel
264786,Eze,1,3,בֶּן־,בֵּן,son,hijo
264787,Eze,1,3,בּוּזִ֧י,בּוּזִי,Buzi,buzi
264788,Eze,1,3,הַ,הַ,the,el
264789,Eze,1,3,כֹּהֵ֛ן,כֹּהֵן,priest,sacerdote
264790,Eze,1,3,בְּ,בְּ,in,en
264791,Eze,1,3,אֶ֥רֶץ,אֶרֶץ,earth,tierra
264792,Eze,1,3,כַּשְׂדִּ֖ים,כַּשְׂדִּים,Chaldeans,caldeos
264793,Eze,1,3,עַל־,עַל,upon,sobre
264794,Eze,1,3,נְהַר־,נָהָר,stream,corriente
264795,Eze,1,3,כְּבָ֑ר,כְּבָר,Kebar,Kebar
264796,Eze,1,3,וַ,וְ,and,y
