word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
298554,Jon,1,1,וַֽ,וְ,and,y
298555,Jon,1,1,יְהִי֙,היה,be,ser
298556,Jon,1,1,דְּבַר־,דָּבָר,word,palabra
298557,Jon,1,1,יְהוָ֔ה,יְהוָה,YHWH,YHWH
298558,Jon,1,1,אֶל־,אֶל,to,a
298559,Jon,1,1,יֹונָ֥ה,יֹונָה,Jonah,Jonás
298560,Jon,1,1,בֶן־,בֵּן,son,hijo
298561,Jon,1,1,אֲמִתַּ֖י,אֲמִתַּי,Amittai,Amitai
298562,Jon,1,1,לֵ,לְ,to,a
298563,Jon,1,1,אמֹֽר׃,אמר,say,decir
298564,Jon,1,2,ק֠וּם,קום,arise,surgir
298565,Jon,1,2,לֵ֧ךְ,הלך,walk,caminar
298566,Jon,1,2,אֶל־,אֶל,to,a
298567,Jon,1,2,נִֽינְוֵ֛ה,נִינְוֵה,Nineveh,Nínive
298568,Jon,1,2,הָ,הַ,the,el
298569,Jon,1,2,עִ֥יר,עִיר,town,pueblo
298570,Jon,1,2,הַ,הַ,the,el
298571,Jon,1,2,גְּדֹולָ֖ה,גָּדֹול,great,estupendo
298572,Jon,1,2,וּ,וְ,and,y
298573,Jon,1,2,קְרָ֣א,קרא,call,llamada
298574,Jon,1,2,עָלֶ֑יהָ,עַל,upon,sobre
298575,Jon,1,2,כִּֽי־,כִּי,that,ese
298576,Jon,1,2,עָלְתָ֥ה,עלה,ascend,ascender
298577,Jon,1,2,רָעָתָ֖ם,רָעָה,evil,mal
298578,Jon,1,2,לְ,לְ,to,a
298579,Jon,1,2,פָנָֽי׃,פָּנֶה,face,cara
298580,Jon,1,3,וַ,וְ,and,y
298581,Jon,1,3,יָּ֤קָם,קום,arise,surgir
298582,Jon,1,3,יֹונָה֙,יֹונָה,Jonah,Jonás
298583,Jon,1,3,לִ,לְ,to,a
298584,Jon,1,3,בְרֹ֣חַ,ברח,run away,huir
298585,Jon,1,3,תַּרְשִׁ֔ישָׁה,תַּרְשִׁישׁ,Tarshish,Tarsis
298586,Jon,1,3,מִ,מִן,from,de
298587,Jon,1,3,לִּ,לְ,to,a
298588,Jon,1,3,פְנֵ֖י,פָּנֶה,face,cara
298589,Jon,1,3,יְהוָ֑ה,יְהוָה,YHWH,YHWH
298590,Jon,1,3,וַ,וְ,and,y
298591,Jon,1,3,יֵּ֨רֶד,ירד,descend,descender
298592,Jon,1,3,יָפֹ֜ו,יָפֹו,Joppa,Jope
298593,Jon,1,3,וַ,וְ,and,y
298594,Jon,1,3,יִּמְצָ֥א,מצא,find,encontrar
298595,Jon,1,3,אָנִיָּ֣ה׀,אֳנִיָּה,ship,enviar
298596,Jon,1,3,בָּאָ֣ה,בוא,come,ven
298597,Jon,1,3,תַרְשִׁ֗ישׁ,תַּרְשִׁישׁ,Tarshish,Tarsis
298598,Jon,1,3,וַ,וְ,and,y
298599,Jon,1,3,יִּתֵּ֨ן,נתן,give,dar
298600,Jon,1,3,שְׂכָרָ֜הּ,שָׂכָר,hire,alquiler
298601,Jon,1,3,וַ,וְ,and,y
298602,Jon,1,3,יֵּ֤רֶד,ירד,descend,descender
298603,Jon,1,3,בָּהּ֙,בְּ,in,en
298604,Jon,1,3,לָ,לְ,to,a
298605,Jon,1,3,בֹ֤וא,בוא,come,ven
298606,Jon,1,3,עִמָּהֶם֙,עִם,with,con
298607,Jon,1,3,תַּרְשִׁ֔ישָׁה,תַּרְשִׁישׁ,Tarshish,Tarsis
298608,Jon,1,3,מִ,מִן,from,de
298609,Jon,1,3,לִּ,לְ,to,a
298610,Jon,1,3,פְנֵ֖י,פָּנֶה,face,cara
298611,Jon,1,3,יְהוָֽה׃,יְהוָה,YHWH,YHWH
298612,Jon,1,4,וַֽ,וְ,and,y
298613,Jon,1,4,יהוָ֗ה,יְהוָה,YHWH,YHWH
298614,Jon,1,4,הֵטִ֤יל,טול,cast,emitir
298615,Jon,1,4,רֽוּחַ־,רוּחַ,wind,viento
298616,Jon,1,4,גְּדֹולָה֙,גָּדֹול,great,estupendo
298617,Jon,1,4,אֶל־,אֶל,to,a
298618,Jon,1,4,הַ,הַ,the,el
298619,Jon,1,4,יָּ֔ם,יָם,sea,mar
298620,Jon,1,4,וַ,וְ,and,y
298621,Jon,1,4,יְהִ֥י,היה,be,ser
298622,Jon,1,4,סַֽעַר־,סַעַר,storm,tormenta
298623,Jon,1,4,גָּדֹ֖ול,גָּדֹול,great,estupendo
298624,Jon,1,4,בַּ,בְּ,in,en
298625,Jon,1,4,,הַ,the,el
298626,Jon,1,4,יָּ֑ם,יָם,sea,mar
298627,Jon,1,4,וְ,וְ,and,y
298628,Jon,1,4,הָ֣,הַ,the,el
298629,Jon,1,4,אֳנִיָּ֔ה,אֳנִיָּה,ship,enviar
298630,Jon,1,4,חִשְּׁבָ֖ה,חשׁב,account,cuenta
298631,Jon,1,4,לְ,לְ,to,a
298632,Jon,1,4,הִשָּׁבֵֽר׃,שׁבר,break,descanso
298633,Jon,1,5,וַ,וְ,and,y
298634,Jon,1,5,יִּֽירְא֣וּ,ירא,fear,miedo
298635,Jon,1,5,הַ,הַ,the,el
298636,Jon,1,5,מַּלָּחִ֗ים,מַלָּח,mariner,marinero
298637,Jon,1,5,וַֽ,וְ,and,y
298638,Jon,1,5,יִּזְעֲקוּ֮,זעק,cry,llorar
298639,Jon,1,5,אִ֣ישׁ,אִישׁ,man,hombre
298640,Jon,1,5,אֶל־,אֶל,to,a
298641,Jon,1,5,אֱלֹהָיו֒,אֱלֹהִים,god(s),gallinero)
298642,Jon,1,5,וַ,וְ,and,y
298643,Jon,1,5,יָּטִ֨לוּ,טול,cast,emitir
298644,Jon,1,5,אֶת־,אֵת,[object marker],[Marcador de objeto]
298645,Jon,1,5,הַ,הַ,the,el
298646,Jon,1,5,כֵּלִ֜ים,כְּלִי,tool,herramienta
298647,Jon,1,5,אֲשֶׁ֤ר,אֲשֶׁר,[relative],[relativo]
298648,Jon,1,5,בָּֽ,בְּ,in,en
298649,Jon,1,5,,הַ,the,el
298650,Jon,1,5,אֳנִיָּה֙,אֳנִיָּה,ship,enviar
298651,Jon,1,5,אֶל־,אֶל,to,a
298652,Jon,1,5,הַ,הַ,the,el
298653,Jon,1,5,יָּ֔ם,יָם,sea,mar
298654,Jon,1,5,לְ,לְ,to,a
298655,Jon,1,5,הָקֵ֖ל,קלל,be slight,ser ligera
298656,Jon,1,5,מֵֽ,מִן,from,de
298657,Jon,1,5,עֲלֵיהֶ֑ם,עַל,upon,sobre
298658,Jon,1,5,וְ,וְ,and,y
298659,Jon,1,5,יֹונָ֗ה,יֹונָה,Jonah,Jonás
298660,Jon,1,5,יָרַד֙,ירד,descend,descender
298661,Jon,1,5,אֶל־,אֶל,to,a
298662,Jon,1,5,יַרְכְּתֵ֣י,יַרְכָּה,backside,trasero
298663,Jon,1,5,הַ,הַ,the,el
298664,Jon,1,5,סְּפִינָ֔ה,סְפִינָה,vessel,buque
298665,Jon,1,5,וַ,וְ,and,y
298666,Jon,1,5,יִּשְׁכַּ֖ב,שׁכב,lie down,acostarse
298667,Jon,1,5,וַ,וְ,and,y
298668,Jon,1,5,יֵּרָדַֽם׃,רדם,sleep,dormir
298669,Jon,1,6,וַ,וְ,and,y
298670,Jon,1,6,יִּקְרַ֤ב,קרב,approach,enfoque
298671,Jon,1,6,אֵלָיו֙,אֶל,to,a
298672,Jon,1,6,רַ֣ב,רַב,chief,jefe
298673,Jon,1,6,הַ,הַ,the,el
298674,Jon,1,6,חֹבֵ֔ל,חֹבֵל,sailor,marinero
298675,Jon,1,6,וַ,וְ,and,y
298676,Jon,1,6,יֹּ֥אמֶר,אמר,say,decir
298677,Jon,1,6,לֹ֖ו,לְ,to,a
