word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
299539,Mic,1,1,דְּבַר־,דָּבָר,word,palabra
299540,Mic,1,1,יְהוָ֣ה׀,יְהוָה,YHWH,YHWH
299541,Mic,1,1,אֲשֶׁ֣ר,אֲשֶׁר,[relative],[relativo]
299542,Mic,1,1,הָיָ֗ה,היה,be,ser
299543,Mic,1,1,אֶל־,אֶל,to,a
299544,Mic,1,1,מִיכָה֙,מִיכָה,Micah,Miqueas
299545,Mic,1,1,הַ,הַ,the,el
299546,Mic,1,1,מֹּ֣רַשְׁתִּ֔י,מֹורַשְׁתִּי,from Moresheth,de Moréset
299547,Mic,1,1,בִּ,בְּ,in,en
299548,Mic,1,1,ימֵ֥י,יֹום,day,día
299549,Mic,1,1,יֹותָ֛ם,יֹותָם,Jotham,Jotam
299550,Mic,1,1,אָחָ֥ז,אָחָז,Ahaz,Acaz
299551,Mic,1,1,יְחִזְקִיָּ֖ה,יְחִזְקִיָּה,Hezekiah,Ezequías
299552,Mic,1,1,מַלְכֵ֣י,מֶלֶךְ,king,Rey
299553,Mic,1,1,יְהוּדָ֑ה,יְהוּדָה,Judah,Judá
299554,Mic,1,1,אֲשֶׁר־,אֲשֶׁר,[relative],[relativo]
299555,Mic,1,1,חָזָ֥ה,חזה,see,ver
299556,Mic,1,1,עַל־,עַל,upon,sobre
299557,Mic,1,1,שֹׁמְרֹ֖ון,שֹׁמְרֹון,Samaria,samaria
299558,Mic,1,1,וִ,וְ,and,y
299559,Mic,1,1,ירֽוּשָׁלִָֽם׃,יְרוּשָׁלִַם,Jerusalem,Jerusalén
299560,Mic,1,2,שִׁמְעוּ֙,שׁמע,hear,oír
299561,Mic,1,2,עַמִּ֣ים,עַם,people,gente
299562,Mic,1,2,כֻּלָּ֔ם,כֹּל,whole,todo
299563,Mic,1,2,הַקְשִׁ֖יבִי,קשׁב,give attention,Presta atención
299564,Mic,1,2,אֶ֣רֶץ,אֶרֶץ,earth,tierra
299565,Mic,1,2,וּ,וְ,and,y
299566,Mic,1,2,מְלֹאָ֑הּ,מְלֹא,fullness,plenitud
299567,Mic,1,2,וִ,וְ,and,y
299568,Mic,1,2,יהִי֩,היה,be,ser
299569,Mic,1,2,אֲדֹנָ֨י,אֲדֹנָי,Lord,Señor
299570,Mic,1,2,יְהוִ֤ה,יְהוָה,YHWH,YHWH
299571,Mic,1,2,בָּכֶם֙,בְּ,in,en
299572,Mic,1,2,לְ,לְ,to,a
299573,Mic,1,2,עֵ֔ד,עֵד,witness,testigo
299574,Mic,1,2,אֲדֹנָ֖י,אֲדֹנָי,Lord,Señor
299575,Mic,1,2,מֵ,מִן,from,de
