word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
309462,Mal,1,1,מַשָּׂ֥א,מַשָּׂא,utterance,declaración
309463,Mal,1,1,דְבַר־,דָּבָר,word,palabra
309464,Mal,1,1,יְהוָ֖ה,יְהוָה,YHWH,YHWH
309465,Mal,1,1,אֶל־,אֶל,to,a
309466,Mal,1,1,יִשְׂרָאֵ֑ל,יִשְׂרָאֵל,Israel,Israel
309467,Mal,1,1,בְּ,בְּ,in,en
309468,Mal,1,1,יַ֖ד,יָד,hand,mano
309469,Mal,1,1,מַלְאָכִֽי׃,מַלְאָכִי,Malachi,Malaquías
309470,Mal,1,2,אָהַ֤בְתִּי,אהב,love,amor
309471,Mal,1,2,אֶתְכֶם֙,אֵת,[object marker],[Marcador de objeto]
309472,Mal,1,2,אָמַ֣ר,אמר,say,decir
309473,Mal,1,2,יְהוָ֔ה,יְהוָה,YHWH,YHWH
309474,Mal,1,2,וַ,וְ,and,y
309475,Mal,1,2,אֲמַרְתֶּ֖ם,אמר,say,decir
309476,Mal,1,2,בַּ,בְּ,in,en
309477,Mal,1,2,מָּ֣ה,מָה,what,qué
309478,Mal,1,2,אֲהַבְתָּ֑נוּ,אהב,love,amor
309479,Mal,1,2,הֲ,הֲ,[interrogativo],[Interrogativo]
309480,Mal,1,2,לֹוא־,לֹא,not,no
309481,Mal,1,2,אָ֨ח,אָח,brother,hermano
309482,Mal,1,2,עֵשָׂ֤ו,עֵשָׂו,Esau,Esau
309483,Mal,1,2,לְ,לְ,to,a
309484,Mal,1,2,יַֽעֲקֹב֙,יַעֲקֹב,Jacob,Jacob
309485,Mal,1,2,נְאֻם־,נְאֻם,speech,habla
309486,Mal,1,2,יְהוָ֔ה,יְהוָה,YHWH,YHWH
309487,Mal,1,2,וָ,וְ,and,y
309488,Mal,1,2,אֹהַ֖ב,אהב,love,amor
309489,Mal,1,2,אֶֽת־,אֵת,[object marker],[Marcador de objeto]
309490,Mal,1,2,יַעֲקֹֽב׃,יַעֲקֹב,Jacob,Jacob
309491,Mal,1,3,וְ,וְ,and,y
309492,Mal,1,3,אֶת־,אֵת,[object marker],[Marcador de objeto]
309493,Mal,1,3,עֵשָׂ֖ו,עֵשָׂו,Esau,Esau
309494,Mal,1,3,שָׂנֵ֑אתִי,שׂנא,hate,odio
309495,Mal,1,3,וָ,וְ,and,y
309496,Mal,1,3,אָשִׂ֤ים,שׂים,put,poner
309497,Mal,1,3,אֶת־,אֵת,[object marker],[Marcador de objeto]
309498,Mal,1,3,הָרָיו֙,הַר,mountain,montaña
309499,Mal,1,3,שְׁמָמָ֔ה,שְׁמָמָה,desolation,soledad
309500,Mal,1,3,וְ,וְ,and,y
309501,Mal,1,3,אֶת־,אֵת,[object marker],[Marcador de objeto]
309502,Mal,1,3,נַחֲלָתֹ֖ו,נַחֲלָה,heritage,patrimonio
309503,Mal,1,3,לְ,לְ,to,a
309504,Mal,1,3,תַנֹּ֥ות,תַּן,jackal,chacal
309505,Mal,1,3,מִדְבָּֽר׃,מִדְבָּר,desert,Desierto
309506,Mal,1,4,כִּֽי־,כִּי,that,ese
309507,Mal,1,4,תֹאמַ֨ר,אמר,say,decir
309508,Mal,1,4,אֱדֹ֜ום,אֱדֹום,Edom,Edom
309509,Mal,1,4,רֻשַּׁ֗שְׁנוּ,רשׁשׁ,shatter,romper
309510,Mal,1,4,וְ,וְ,and,y
309511,Mal,1,4,נָשׁוּב֙,שׁוב,return,regreso
309512,Mal,1,4,וְ,וְ,and,y
309513,Mal,1,4,נִבְנֶ֣ה,בנה,build,construir
309514,Mal,1,4,חֳרָבֹ֔ות,חָרְבָּה,ruin,ruina
309515,Mal,1,4,כֹּ֤ה,כֹּה,thus,así
309516,Mal,1,4,אָמַר֙,אמר,say,decir
309517,Mal,1,4,יְהוָ֣ה,יְהוָה,YHWH,YHWH
309518,Mal,1,4,צְבָאֹ֔ות,צָבָא,service,Servicio
309519,Mal,1,4,הֵ֥מָּה,הֵמָּה,they,ellos
309520,Mal,1,4,יִבְנ֖וּ,בנה,build,construir
309521,Mal,1,4,וַ,וְ,and,y
309522,Mal,1,4,אֲנִ֣י,אֲנִי,i,yo
309523,Mal,1,4,אֶהֱרֹ֑וס,הרס,tear down,demoler
309524,Mal,1,4,וְ,וְ,and,y
309525,Mal,1,4,קָרְא֤וּ,קרא,call,llamada
309526,Mal,1,4,לָהֶם֙,לְ,to,a
309527,Mal,1,4,גְּב֣וּל,גְּבוּל,boundary,límite
309528,Mal,1,4,רִשְׁעָ֔ה,רִשְׁעָה,guilt,culpa
309529,Mal,1,4,וְ,וְ,and,y
309530,Mal,1,4,הָ,הַ,the,el
309531,Mal,1,4,עָ֛ם,עַם,people,gente
309532,Mal,1,4,אֲשֶׁר־,אֲשֶׁר,[relative],[relativo]
309533,Mal,1,4,זָעַ֥ם,זעם,curse,maldición
309534,Mal,1,4,יְהוָ֖ה,יְהוָה,YHWH,YHWH
309535,Mal,1,4,עַד־,עַד,unto,hasta
309536,Mal,1,4,עֹולָֽם׃,עֹולָם,eternity,eternidad
309537,Mal,1,5,וְ,וְ,and,y
309538,Mal,1,5,עֵינֵיכֶ֖ם,עַיִן,eye,ojo
309539,Mal,1,5,תִּרְאֶ֑ינָה,ראה,see,ver
309540,Mal,1,5,וְ,וְ,and,y
309541,Mal,1,5,אַתֶּ֤ם,אַתֶּם,you,tú
309542,Mal,1,5,תֹּֽאמְרוּ֙,אמר,say,decir
309543,Mal,1,5,יִגְדַּ֣ל,גדל,be strong,sé fuerte
309544,Mal,1,5,יְהוָ֔ה,יְהוָה,YHWH,YHWH
309545,Mal,1,5,מֵ,מִן,from,de
309546,Mal,1,5,עַ֖ל,עַל,upon,sobre
309547,Mal,1,5,לִ,לְ,to,a
309548,Mal,1,5,גְב֥וּל,גְּבוּל,boundary,límite
309549,Mal,1,5,יִשְׂרָאֵֽל׃,יִשְׂרָאֵל,Israel,Israel
309550,Mal,1,6,בֵּ֛ן,בֵּן,son,hijo
309551,Mal,1,6,יְכַבֵּ֥ד,כבד,be heavy,ser pesado
309552,Mal,1,6,אָ֖ב,אָב,father,padre
309553,Mal,1,6,וְ,וְ,and,y
309554,Mal,1,6,עֶ֣בֶד,עֶבֶד,servant,servidor
309555,Mal,1,6,אֲדֹנָ֑יו,אָדֹון,lord,señor
309556,Mal,1,6,וְ,וְ,and,y
309557,Mal,1,6,אִם־,אִם,if,Si
309558,Mal,1,6,אָ֣ב,אָב,father,padre
309559,Mal,1,6,אָ֣נִי,אֲנִי,i,yo
309560,Mal,1,6,אַיֵּ֣ה,אַיֵּה,where,dónde
309561,Mal,1,6,כְבֹודִ֡י,כָּבֹוד,weight,peso
309562,Mal,1,6,וְ,וְ,and,y
309563,Mal,1,6,אִם־,אִם,if,Si
309564,Mal,1,6,אֲדֹונִ֣ים,אָדֹון,lord,señor
309565,Mal,1,6,אָנִי֩,אֲנִי,i,yo
309566,Mal,1,6,אַיֵּ֨ה,אַיֵּה,where,dónde
309567,Mal,1,6,מֹורָאִ֜י,מֹורָא,fear,miedo
309568,Mal,1,6,אָמַ֣ר׀,אמר,say,decir
309569,Mal,1,6,יְהוָ֣ה,יְהוָה,YHWH,YHWH
309570,Mal,1,6,צְבָאֹ֗ות,צָבָא,service,Servicio
309571,Mal,1,6,לָכֶם֙,לְ,to,a
309572,Mal,1,6,הַ,הַ,the,el
309573,Mal,1,6,כֹּֽהֲנִים֙,כֹּהֵן,priest,sacerdote
309574,Mal,1,6,בֹּוזֵ֣י,בזה,despise,despreciar
309575,Mal,1,6,שְׁמִ֔י,שֵׁם,name,nombre
309576,Mal,1,6,וַ,וְ,and,y
309577,Mal,1,6,אֲמַרְתֶּ֕ם,אמר,say,decir
309578,Mal,1,6,בַּ,בְּ,in,en
309579,Mal,1,6,מֶּ֥ה,מָה,what,qué
309580,Mal,1,6,בָזִ֖ינוּ,בזה,despise,despreciar
309581,Mal,1,6,אֶת־,אֵת,[object marker],[Marcador de objeto]
309582,Mal,1,6,שְׁמֶֽךָ׃,שֵׁם,name,nombre
309583,Mal,1,7,מַגִּישִׁ֤ים,נגשׁ,approach,enfoque
309584,Mal,1,7,עַֽל־,עַל,upon,sobre
309585,Mal,1,7,מִזְבְּחִי֙,מִזְבֵּחַ,altar,altar
309586,Mal,1,7,לֶ֣חֶם,לֶחֶם,bread,pan de molde
309587,Mal,1,7,מְגֹאָ֔ל,גאל,pollute,contaminar
309588,Mal,1,7,וַ,וְ,and,y
309589,Mal,1,7,אֲמַרְתֶּ֖ם,אמר,say,decir
309590,Mal,1,7,בַּ,בְּ,in,en
309591,Mal,1,7,מֶּ֣ה,מָה,what,qué
309592,Mal,1,7,גֵֽאַלְנ֑וּךָ,גאל,pollute,contaminar
309593,Mal,1,7,בֶּ,בְּ,in,en
309594,Mal,1,7,אֱמָרְכֶ֕ם,אמר,say,decir
309595,Mal,1,7,שֻׁלְחַ֥ן,שֻׁלְחָן,table,mesa
309596,Mal,1,7,יְהוָ֖ה,יְהוָה,YHWH,YHWH
309597,Mal,1,7,נִבְזֶ֥ה,בזה,despise,despreciar
309598,Mal,1,7,הֽוּא׃,הוּא,he,él
309599,Mal,1,8,וְ,וְ,and,y
309600,Mal,1,8,כִֽי־,כִּי,that,ese
309601,Mal,1,8,תַגִּשׁ֨וּן,נגשׁ,approach,enfoque
309602,Mal,1,8,עִוֵּ֤ר,עִוֵּר,blind,ciego
309603,Mal,1,8,לִ,לְ,to,a
309604,Mal,1,8,זְבֹּ֨חַ֙,זבח,slaughter,sacrificio
309605,Mal,1,8,אֵ֣ין,אַיִן,[NEG],[NEG]
309606,Mal,1,8,רָ֔ע,רַע,evil,mal
309607,Mal,1,8,וְ,וְ,and,y
309608,Mal,1,8,כִ֥י,כִּי,that,ese
309609,Mal,1,8,תַגִּ֛ישׁוּ,נגשׁ,approach,enfoque
309610,Mal,1,8,פִּסֵּ֥חַ,פִּסֵּחַ,lame,cojo
309611,Mal,1,8,וְ,וְ,and,y
309612,Mal,1,8,חֹלֶ֖ה,חלה,become weak,debilitarse
309613,Mal,1,8,אֵ֣ין,אַיִן,[NEG],[NEG]
309614,Mal,1,8,רָ֑ע,רַע,evil,mal
309615,Mal,1,8,הַקְרִיבֵ֨הוּ,קרב,approach,enfoque
309616,Mal,1,8,נָ֜א,נָא,yeah,sí
309617,Mal,1,8,לְ,לְ,to,a
309618,Mal,1,8,פֶחָתֶ֗ךָ,פֶּחָה,governor,gobernador
309619,Mal,1,8,הֲ,הֲ,[interrogativo],[Interrogativo]
309620,Mal,1,8,יִרְצְךָ֙,רצה,like,me gusta
309621,Mal,1,8,אֹ֚ו,אֹו,or,o
309622,Mal,1,8,הֲ,הֲ,[interrogativo],[Interrogativo]
309623,Mal,1,8,יִשָּׂ֣א,נשׂא,lift,ascensor
309624,Mal,1,8,פָנֶ֔יךָ,פָּנֶה,face,cara
309625,Mal,1,8,אָמַ֖ר,אמר,say,decir
309626,Mal,1,8,יְהוָ֥ה,יְהוָה,YHWH,YHWH
309627,Mal,1,8,צְבָאֹֽות׃,צָבָא,service,Servicio
309628,Mal,1,9,וְ,וְ,and,y
309629,Mal,1,9,עַתָּ֛ה,עַתָּה,now,ahora
309630,Mal,1,9,חַלּוּ־,חלה,become weak,debilitarse
309631,Mal,1,9,נָ֥א,נָא,yeah,sí
309632,Mal,1,9,פְנֵי־,פָּנֶה,face,cara
309633,Mal,1,9,אֵ֖ל,אֵל,god,Dios
309634,Mal,1,9,וִֽ,וְ,and,y
309635,Mal,1,9,יחָנֵ֑נוּ,חנן,favour,favor
309636,Mal,1,9,מִ,מִן,from,de
309637,Mal,1,9,יֶּדְכֶם֙,יָד,hand,mano
309638,Mal,1,9,הָ֣יְתָה,היה,be,ser
309639,Mal,1,9,זֹּ֔את,זֹאת,this,esta
309640,Mal,1,9,הֲ,הֲ,[interrogativo],[Interrogativo]
309641,Mal,1,9,יִשָּׂ֤א,נשׂא,lift,ascensor
309642,Mal,1,9,מִכֶּם֙,מִן,from,de
309643,Mal,1,9,פָּנִ֔ים,פָּנֶה,face,cara
309644,Mal,1,9,אָמַ֖ר,אמר,say,decir
309645,Mal,1,9,יְהוָ֥ה,יְהוָה,YHWH,YHWH
309646,Mal,1,9,צְבָאֹֽות׃,צָבָא,service,Servicio
309647,Mal,1,10,מִ֤י,מִי,who,quien
309648,Mal,1,10,גַם־,גַּם,even,incluso
309649,Mal,1,10,בָּכֶם֙,בְּ,in,en
309650,Mal,1,10,וְ,וְ,and,y
309651,Mal,1,10,יִסְגֹּ֣ר,סגר,close,cerca
309652,Mal,1,10,דְּלָתַ֔יִם,דֶּלֶת,door,puerta
309653,Mal,1,10,וְ,וְ,and,y
309654,Mal,1,10,לֹֽא־,לֹא,not,no
309655,Mal,1,10,תָאִ֥ירוּ,אור,be light,Sé ligero
309656,Mal,1,10,מִזְבְּחִ֖י,מִזְבֵּחַ,altar,altar
309657,Mal,1,10,חִנָּ֑ם,חִנָּם,in vain,en vano
309658,Mal,1,10,אֵֽין־,אַיִן,[NEG],[NEG]
309659,Mal,1,10,לִ֨י,לְ,to,a
309660,Mal,1,10,חֵ֜פֶץ,חֵפֶץ,pleasure,Placer
309661,Mal,1,10,בָּכֶ֗ם,בְּ,in,en
309662,Mal,1,10,אָמַר֙,אמר,say,decir
309663,Mal,1,10,יְהוָ֣ה,יְהוָה,YHWH,YHWH
309664,Mal,1,10,צְבָאֹ֔ות,צָבָא,service,Servicio
309665,Mal,1,10,וּ,וְ,and,y
309666,Mal,1,10,מִנְחָ֖ה,מִנְחָה,present,presente
309667,Mal,1,10,לֹֽא־,לֹא,not,no
309668,Mal,1,10,אֶרְצֶ֥ה,רצה,like,me gusta
309669,Mal,1,10,מִ,מִן,from,de
309670,Mal,1,10,יֶּדְכֶֽם׃,יָד,hand,mano
309671,Mal,1,11,כִּ֣י,כִּי,that,ese
309672,Mal,1,11,מִ,מִן,from,de
