word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,si,gloss_SPA
1,Gen,1,1,בְּ,בְּ,in,En
2,Gen,1,1,רֵאשִׁ֖ית,רֵאשִׁית,beginning,principio
3,Gen,1,1,בָּרָ֣א,ברא,create,creó
4,Gen,1,1,אֱלֹהִ֑ים,אֱלֹהִים,god(s),Dios
5,Gen,1,1,אֵ֥ת,אֵת,[object marker],[marcador de objeto]
6,Gen,1,1,הַ,הַ,the,los
7,Gen,1,1,שָּׁמַ֖יִם,שָׁמַיִם,heavens,cielos
8,Gen,1,1,וְ,וְ,and,y
9,Gen,1,1,אֵ֥ת,אֵת,[object marker],[marcador de objeto]
10,Gen,1,1,הָ,הַ,the,la
11,Gen,1,1,אָֽרֶץ׃,אֶרֶץ,earth,tierra
12,Gen,1,2,וְ,וְ,and,Y
13,Gen,1,2,הָ,הַ,the,la
14,Gen,1,2,אָ֗רֶץ,אֶרֶץ,earth,tierra
15,Gen,1,2,הָיְתָ֥ה,היה,be,estaba
16,Gen,1,2,תֹ֨הוּ֙,תֹּהוּ,emptiness,desordenada
17,Gen,1,2,וָ,וְ,and,y
18,Gen,1,2,בֹ֔הוּ,בֹּהוּ,emptiness,vacía
19,Gen,1,2,וְ,וְ,and,y
20,Gen,1,2,חֹ֖שֶׁךְ,חֹשֶׁךְ,darkness,oscuridad
21,Gen,1,2,עַל־,עַל,upon,sobre
22,Gen,1,2,פְּנֵ֣י,פָּנֶה,face,faz del
23,Gen,1,2,תְהֹ֑ום,תְּהֹום,primeval ocean,abismo
24,Gen,1,2,וְ,וְ,and,y
25,Gen,1,2,ר֣וּחַ,רוּחַ,wind,espíritu de
26,Gen,1,2,אֱלֹהִ֔ים,אֱלֹהִים,god(s),Dios
27,Gen,1,2,מְרַחֶ֖פֶת,רחף,shake,volaba
28,Gen,1,2,עַל־,עַל,upon,sobre
29,Gen,1,2,פְּנֵ֥י,פָּנֶה,face,faz de
30,Gen,1,2,הַ,הַ,the,las
31,Gen,1,2,מָּֽיִם׃,מַיִם,water,aguas.
32,Gen,1,3,וַ,וְ,and,y
33,Gen,1,3,יֹּ֥אמֶר,אמר,say,dijo
34,Gen,1,3,אֱלֹהִ֖ים,אֱלֹהִים,god(s),Dios
35,Gen,1,3,יְהִ֣י,היה,be,sea
36,Gen,1,3,אֹ֑ור,אֹור,light,luz
37,Gen,1,3,וַֽ,וְ,and,y
38,Gen,1,3,יְהִי־,היה,be,fue
39,Gen,1,3,אֹֽור׃,אֹור,light,luz
40,Gen,1,4,וַ,וְ,and,y
41,Gen,1,4,יַּ֧רְא,ראה,see,vió
42,Gen,1,4,אֱלֹהִ֛ים,אֱלֹהִים,god(s),Dios
43,Gen,1,4,אֶת־,אֵת,[object marker],[marcador de objeto]
44,Gen,1,4,הָ,הַ,the,la
45,Gen,1,4,אֹ֖ור,אֹור,light,luz
46,Gen,1,4,כִּי־,כִּי,that,que
47,Gen,1,4,טֹ֑וב,טוב,be good,era buena
48,Gen,1,4,וַ,וְ,and,y
49,Gen,1,4,יַּבְדֵּ֣ל,בדל,separate,separó
50,Gen,1,4,אֱלֹהִ֔ים,אֱלֹהִים,god(s),Dios
51,Gen,1,4,בֵּ֥ין,בַּיִן,interval,entre
52,Gen,1,4,הָ,הַ,the,la
53,Gen,1,4,אֹ֖ור,אֹור,light,luz
54,Gen,1,4,וּ,וְ,and,y
55,Gen,1,4,בֵ֥ין,בַּיִן,interval,entre
56,Gen,1,4,הַ,הַ,the,la
57,Gen,1,4,חֹֽשֶׁךְ׃,חֹשֶׁךְ,darkness,oscuridad
58,Gen,1,5,וַ,וְ,and,y
59,Gen,1,5,יִּקְרָ֨א,קרא,call,llamó
60,Gen,1,5,אֱלֹהִ֤ים׀,אֱלֹהִים,god(s),Dios
61,Gen,1,5,לָ,לְ,to,a
62,Gen,1,5,,הַ,the,la
63,Gen,1,5,אֹור֙,אֹור,light,luz
64,Gen,1,5,יֹ֔ום,יֹום,day,día
65,Gen,1,5,וְ,וְ,and,y
66,Gen,1,5,לַ,לְ,to,a
67,Gen,1,5,,הַ,the,la
68,Gen,1,5,חֹ֖שֶׁךְ,חֹשֶׁךְ,darkness,oscuridad
69,Gen,1,5,קָ֣רָא,קרא,call,llamó
70,Gen,1,5,לָ֑יְלָה,לַיְלָה,night,noche
71,Gen,1,5,וַֽ,וְ,and,y
72,Gen,1,5,יְהִי־,היה,be,fue
73,Gen,1,5,עֶ֥רֶב,עֶרֶב,evening,tarde
74,Gen,1,5,וַֽ,וְ,and,y
75,Gen,1,5,יְהִי־,היה,be,fue
76,Gen,1,5,בֹ֖קֶר,בֹּקֶר,morning,mañana
77,Gen,1,5,יֹ֥ום,יֹום,day,día
78,Gen,1,5,אֶחָֽד׃ פ,אֶחָד,one,primero
79,Gen,1,6,וַ,וְ,and,y
80,Gen,1,6,יֹּ֣אמֶר,אמר,say,dijo
81,Gen,1,6,אֱלֹהִ֔ים,אֱלֹהִים,god(s),Dios
82,Gen,1,6,יְהִ֥י,היה,be,haya
83,Gen,1,6,רָקִ֖יעַ,רָקִיעַ,firmament,firmamento
84,Gen,1,6,בְּ,בְּ,in,en
85,Gen,1,6,תֹ֣וךְ,תָּוֶךְ,midst,medio
86,Gen,1,6,הַ,הַ,the,las
87,Gen,1,6,מָּ֑יִם,מַיִם,water,aguas
88,Gen,1,6,וִ,וְ,and,y
89,Gen,1,6,יהִ֣י,היה,be,haya
90,Gen,1,6,מַבְדִּ֔יל,בדל,separate,separación
91,Gen,1,6,בֵּ֥ין,בַּיִן,interval,entre
92,Gen,1,6,מַ֖יִם,מַיִם,water,aguas
93,Gen,1,6,לָ,לְ,to,a
94,Gen,1,6,מָֽיִם׃,מַיִם,water,las aguas
95,Gen,1,7,וַ,וְ,and,y
96,Gen,1,7,יַּ֣עַשׂ,עשׂה,make,hizo
97,Gen,1,7,אֱלֹהִים֮,אֱלֹהִים,god(s),Dios
98,Gen,1,7,אֶת־,אֵת,[object marker],[marcador de objeto]
99,Gen,1,7,הָ,הַ,the,el
100,Gen,1,7,רָקִיעַ֒,רָקִיעַ,firmament,firmamento
101,Gen,1,7,וַ,וְ,and,y
102,Gen,1,7,יַּבְדֵּ֗ל,בדל,separate,separó
103,Gen,1,7,בֵּ֤ין,בַּיִן,interval,entre
104,Gen,1,7,הַ,הַ,the,las
105,Gen,1,7,מַּ֨יִם֙,מַיִם,water,aguas
106,Gen,1,7,אֲשֶׁר֙,אֲשֶׁר,[relative],[relativo]
107,Gen,1,7,מִ,מִן,from,de
108,Gen,1,7,תַּ֣חַת,תַּחַת,under part,debajo
109,Gen,1,7,לָ,לְ,to,de
110,Gen,1,7,,הַ,the,el
111,Gen,1,7,רָקִ֔יעַ,רָקִיעַ,firmament,firmamento
112,Gen,1,7,וּ,וְ,and,y
113,Gen,1,7,בֵ֣ין,בַּיִן,interval,entre
114,Gen,1,7,הַ,הַ,the,las
115,Gen,1,7,מַּ֔יִם,מַיִם,water,aguas
116,Gen,1,7,אֲשֶׁ֖ר,אֲשֶׁר,[relative],[relativo]
117,Gen,1,7,מֵ,מִן,from,de
118,Gen,1,7,עַ֣ל,עַל,upon,sobre
119,Gen,1,7,לָ,לְ,to,a
120,Gen,1,7,,הַ,the,el
121,Gen,1,7,רָקִ֑יעַ,רָקִיעַ,firmament,firmamento
122,Gen,1,7,וַֽ,וְ,and,y
123,Gen,1,7,יְהִי־,היה,be,fue
124,Gen,1,7,כֵֽן׃,כֵּן,thus,así
125,Gen,1,8,וַ,וְ,and,y
126,Gen,1,8,יִּקְרָ֧א,קרא,call,llamó
127,Gen,1,8,אֱלֹהִ֛ים,אֱלֹהִים,god(s),Dios
128,Gen,1,8,לָֽ,לְ,to,a
129,Gen,1,8,,הַ,the,el
130,Gen,1,8,רָקִ֖יעַ,רָקִיעַ,firmament,firmamento
131,Gen,1,8,שָׁמָ֑יִם,שָׁמַיִם,heavens,cielos
132,Gen,1,8,וַֽ,וְ,and,y
133,Gen,1,8,יְהִי־,היה,be,fue
134,Gen,1,8,עֶ֥רֶב,עֶרֶב,evening,tarde
135,Gen,1,8,וַֽ,וְ,and,y
136,Gen,1,8,יְהִי־,היה,be,fue
