word_ID,Book,ch_KJV,v_KJV,manuscript,lex_Hebrew,gloss_Eng,gloss_SPA
69610,Num,1,1,וַ,וְ,and,Y
69611,Num,1,1,יְדַבֵּ֨ר ,דבר,speak,habló
69612,Num,1,1,יְהוָ֧ה ,יְהוָה,YHWH,Yahweh
69613,Num,1,1,אֶל־,אֶל,to,a
69614,Num,1,1,מֹשֶׁ֛ה ,מֹשֶׁה,Moses,Moisés
69615,Num,1,1,בְּ,בְּ,in,en
69616,Num,1,1,מִדְבַּ֥ר ,מִדְבָּר,desert,desierto de
69617,Num,1,1,סִינַ֖י ,סִינַי,Sinai,Sinaí 
69618,Num,1,1,בְּ,בְּ,in,en
69619,Num,1,1,אֹ֣הֶל ,אֹהֶל,tent,tienda de
69620,Num,1,1,מֹועֵ֑ד ,מֹועֵד,appointment,de reunión
69621,Num,1,1,בְּ,בְּ,in,en
69622,Num,1,1,אֶחָד֩ ,אֶחָד,one,uno
69623,Num,1,1,לַ,לְ,to,de
69624,Num,1,1,הַ,the,el,el
69625,Num,1,1,חֹ֨דֶשׁ ,חֹדֶשׁ,month,mes
69626,Num,1,1,הַ,הַ,the,el
69627,Num,1,1,שֵּׁנִ֜י ,שֵׁנִי,second,segundo
69628,Num,1,1,בַּ,בְּ,in,en
69629,Num,1,1,הַ,the,el,el
69630,Num,1,1,שָּׁנָ֣ה ,שָׁנָה,year,año
69631,Num,1,1,הַ,הַ,the,el
69632,Num,1,1,שֵּׁנִ֗ית ,שֵׁנִי,second,segundo
69633,Num,1,1,לְ,לְ,to,de
69634,Num,1,1,צֵאתָ֛ם ,יצא,go out,salir
69635,Num,1,1,מֵ,מִן,from,de ellos
69636,Num,1,1,אֶ֥רֶץ ,אֶרֶץ,earth,de tierra de
69637,Num,1,1,מִצְרַ֖יִם ,מִצְרַיִם,Egypt,Egipto
69638,Num,1,1,לֵ,לְ,to,
69639,Num,1,1,אמֹֽר׃ ,אמר,say,diciendo.
69640,Num,1,2,שְׂא֗וּ ,נשׂא,lift,Toma 
69641,Num,1,2,אֶת־,אֵת,[object marker],(objeto marcador)
69642,Num,1,2,רֹאשׁ֙ ,רֹאשׁ,head,censo de
69643,Num,1,2,כָּל־,כֹּל,whole,toda
69644,Num,1,2,עֲדַ֣ת ,עֵדָה,gathering,comunidad de
69645,Num,1,2,בְּנֵֽי־,בֵּן,son,hijos de
69646,Num,1,2,יִשְׂרָאֵ֔ל ,יִשְׂרָאֵל,Israel,Israel
69647,Num,1,2,לְ,לְ,to,por 
69648,Num,1,2,מִשְׁפְּחֹתָ֖ם ,מִשְׁפָּחָה,clan,sus familias
69649,Num,1,2,לְ,לְ,to,por
69650,Num,1,2,בֵ֣ית ,בַּיִת,house,casa de
69651,Num,1,2,אֲבֹתָ֑ם ,אָב,father,sus padres
69652,Num,1,2,בְּ,בְּ,in,por
69653,Num,1,2,מִסְפַּ֣ר ,מִסְפָּר,number,lista de
69654,Num,1,2,שֵׁמֹ֔ות ,שֵׁם,name,nombre de
69655,Num,1,2,כָּל־,כֹּל,whole,todo
69656,Num,1,2,זָכָ֖ר ,זָכָר,male,varones
69657,Num,1,2,לְ,לְ,to,por
69658,Num,1,2,גֻלְגְּלֹתָֽם׃ ,גֻּלְגֹּלֶת,skull,sus cabezas.
69659,Num,1,3,מִ,מִן,from,De
69660,Num,1,3,בֶּ֨ן ,בֵּן,son,hijos de
69661,Num,1,3,עֶשְׂרִ֤ים ,עֶשְׂרִים,twenty,veinte
69662,Num,1,3,שָׁנָה֙ ,שָׁנָה,year,año
69663,Num,1,3,וָ,וְ,and,y
69664,Num,1,3,מַ֔עְלָה ,מַעַל,top,más
69665,Num,1,3,כָּל־,כֹּל,whole,todo
69666,Num,1,3,יֹצֵ֥א ,יצא,go out,saliente
69667,Num,1,3,צָבָ֖א ,צָבָא,service,ejército
69668,Num,1,3,בְּ,בְּ,in,en
69669,Num,1,3,יִשְׂרָאֵ֑ל ,יִשְׂרָאֵל,Israel,"Israel,"
69670,Num,1,3,תִּפְקְד֥וּ ,פקד,miss,contareis
69671,Num,1,3,אֹתָ֛ם ,אֵת,[object marker],a ellos
69672,Num,1,3,לְ,לְ,to,por
69673,Num,1,3,צִבְאֹתָ֖ם ,צָבָא,service,sus ejércitos
69674,Num,1,3,אַתָּ֥ה ,אַתָּה,you,tú
69675,Num,1,3,וְ,וְ,and,y
69676,Num,1,3,אַהֲרֹֽן׃ ,אַהֲרֹן,Aaron,Aarón.
69677,Num,1,4,וְ,וְ,and,Y
69678,Num,1,4,אִתְּכֶ֣ם ,אֵת,together with,con vosotros
69679,Num,1,4,יִהְי֔וּ ,היה,be,estará
69680,Num,1,4,אִ֥ישׁ ,אִישׁ,man,hombre
69681,Num,1,4,אִ֖ישׁ ,אִישׁ,man,uno
69682,Num,1,4,לַ,לְ,to,de
69683,Num,1,4,הַ,the,,la
69684,Num,1,4,מַּטֶּ֑ה ,מַטֶּה,staff,tribu
69685,Num,1,4,אִ֛ישׁ ,אִישׁ,man,cada
69686,Num,1,4,רֹ֥אשׁ ,רֹאשׁ,head,cabeza
69687,Num,1,4,לְ,לְ,to,de
69688,Num,1,4,בֵית־,בַּיִת,house,casa de
69689,Num,1,4,אֲבֹתָ֖יו ,אָב,father,su padre
69690,Num,1,4,הֽוּא׃ ,הוּא,he,él.
69691,Num,1,5,וְ,וְ,and,Y
69692,Num,1,5,אֵ֨לֶּה֙ ,אֵלֶּה,these,éstos
69693,Num,1,5,שְׁמֹ֣ות ,שֵׁם,name,nombres de
69694,Num,1,5,הָֽ,הַ,the,los
69695,Num,1,5,אֲנָשִׁ֔ים ,אִישׁ,man,hombres
69696,Num,1,5,אֲשֶׁ֥ר ,אֲשֶׁר,[relative],que
69697,Num,1,5,יַֽעַמְד֖וּ ,עמד,stand,ayudarán
69698,Num,1,5,אִתְּכֶ֑ם ,אֵת,together with,a vosotros:
69699,Num,1,5,לִ,לְ,to,de
69700,Num,1,5,רְאוּבֵ֕ן ,רְאוּבֵן,Reuben,Rubén
69701,Num,1,5,אֱלִיצ֖וּר ,אֱלִיצוּר,Elizur,Elisur
69702,Num,1,5,בֶּן־,בֵּן,son,hijo de
69703,Num,1,5,שְׁדֵיאֽוּר׃ ,שְׁדֵיאוּר,Shedeur,Sedeur.
69704,Num,1,6,לְ,לְ,to,De
69705,Num,1,6,שִׁמְעֹ֕ון ,שִׁמְעֹון,Simeon,Simeón
69706,Num,1,6,שְׁלֻמִיאֵ֖ל ,שְׁלֻמִיאֵל,Shelumiel,Selumiel
69707,Num,1,6,בֶּן־,בֵּן,son,hijo de
69708,Num,1,6,צוּרִֽישַׁדָּֽי׃ ,צוּרִישַׁדַּי,Zurishaddai,Zurisadai.
69709,Num,1,7,לִֽ,לְ,to,De
69710,Num,1,7,יהוּדָ֕ה ,יְהוּדָה,Judah,Judá
69711,Num,1,7,נַחְשֹׁ֖ון ,נַחְשֹׁון,Nahshon,Naasón
69712,Num,1,7,בֶּן־,בֵּן,son,hijo de
69713,Num,1,7,עַמִּינָדָֽב׃ ,עַמִּינָדָב,Amminadab,Aminadab.
69714,Num,1,8,לְ,לְ,to,De
69715,Num,1,8,יִ֨שָּׂשכָ֔ר ,יִשָּׂשׂכָר,Issachar,Isacar
69716,Num,1,8,נְתַנְאֵ֖ל ,נְתַנְאֵל,Nethanel,Natanael
69717,Num,1,8,בֶּן־,בֵּן,son,hijo de
69718,Num,1,8,צוּעָֽר׃ ,צוּעָר,Zuar,Zuar.
69719,Num,1,9,לִ,לְ,to,De
69720,Num,1,9,זְבוּלֻ֕ן ,זְבוּלֻן,Zebulun,Zabulón
69721,Num,1,9,אֱלִיאָ֖ב ,אֱלִיאָב,Eliab,Eliab
69722,Num,1,9,בֶּן־,בֵּן,son,hijo de
69723,Num,1,9,חֵלֹֽן׃ ,חֵלֹן,Helon,Helón.
69724,Num,1,10,לִ,לְ,to,De
69725,Num,1,10,בְנֵ֣י ,בֵּן,son,hijos de
69726,Num,1,10,יֹוסֵ֔ף ,יֹוסֵף,Joseph,José
69727,Num,1,10,לְ,לְ,to,de
69728,Num,1,10,אֶפְרַ֕יִם ,אֶפְרַיִם,Ephraim,"Efraín,"
69729,Num,1,10,אֱלִישָׁמָ֖ע ,אֱלִישָׁמָע,Elishama,Elisama
69730,Num,1,10,בֶּן־,בֵּן,son,hijo de
69731,Num,1,10,עַמִּיה֑וּד ,עַמִּיהוּד,Ammihud,"Amihud,"
69732,Num,1,10,לִ,לְ,to,de
69733,Num,1,10,מְנַשֶּׁ֕ה ,מְנַשֶּׁה,Manasseh,"Manasés,"
69734,Num,1,10,גַּמְלִיאֵ֖ל ,גַּמְלִיאֵל,Gamaliel,Gamaliel
69735,Num,1,10,בֶּן־,בֵּן,son,hijo de
69736,Num,1,10,פְּדָהצֽוּר׃ ,פְּדָהצוּר,Pedahzur,Pedasur.
69737,Num,1,11,לְ,לְ,to,De
69738,Num,1,11,בִ֨נְיָמִ֔ן ,בִּנְיָמִן,Benjamin,Benjamín
69739,Num,1,11,אֲבִידָ֖ן ,אֲבִידָן,Abidan,Abidán
69740,Num,1,11,בֶּן־,בֵּן,son,hijo de
69741,Num,1,11,גִּדְעֹנִֽי׃ ,גִּדְעֹנִי,Gideoni,Gedeoni.
69742,Num,1,12,לְ,לְ,to,De
69743,Num,1,12,דָ֕ן ,דָּן,Dan,"Dan,"
69744,Num,1,12,אֲחִיעֶ֖זֶר ,אֲחִיעֶזֶר,Ahiezer,Ahiezer
69745,Num,1,12,בֶּן־,בֵּן,son,hijo de
69746,Num,1,12,עַמִּֽישַׁדָּֽי׃ ,עַמִּישַׁדָּי,Ammishaddai,Amisadai.
69747,Num,1,13,לְ,לְ,to,De
69748,Num,1,13,אָשֵׁ֕ר ,אָשֵׁר,Asher,Aser 
69749,Num,1,13,פַּגְעִיאֵ֖ל ,פַּגְעִיאֵל,Pagiel,Pagiel
69750,Num,1,13,בֶּן־,בֵּן,son,hijo de
69751,Num,1,13,עָכְרָֽן׃ ,עָכְרָן,Ocran,Ocrán.
69752,Num,1,14,לְ,לְ,to,De
69753,Num,1,14,גָ֕ד ,גָּד,Gad,Gad 
69754,Num,1,14,אֶלְיָסָ֖ף ,אֶלְיָסָף,Eliasaph,Elisaf
69755,Num,1,14,בֶּן־,בֵּן,son,hijo de
69756,Num,1,14,דְּעוּאֵֽל׃ ,דְּעוּאֵל,Deuel,Deuel.
69757,Num,1,15,לְ,לְ,to,De
69758,Num,1,15,נַ֨פְתָּלִ֔י ,נַפְתָּלִי,Naphtali,Neftalí
69759,Num,1,15,אֲחִירַ֖ע ,אֲחִירַע,Ahira,Ahira 
69760,Num,1,15,בֶּן־,בֵּן,son,hijo de
69761,Num,1,15,עֵינָֽן׃ ,עֵינָן,Enan,Enán.
69762,Num,1,16,אֵ֚לֶּה ,אֵלֶּה,these,Estos
69763,Num,1,16,קְרוּאֵ֣י ,קרא,call,nombrados de
69764,Num,1,16,הָ,הַ,the,la
69765,Num,1,16,עֵדָ֔ה ,עֵדָה,gathering,comunidad
69766,Num,1,16,נְשִׂיאֵ֖י ,נָשִׂיא,chief,dirigentes de
69767,Num,1,16,מַטֹּ֣ות ,מַטֶּה,staff,tribus de
69768,Num,1,16,אֲבֹותָ֑ם ,אָב,father,sus padres
69769,Num,1,16,רָאשֵׁ֛י ,רֹאשׁ,head,cabezas de
69770,Num,1,16,אַלְפֵ֥י ,אֶלֶף,group of thousand,millares de
69771,Num,1,16,יִשְׂרָאֵ֖ל ,יִשְׂרָאֵל,Israel,Israel
69772,Num,1,16,הֵֽם׃ ,הֵם,they,ellos.
69773,Num,1,17,וַ,וְ,and,Y
69774,Num,1,17,יִּקַּ֥ח ,לקח,take,tomó
69775,Num,1,17,מֹשֶׁ֖ה ,מֹשֶׁה,Moses,Moisés
69776,Num,1,17,וְ,וְ,and,y
69777,Num,1,17,אַהֲרֹ֑ן ,אַהֲרֹן,Aaron,Aarón
69778,Num,1,17,אֵ֚ת ,אֵת,[object marker],(objeto marcador)
69779,Num,1,17,הָ,הַ,the,los
69780,Num,1,17,אֲנָשִׁ֣ים ,אִישׁ,man,hombres
69781,Num,1,17,הָ,הַ,the,los
69782,Num,1,17,אֵ֔לֶּה ,אֵלֶּה,these,estos
69783,Num,1,17,אֲשֶׁ֥ר ,אֲשֶׁר,[relative],que
69784,Num,1,17,נִקְּב֖וּ ,נקב,bore,designaron
69785,Num,1,17,בְּ,בְּ,in,por
69786,Num,1,17,שֵׁמֹֽות׃ ,שֵׁם,name,nombres.
69787,Num,1,18,וְ,וְ,and,Y
69788,Num,1,18,אֵ֨ת ,אֵת,[object marker],(objeto marcador)
69789,Num,1,18,כָּל־,כֹּל,whole,toda
69790,Num,1,18,הָ,הַ,the,la
69791,Num,1,18,עֵדָ֜ה ,עֵדָה,gathering,comunidad
69792,Num,1,18,הִקְהִ֗ילוּ ,קהל,assemble,reunieron
69793,Num,1,18,בְּ,בְּ,in,en
69794,Num,1,18,אֶחָד֙ ,אֶחָד,one,uno
69795,Num,1,18,לַ,לְ,to,de
69796,Num,1,18,הַ,the,,el
69797,Num,1,18,חֹ֣דֶשׁ ,חֹדֶשׁ,month,mes
69798,Num,1,18,הַ,הַ,the,el
69799,Num,1,18,שֵּׁנִ֔י ,שֵׁנִי,second,segundo
69800,Num,1,18,וַ,וְ,and,e
69801,Num,1,18,יִּתְיַֽלְד֥וּ ,ילד,bear,indicaron
69802,Num,1,18,עַל־,עַל,upon,por
69803,Num,1,18,מִשְׁפְּחֹתָ֖ם ,מִשְׁפָּחָה,clan,sus familias
69804,Num,1,18,לְ,לְ,to,por
69805,Num,1,18,בֵ֣ית ,בַּיִת,house,casa de
69806,Num,1,18,אֲבֹתָ֑ם ,אָב,father,sus padres
69807,Num,1,18,בְּ,בְּ,in,por
69808,Num,1,18,מִסְפַּ֣ר ,מִסְפָּר,number,lista de
69809,Num,1,18,שֵׁמֹ֗ות ,שֵׁם,name,nombres
69810,Num,1,18,מִ,מִן,from,de
69811,Num,1,18,בֶּ֨ן ,בֵּן,son,hijos de
69812,Num,1,18,עֶשְׂרִ֥ים ,עֶשְׂרִים,twenty,veinte
69813,Num,1,18,שָׁנָ֛ה ,שָׁנָה,year,año
69814,Num,1,18,וָ,וְ,and,y
69815,Num,1,18,מַ֖עְלָה ,מַעַל,top,más
69816,Num,1,18,לְ,לְ,to,por
69817,Num,1,18,גֻלְגְּלֹתָֽם׃ ,גֻּלְגֹּלֶת,skull,sus cabezas.
69818,Num,1,19,כַּ,כְּ,as,Como
69819,Num,1,19,אֲשֶׁ֛ר ,אֲשֶׁר,[relative],
69820,Num,1,19,צִוָּ֥ה ,צוה,command,mandó
69821,Num,1,19,יְהוָ֖ה ,יְהוָה,YHWH,Yahweh
69822,Num,1,19,אֶת־,אֵת,[object marker],a
69823,Num,1,19,מֹשֶׁ֑ה ,מֹשֶׁה,Moses,Moisés
69824,Num,1,19,וַֽ,וְ,and,y
69825,Num,1,19,יִּפְקְדֵ֖ם ,פקד,miss,los contó
69826,Num,1,19,בְּ,בְּ,in,en
69827,Num,1,19,מִדְבַּ֥ר ,מִדְבָּר,desert,el desierto 
69828,Num,1,19,סִינָֽי׃ פ ,סִינַי,Sinai,Sinaí.
69829,Num,1,20,וַ,וְ,and,Y
69830,Num,1,20,יִּהְי֤וּ ,היה,be,fueron
69831,Num,1,20,בְנֵֽי־,בֵּן,son,hijos de
69832,Num,1,20,רְאוּבֵן֙ ,רְאוּבֵן,Reuben,Rubén
69833,Num,1,20,בְּכֹ֣ר ,בְּכֹר,first-born,primogénito de
69834,Num,1,20,יִשְׂרָאֵ֔ל ,יִשְׂרָאֵל,Israel,Israel
69835,Num,1,20,תֹּולְדֹתָ֥ם ,תֹּולֵדֹות,generations,sus generaciones
69836,Num,1,20,לְ,לְ,to,por
69837,Num,1,20,מִשְׁפְּחֹתָ֖ם ,מִשְׁפָּחָה,clan,sus familias
69838,Num,1,20,לְ,לְ,to,por
69839,Num,1,20,בֵ֣ית ,בַּיִת,house,casa de
69840,Num,1,20,אֲבֹתָ֑ם ,אָב,father,su padre
69841,Num,1,20,בְּ,בְּ,in,por
69842,Num,1,20,מִסְפַּ֤ר ,מִסְפָּר,number,lista de
69843,Num,1,20,שֵׁמֹות֙ ,שֵׁם,name,nombres
69844,Num,1,20,לְ,לְ,to,por
69845,Num,1,20,גֻלְגְּלֹתָ֔ם ,גֻּלְגֹּלֶת,skull,sus cabezas
69846,Num,1,20,כָּל־,כֹּל,whole,todo
69847,Num,1,20,זָכָ֗ר ,זָכָר,male,varón
69848,Num,1,20,מִ,מִן,from,de
69849,Num,1,20,בֶּ֨ן ,בֵּן,son,hijo de
69850,Num,1,20,עֶשְׂרִ֤ים ,עֶשְׂרִים,twenty,veinte
69851,Num,1,20,שָׁנָה֙ ,שָׁנָה,year,año
69852,Num,1,20,וָ,וְ,and,y
69853,Num,1,20,מַ֔עְלָה ,מַעַל,top,más
69854,Num,1,20,כֹּ֖ל ,כֹּל,whole,todo
69855,Num,1,20,יֹצֵ֥א ,יצא,go out,saliente
69856,Num,1,20,צָבָֽא׃ ,צָבָא,service,ejército.
69857,Num,1,21,פְּקֻדֵיהֶ֖ם ,פקד,miss,Cuenta
69858,Num,1,21,לְ,לְ,to, de ellos
69859,Num,1,21,מַטֵּ֣ה ,מַטֶּה,staff,tribu de
69860,Num,1,21,רְאוּבֵ֑ן ,רְאוּבֵן,Reuben,Rubén
69861,Num,1,21,שִׁשָּׁ֧ה ,שֵׁשׁ,six,seis
69862,Num,1,21,וְ,וְ,and,y
